	Holder	Shares	Date Reported	% Out	Value
0	BAMCO Inc.	4824842	2020-06-29	0.1255	242641304
1	Melvin Capital Management LP	3525000	2020-06-29	0.0917	177272250
2	Southeastern Asset Management Inc/tn/	3442158	2020-06-29	0.0895	173106125
3	Vanguard Group, Inc. (The)	3288634	2020-06-29	0.0855	165385403
4	Principal Financial Group, Inc.	2715540	2020-06-29	0.0706	136564506
5	Wellington Management Company, LLP	2429181	2020-06-29	0.0632	122163512
6	Eaton Vance Management	1489002	2020-06-29	0.0387	74881910
7	Blackrock Inc.	1423547	2020-06-29	0.037000000000000005	71590178
8	Victory Capital Management Inc.	943851	2020-06-29	0.0245	47466266
9	Point72 Asset Management, L.P.	605300	2020-06-29	0.015700000000000002	30440537
