	Holder	Shares	Date Reported	% Out	Value
0	Fisher Asset Management, LLC	6252317	2020-06-29	0.0034999999999999996	159809222
1	American Century Companies, Inc.	4504524	2020-06-29	0.0025	115135633
2	Renaissance Technologies, LLC	3852198	2020-06-29	0.0021	98462180
3	Macquarie Group Limited	2714895	2020-06-29	0.0015	69392716
4	Mondrian Investment Partners Ltd	1841665	2020-06-29	0.001	47072957
5	First Trust Advisors LP	1716603	2020-06-29	0.0009	43876372
6	Northern Trust Corporation	1540843	2020-06-29	0.0009	39383947
7	Parametric Portfolio Associates	1515387	2020-06-29	0.0008	38733291
8	Bank of America Corporation	1471268	2020-06-29	0.0008	37605610
9	Orbis Allan Gray Ltd	1010306	2020-06-29	0.0006	25823421
