Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1970-01-02	0.75	0.78	0.75	0.77	56400	0.0	0.0
1970-01-05	0.78	0.79	0.78	0.79	116100	0.0	0.0
1970-01-06	0.79	0.81	0.79	0.79	92900	0.0	0.0
1970-01-07	0.79	0.81	0.79	0.79	67900	0.0	0.0
1970-01-08	0.79	0.81	0.79	0.81	59100	0.0	0.0
1970-01-09	0.81	0.81	0.79	0.8	79200	0.0	0.0
1970-01-12	0.8	0.8	0.79	0.8	59500	0.0	0.0
1970-01-13	0.8	0.8	0.77	0.77	109800	0.0	0.0
1970-01-14	0.77	0.79	0.77	0.79	46800	0.0	0.0
1970-01-15	0.78	0.78	0.77	0.77	69100	0.0	0.0
1970-01-16	0.77	0.78	0.76	0.77	46400	0.0	0.0
1970-01-19	0.77	0.78	0.76	0.78	45200	0.0	0.0
1970-01-20	0.78	0.78	0.76	0.77	51400	0.0	0.0
1970-01-21	0.78	0.86	0.78	0.83	147100	0.0	0.0
1970-01-22	0.83	0.84	0.8	0.81	161500	0.0	0.0
1970-01-23	0.81	0.81	0.79	0.79	64000	0.0	0.0
1970-01-26	0.79	0.79	0.75	0.76	98000	0.0	0.0
1970-01-27	0.76	0.76	0.75	0.76	56400	0.0	0.0
1970-01-28	0.76	0.76	0.73	0.73	111000	0.0	0.0
1970-01-29	0.72	0.72	0.7	0.71	230600	0.0	0.0
1970-01-30	0.71	0.72	0.7	0.72	170100	0.0	0.0
1970-02-02	0.72	0.73	0.71	0.73	138300	0.0	0.0
1970-02-03	0.73	0.73	0.71	0.73	145900	0.0	0.0
1970-02-04	0.74	0.74	0.71	0.72	154600	0.04767	0.0
1970-02-05	0.72	0.72	0.71	0.71	79600	0.0	0.0
1970-02-06	0.71	0.72	0.7	0.71	114800	0.0	0.0
1970-02-09	0.71	0.71	0.7	0.71	124900	0.0	0.0
1970-02-10	0.71	0.71	0.7	0.71	65300	0.0	0.0
1970-02-11	0.71	0.72	0.71	0.72	78300	0.0	0.0
1970-02-12	0.72	0.72	0.71	0.71	70300	0.0	0.0
1970-02-13	0.71	0.72	0.71	0.71	50200	0.0	0.0
1970-02-16	0.71	0.72	0.7	0.72	71600	0.0	0.0
1970-02-17	0.71	0.71	0.7	0.7	86700	0.0	0.0
1970-02-18	0.7	0.72	0.7	0.7	84200	0.0	0.0
1970-02-19	0.7	0.72	0.7	0.7	107300	0.0	0.0
1970-02-20	0.7	0.73	0.7	0.71	188600	0.0	0.0
1970-02-24	0.71	0.72	0.71	0.71	167200	0.0	0.0
1970-02-25	0.71	0.72	0.7	0.71	201700	0.0	0.0
1970-02-26	0.71	0.72	0.7	0.71	192400	0.0	0.0
1970-02-27	0.71	0.74	0.7	0.73	222700	0.0	0.0
1970-03-02	0.74	0.76	0.74	0.74	211300	0.0	0.0
