	Holder	Shares	Date Reported	% Out	Value
0	Dodge & Cox Inc	182894106	2020-06-29	0.1332	3187844267
1	Vanguard Group, Inc. (The)	126165638	2020-06-29	0.0919	2199067070
2	Blackrock Inc.	117859851	2020-06-29	0.0858	2054297202
3	State Street Corporation	68145030	2020-06-29	0.0496	1187767872
4	Primecap Management Company	34417536	2020-06-29	0.025099999999999997	599897652
5	Deutsche Bank Aktiengesellschaft	28503096	2020-06-29	0.0208	496808963
6	FMR, LLC	28009125	2020-06-29	0.0204	488199048
7	Geode Capital Management, LLC	24279673	2020-06-29	0.0177	423194700
8	Bank Of New York Mellon Corporation	18618279	2020-06-29	0.013600000000000001	324516602
9	Baupost Group, Inc,.(The) LLC	18000681	2020-06-29	0.0131	313751869
