Date	Firm	To Grade	From Grade	Action
2014-11-03 07:48:47	Morgan Stanley	Equal-Weight		init
2014-11-03 08:44:15	Pacific Crest	Outperform		init
2014-11-03 18:46:35	JP Morgan	Neutral		init
2014-11-03 18:46:44	Canaccord Genuity	Buy		init
2014-11-03 18:46:53	UBS	Buy		init
2014-11-03 18:47:12	Raymond James	Outperform		init
2015-02-12 06:11:32	JP Morgan	Outperform	Neutral	up
2015-02-12 09:00:00	Canaccord Genuity	Buy		main
2015-04-21 07:21:53	Needham	Buy		init
2015-05-07 09:00:00	Canaccord Genuity	Buy		main
2015-07-08 08:20:16	Bank of America	Buy		init
2015-08-05 06:48:32	JP Morgan	Neutral	Overweight	down
2015-08-07 11:00:00	JP Morgan	Neutral		main
2015-08-07 13:17:30	Canaccord Genuity	Buy		main
2015-08-07 15:26:53	Pacific Crest	Overweight		main
2015-09-10 05:41:09	Morgan Stanley	Overweight	Equal-Weight	up
2015-11-06 05:05:45	Dougherty	Buy		init
2016-02-11 11:28:08	UBS	Buy		main
2016-04-04 04:20:22	Summit Research Partners	Hold		init
2016-04-14 08:52:05	BTIG Research	Neutral		init
2016-05-05 04:44:53	Morgan Stanley	Overweight		main
2016-06-01 04:46:49	PiperJaffray	Overweight		init
2016-06-09 16:06:50	William Blair	Outperform		init
2016-06-10 06:24:19	RBC Capital	Outperform		init
2016-07-14 12:56:40	Morgan Stanley	Overweight		main
2016-07-19 06:46:00	Stifel Nicolaus	Buy		init
2016-08-04 13:21:33	Stifel Nicolaus	Buy		main
2016-09-13 07:50:36	KeyBanc	Overweight		main
2016-10-03 20:58:48	DA Davidson	Buy		init
2016-10-04 10:19:46	Goldman Sachs	Neutral		init
2016-10-31 10:35:02	JP Morgan	Overweight	Neutral	up
2016-12-19 16:17:39	Raymond James	Strong Buy	Outperform	up
2017-03-21 10:43:41	Raymond James	Outperform	Strong Buy	down
2017-03-31 10:50:38	BTIG Research	Buy	Neutral	up
2017-07-20 14:37:19	Morgan Stanley	Overweight		main
2017-08-03 18:01:56	Canaccord Genuity	Buy		main
2017-09-25 19:28:41	Morgan Stanley	Overweight		main
2017-09-27 13:44:00	Bank of America	Buy		main
2017-09-28 13:08:54	Morgan Stanley	Overweight		main
2017-09-28 17:33:07	Cowen & Co.	Market Perform		main
2017-10-13 11:39:15	KeyBanc	Sector Weight	Overweight	down
2017-10-23 14:16:27	Morgan Stanley	Overweight		main
2017-11-02 13:49:33	Morgan Stanley	Overweight		main
2017-11-02 16:35:15	Oppenheimer	Outperform		main
2017-11-02 20:14:41	Canaccord Genuity	Buy		main
2017-11-09 14:45:20	UBS	Buy		main
2018-01-30 11:34:50	Morgan Stanley	Equal-Weight	Overweight	down
2018-02-12 12:55:02	JP Morgan	Overweight	Overweight	main
2018-02-14 12:47:36	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-02-14 13:22:05	JP Morgan	Overweight	Overweight	main
2018-03-08 12:36:32	UBS	Neutral	Buy	down
2018-03-12 12:00:26	Evercore ISI Group	In-Line	Outperform	down
2018-04-18 14:46:10	Bank of America	Buy	Buy	main
2018-04-23 16:42:16	RBC Capital	Sector Perform	Outperform	down
2018-05-07 11:12:47	Stifel Nicolaus	Buy	Buy	main
2018-06-14 11:02:12	Stifel Nicolaus	Buy	Buy	main
2018-07-30 13:30:08	Raymond James	Outperform	Outperform	main
2018-08-02 11:21:06	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-09-06 10:43:36	Stifel Nicolaus	Buy	Buy	main
2018-09-06 19:10:49	Canaccord Genuity	Buy	Buy	main
2018-09-07 11:36:44	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-10-23 12:12:41	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-11-08 14:53:28	RBC Capital	Sector Perform	Sector Perform	main
2018-11-08 17:13:47	Raymond James	Outperform	Outperform	main
2018-11-08 17:30:27	Morgan Stanley	Equal-Weight	Equal-Weight	main
2019-01-24 13:14:48	Oppenheimer	Perform	Outperform	down
2019-02-13 13:42:58	Deutsche Bank	Hold	Hold	main
2019-02-13 14:47:40	Canaccord Genuity	Buy	Buy	main
2019-02-13 16:02:43	Raymond James	Outperform	Outperform	main
2019-02-13 16:45:45	Bank of America	Buy	Buy	reit
2019-05-06 15:55:21	RBC Capital	Sector Perform	Sector Perform	main
2019-05-08 12:13:49	Morgan Stanley	Equal-Weight		main
2019-05-08 12:17:01	Deutsche Bank	Hold		main
2019-05-08 12:50:19	Raymond James	Outperform		main
2019-05-08 12:56:40	Stifel Nicolaus	Buy		main
2019-08-07 12:29:06	Morgan Stanley	Equal-Weight		main
2019-09-05 11:02:58	RBC Capital	Outperform	Sector Perform	up
2019-09-05 11:11:50	Raymond James	Outperform		main
2019-09-05 12:42:40	Bank of America	Buy		reit
2019-11-06 12:44:38	UBS	Neutral		main
2019-11-06 12:51:17	Raymond James	Outperform		main
2019-11-06 13:44:36	Bank of America	Buy		reit
2019-11-06 14:04:23	Morgan Stanley	Equal-Weight		main
2020-01-13 14:07:43	Morgan Stanley	Equal-Weight		main
2020-01-27 16:27:01	RBC Capital	Outperform		main
2020-02-13 09:05:16	Piper Sandler	Overweight		main
2020-02-13 13:25:42	Cowen & Co.	Market Perform		main
2020-02-13 13:41:02	UBS	Neutral		main
2020-02-13 13:50:00	Morgan Stanley	Equal-Weight		main
2020-02-13 14:25:49	Needham	Buy		main
2020-02-13 15:02:33	Canaccord Genuity	Buy		main
2020-03-11 12:06:35	Wells Fargo	Equal-Weight		main
2020-03-25 10:13:48	Morgan Stanley	Overweight	Equal-Weight	up
2020-03-31 10:29:13	Piper Sandler	Overweight		main
2020-04-13 11:40:14	Needham	Buy		main
2020-04-16 18:41:04	Stifel	Buy		main
2020-04-22 11:56:28	RBC Capital	Outperform		main
2020-04-27 15:55:32	Raymond James	Outperform		main
2020-05-05 14:00:42	JP Morgan	Overweight		main
2020-05-05 15:22:28	Guggenheim	Buy		main
2020-05-05 15:35:57	SunTrust Robinson Humphrey	Buy		main
2020-05-07 10:35:18	Piper Sandler	Overweight		main
2020-05-07 10:54:30	Needham	Buy		main
2020-05-07 11:12:30	Mizuho	Buy		main
2020-05-07 11:26:42	Cowen & Co.	Market Perform		main
2020-05-07 12:05:10	Morgan Stanley	Overweight		main
2020-05-07 13:14:30	Raymond James	Outperform		main
2020-05-07 14:48:48	RBC Capital	Outperform		main
2020-05-07 16:06:40	SunTrust Robinson Humphrey	Buy		main
2020-05-07 17:17:27	Jefferies	Buy		main
2020-07-08 09:54:44	Mizuho	Neutral	Buy	down
2020-07-21 11:52:02	RBC Capital	Outperform		main
2020-07-22 12:16:55	Morgan Stanley	Equal-Weight		main
2020-08-06 09:12:54	Piper Sandler	Overweight		main
2020-08-06 09:37:30	Needham	Buy		main
2020-08-06 11:10:30	Citigroup	Buy		main
2020-08-06 12:03:52	Raymond James	Outperform		main
2020-08-06 12:53:48	Morgan Stanley	Overweight		main
2020-08-06 14:14:17	Stifel	Buy		main
2020-08-06 14:30:35	Canaccord Genuity	Buy		main
2020-08-06 18:22:50	Wells Fargo	Equal-Weight		main
2020-09-23 09:37:59	Needham	Buy		main
2020-09-23 11:36:44	Wells Fargo	Equal-Weight		main
2020-09-23 12:25:40	Raymond James	Outperform		main
2020-09-23 15:35:07	Canaccord Genuity	Buy		main
