Date	Firm	To Grade	From Grade	Action
2012-02-27 06:00:00	Credit Suisse	Outperform		main
2012-05-01 06:40:00	Deutsche Bank	Hold		main
2012-05-01 06:42:00	Jefferies	Buy		main
2012-07-31 06:32:00	Deutsche Bank	Hold		main
2012-07-31 06:35:00	Goldman Sachs	Neutral		main
2012-07-31 06:39:00	Bank of America	Buy		main
2012-07-31 08:17:00	Stifel Nicolaus	Buy		main
2012-07-31 12:22:00	Barclays	Equal-Weight		main
2012-08-30 06:52:00	Credit Suisse	Neutral	Outperform	down
2012-10-15 07:47:00	Deutsche Bank	Hold		main
2012-11-05 08:30:00	Monness Crespi Hardt	Buy		main
2012-11-06 07:40:00	Jefferies	Buy		main
2012-11-06 07:56:00	BMO Capital	Market Perform		main
2012-11-06 08:11:00	Credit Suisse	Neutral		main
2012-11-07 07:25:00	Bank of America	Neutral	Buy	down
2012-11-07 09:31:00	Goldman Sachs	Sell	Neutral	down
2012-11-13 15:01:00	Bank of America	Neutral	Buy	down
2013-02-04 13:40:25	Bank of America	Neutral		main
2013-02-05 08:24:45	BMO Capital	Market Perform		main
2013-02-05 08:27:33	Jefferies	Buy		main
2013-02-05 08:34:23	Deutsche Bank	Hold		main
2013-02-26 07:35:17	Deutsche Bank	Hold		main
2013-04-02 07:25:28	Jefferies	Buy		main
2013-04-02 07:42:49	Deutsche Bank	Hold		main
2013-04-05 09:41:07	UBS	Neutral		init
2013-05-06 06:28:00	JP Morgan	Overweight	Neutral	up
2013-05-10 07:08:23	Monness Crespi Hardt	Buy		main
2013-06-27 08:49:31	Lazard	Neutral		init
2013-07-10 07:28:02	Jefferies	Buy		main
2013-07-16 08:55:22	Deutsche Bank	Hold		main
2013-07-31 11:47:10	Monness Crespi Hardt	Buy		main
2013-08-01 06:22:00	Citigroup	Neutral	Buy	down
2013-08-01 08:34:19	Stifel Nicolaus	Hold	Buy	down
2013-08-01 09:18:03	Jefferies	Buy		main
2013-09-05 10:07:13	JP Morgan	Overweight		main
2013-10-08 07:59:33	Deutsche Bank	Hold		main
2013-11-05 08:07:11	Monness Crespi Hardt	Neutral	Buy	down
2013-11-07 08:35:41	Jefferies	Buy		main
2013-11-07 08:41:18	Deutsche Bank	Hold		main
2013-11-13 06:44:21	FBR Capital	Market Perform		init
2013-11-19 10:09:29	Leerink Swann	Outperform		init
2013-11-20 07:41:08	JP Morgan	Overweight		main
2013-11-20 16:37:31	Morgan Stanley	Equal-Weight		init
2014-01-07 08:43:06	Deutsche Bank	Sell	Hold	down
2014-01-08 08:30:00	Barclays	Equal-weight	Overweight	down
2014-02-26 08:00:00	Citigroup	Sell	Neutral	down
2014-03-07 08:00:00	Jefferies	Hold	Buy	down
2014-05-08 00:33:35	Barclays	Equal-Weight		main
2014-05-08 01:24:45	Credit Suisse	Neutral		main
2014-05-08 02:14:21	FBR Capital	Market Perform		main
2014-05-08 07:14:34	Bank of America	Neutral		main
2014-05-09 03:11:54	Raymond James	Outperform		main
2014-05-23 22:35:10	Leerink Swann	Outperform		main
2014-06-06 06:11:49	Stifel	Buy	Hold	up
2014-06-27 06:31:02	Sterne Agee	Neutral		init
2014-07-16 20:56:38	Deutsche Bank	Sell		main
2014-07-31 20:48:06	Barclays	Equal-Weight		main
2014-07-31 21:06:37	Credit Suisse	Neutral		main
2014-08-07 16:00:00	Raymond James	Outperform		main
2014-09-19 09:00:00	JP Morgan	Overweight		main
2014-09-22 09:00:00	Citigroup	Sell		main
2014-11-07 08:00:00	Goldman Sachs	Neutral	Sell	up
2014-11-10 09:00:00	FBR Capital	Market Perform		main
2014-11-10 20:47:45	Credit Suisse	Neutral		main
2014-11-11 09:00:00	Citigroup	Sell		main
2014-11-18 04:02:36	Bank of America	Neutral		main
2014-12-05 03:54:54	Bank of America	Neutral		main
2014-12-05 09:00:00	JP Morgan	Overweight		main
2015-01-05 00:00:00	Raymond James	Market Perform	Outperform	down
2015-01-06 00:00:00	Deutsche Bank	Hold	Sell	up
2015-01-08 09:00:00	Barclays	Equal-Weight		main
2015-03-20 09:00:00	Barclays	Equal-Weight		main
2015-04-30 09:00:00	Deutsche Bank	Hold		main
2015-05-01 09:00:00	Oppenheimer	Outperform		main
2015-05-07 09:00:00	Leerink Swann	Outperform		main
2015-05-13 06:22:21	Sterne Agee CRT	Underperform	Neutral	down
2015-06-01 08:22:48	Cantor Fitzgerald	Buy		main
2015-06-01 09:00:00	Leerink Swann	Outperform		main
2015-06-03 07:34:56	Sterne Agee CRT	Neutral	Underperform	up
2015-06-24 17:13:36	RBC Capital	Sector Perform		init
2015-07-06 07:05:18	Wedbush	Neutral	Outperform	down
2015-07-09 11:00:00	Susquehanna	Neutral		main
2015-09-08 07:41:00	RBC Capital	Sector Perform		main
2015-09-16 07:59:08	JP Morgan	Overweight		init
2015-12-16 07:16:27	Credit Suisse	Neutral		init
2016-07-18 06:57:46	Jefferies	Buy	Hold	up
2016-07-21 16:47:42	Credit Suisse	Neutral		main
2016-08-04 12:22:57	Barclays	Equal-Weight		main
2016-08-04 13:17:39	Jefferies	Buy		main
2016-08-16 04:38:30	Credit Suisse	Neutral		main
2016-09-23 06:13:25	Evercore ISI Group	Buy		init
2016-11-10 11:31:53	JP Morgan	Overweight	Neutral	up
2016-11-11 09:21:57	Credit Suisse	Outperform	Neutral	up
2016-12-07 17:40:29	Cantor Fitzgerald	Hold	Buy	down
2017-01-24 11:07:47	Stifel Nicolaus	Hold	Buy	down
2017-04-21 12:43:20	Jefferies	Hold	Buy	down
2017-06-09 14:18:10	Argus	Buy	Hold	up
2017-07-14 18:59:39	Bank of America	Buy		main
2017-08-07 17:13:03	Deutsche Bank	Hold		main
2017-08-17 14:35:38	Morgan Stanley	Overweight		main
2017-10-09 11:56:47	JP Morgan	Neutral	Overweight	down
2017-11-09 12:58:59	Morgan Stanley	Overweight		main
2017-11-10 14:46:07	BMO Capital	Outperform		main
2017-11-10 15:54:16	Credit Suisse	Neutral		main
2018-01-12 11:15:37	Jefferies	Buy	Hold	up
2018-02-08 12:18:50	Credit Suisse	Outperform	Neutral	up
2018-02-09 13:52:07	Deutsche Bank	Hold	Hold	main
2018-02-12 12:56:07	JP Morgan	Neutral	Neutral	main
2018-04-16 12:52:51	Argus	Buy	Buy	main
2018-05-05 13:32:15	Argus	Hold	Buy	down
2018-06-25 12:07:01	BMO Capital	Outperform	Outperform	main
2018-08-02 11:21:07	Morgan Stanley	Overweight	Overweight	main
2018-08-02 14:46:27	Bank of America	Buy	Buy	main
2018-08-02 14:53:45	Jefferies	Buy	Buy	main
2018-09-05 11:24:19	Morgan Stanley	Overweight	Overweight	main
2018-11-08 14:29:10	Credit Suisse	Outperform	Outperform	main
2018-11-08 14:56:01	RBC Capital	Sector Perform	Sector Perform	main
2018-11-08 16:37:47	Jefferies	Buy	Buy	main
