Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1999-03-11	0.36	0.48	0.36	0.45	172512000	0.0	0.0
1999-03-12	0.45	0.47	0.42	0.45	39897600	0.0	0.0
1999-03-15	0.45	0.45	0.41	0.41	12672000	0.0	0.0
1999-03-16	0.41	0.43	0.41	0.41	9984000	0.0	0.0
1999-03-17	0.41	0.43	0.4	0.41	15449600	0.0	0.0
1999-03-18	0.41	0.43	0.4	0.42	8140800	0.0	0.0
1999-03-19	0.42	0.42	0.41	0.41	5747200	0.0	0.0
1999-03-22	0.41	0.43	0.41	0.41	6233600	0.0	0.0
1999-03-23	0.41	0.41	0.39	0.39	9977600	0.0	0.0
1999-03-24	0.4	0.4	0.39	0.39	10969600	0.0	0.0
1999-03-25	0.4	0.41	0.39	0.41	4211200	0.0	0.0
1999-03-26	0.41	0.45	0.41	0.44	7443200	0.0	0.0
1999-03-29	0.45	0.45	0.44	0.44	4633600	0.0	0.0
1999-03-30	0.45	0.45	0.44	0.44	4044800	0.0	0.0
1999-03-31	0.44	0.44	0.41	0.42	2540800	0.0	0.0
1999-04-01	0.41	0.42	0.4	0.4	2451200	0.0	0.0
1999-04-05	0.41	0.43	0.4	0.42	3148800	0.0	0.0
1999-04-06	0.42	0.42	0.4	0.4	3686400	0.0	0.0
1999-04-07	0.41	0.43	0.41	0.42	4889600	0.0	0.0
1999-04-08	0.42	0.44	0.41	0.43	7379200	0.0	0.0
1999-04-09	0.43	0.43	0.4	0.43	5337600	0.0	0.0
1999-04-12	0.42	0.43	0.42	0.42	2803200	0.0	0.0
1999-04-13	0.42	0.43	0.4	0.4	4281600	0.0	0.0
1999-04-14	0.41	0.41	0.4	0.4	2291200	0.0	0.0
1999-04-15	0.41	0.41	0.4	0.4	2643200	0.0	0.0
1999-04-16	0.41	0.42	0.4	0.42	3769600	0.0	0.0
1999-04-19	0.41	0.41	0.41	0.41	1958400	0.0	0.0
1999-04-20	0.41	0.41	0.39	0.39	8179200	0.0	0.0
1999-04-21	0.38	0.39	0.38	0.39	1830400	0.0	0.0
1999-04-22	0.39	0.42	0.39	0.42	6272000	0.0	0.0
1999-04-23	0.42	0.42	0.41	0.41	6195200	0.0	0.0
1999-04-26	0.42	0.42	0.4	0.41	640000	0.0	0.0
1999-04-27	0.41	0.41	0.38	0.39	7027200	0.0	0.0
1999-04-28	0.39	0.4	0.39	0.39	9696000	0.0	0.0
1999-04-29	0.39	0.39	0.39	0.39	819200	0.0	0.0
1999-04-30	0.39	0.4	0.39	0.4	2841600	0.0	0.0
1999-05-03	0.41	0.41	0.4	0.41	2361600	0.0	0.0
1999-05-04	0.41	0.41	0.4	0.4	2630400	0.0	0.0
1999-05-05	0.41	0.41	0.41	0.41	1689600	0.0	0.0
1999-05-06	0.41	0.42	0.41	0.41	1619200	0.0	0.0
1999-05-07	0.41	0.43	0.4	0.43	4192000	0.0	0.0
1999-05-10	0.43	0.43	0.41	0.41	1849600	0.0	0.0
1999-05-11	0.41	0.42	0.41	0.41	550400	0.0	0.0
1999-05-12	0.42	0.42	0.41	0.42	1644800	0.0	0.0
1999-05-13	0.42	0.43	0.41	0.43	3910400	0.0	0.0
1999-05-14	0.42	0.43	0.42	0.42	12032000	0.0	0.0
1999-05-17	0.42	0.43	0.42	0.42	6713600	0.0	0.0
1999-05-18	0.42	0.43	0.41	0.41	576000	0.0	0.0
1999-05-19	0.41	0.42	0.41	0.42	4704000	0.0	0.0
1999-05-20	0.42	0.44	0.41	0.44	6598400	0.0	0.0
1999-05-21	0.43	0.45	0.43	0.45	4153600	0.0	0.0
1999-05-24	0.45	0.46	0.44	0.46	3104000	0.0	0.0
1999-05-25	0.46	0.5	0.46	0.48	12140800	0.0	0.0
1999-05-26	0.49	0.49	0.44	0.49	8160000	0.0	0.0
1999-05-27	0.48	0.49	0.46	0.48	3865600	0.0	0.0
1999-05-28	0.47	0.48	0.47	0.48	6572800	0.0	0.0
1999-06-01	0.48	0.48	0.48	0.48	2464000	0.00028	0.0
1999-06-02	0.48	0.48	0.47	0.48	832000	0.0	0.0
1999-06-03	0.48	0.48	0.48	0.48	640000	0.0	0.0
1999-06-04	0.48	0.48	0.48	0.48	1152000	0.0	0.0
1999-06-07	0.48	0.5	0.48	0.5	4243200	0.0	0.0
1999-06-08	0.53	0.59	0.52	0.54	10848000	0.0	0.0
1999-06-09	0.54	0.55	0.47	0.48	6713600	0.0	0.0
1999-06-10	0.48	0.52	0.48	0.51	6912000	0.0	0.0
1999-06-11	0.52	0.53	0.51	0.51	4230400	0.0	0.0
1999-06-14	0.52	0.52	0.51	0.52	1696000	0.0	0.0
1999-06-15	0.51	0.52	0.5	0.5	2278400	0.0	0.0
1999-06-16	0.52	0.52	0.51	0.52	1427200	0.0	0.0
1999-06-17	0.51	0.54	0.51	0.54	2956800	0.0	0.0
1999-06-18	0.53	0.58	0.53	0.58	3436800	0.0	0.0
1999-06-21	0.58	0.58	0.57	0.58	1779200	0.0	0.0
1999-06-22	0.57	0.58	0.54	0.54	4627200	0.0	0.0
1999-06-23	0.54	0.58	0.54	0.57	2617600	0.0	0.0
1999-06-24	0.57	0.58	0.56	0.56	4889600	0.0	0.0
1999-06-25	0.56	0.58	0.56	0.57	4518400	0.0	0.0
1999-06-28	0.57	0.57	0.55	0.56	2630400	0.0	0.0
1999-06-29	0.55	0.58	0.55	0.56	2854400	0.0	0.0
1999-06-30	0.56	0.57	0.56	0.56	774400	0.0	0.0
1999-07-01	0.57	0.57	0.55	0.56	864000	0.0	0.0
1999-07-02	0.56	0.57	0.55	0.55	1164800	0.0	0.0
1999-07-06	0.57	0.58	0.57	0.57	6835200	0.0	0.0
1999-07-07	0.57	0.58	0.56	0.58	1017600	0.0	0.0
1999-07-08	0.58	0.66	0.58	0.64	7417600	0.0	0.0
1999-07-09	0.65	0.71	0.65	0.66	6611200	0.0	0.0
1999-07-12	0.66	0.7	0.66	0.69	1894400	0.0	0.0
1999-07-13	0.69	0.74	0.67	0.74	4601600	0.0	0.0
1999-07-14	0.74	0.87	0.74	0.84	10336000	0.0	0.0
1999-07-15	0.86	0.96	0.86	0.95	10547200	0.0	0.0
1999-07-16	1.06	1.18	1.02	1.07	28390400	0.0	0.0
1999-07-19	1.11	1.13	0.87	0.88	22848000	0.0	0.0
1999-07-20	0.81	0.85	0.77	0.83	9606400	0.0	0.0
1999-07-21	0.84	0.85	0.71	0.72	12102400	0.0	0.0
1999-07-22	0.7	0.76	0.68	0.73	8377600	0.0	0.0
1999-07-23	0.75	0.76	0.71	0.73	1977600	0.0	0.0
1999-07-26	0.72	0.73	0.71	0.71	1254400	0.0	0.0
1999-07-27	0.73	0.8	0.73	0.77	5100800	0.0	0.0
1999-07-28	0.78	0.85	0.78	0.83	3948800	0.0	0.0
1999-07-29	0.81	0.81	0.78	0.8	2630400	0.0	0.0
1999-07-30	0.8	0.8	0.79	0.79	2246400	0.0	0.0
1999-08-02	0.79	0.83	0.79	0.8	1638400	0.0	0.0
