	Holder	Shares	Date Reported	% Out	Value
0	Nordea Investment Management Ab	60404274	2020-06-29	0.16620000000000001	583505286
1	JP Morgan Chase & Company	47045616	2020-06-29	0.1294	454460650
2	Lazard Asset Management LLC	46354610	2020-06-29	0.1275	447785532
3	Bank Of New York Mellon Corporation	29570013	2020-06-29	0.08130000000000001	285646325
4	Fisher Asset Management, LLC	28574752	2020-06-29	0.0786	276032104
5	Genesis Investment Management, LLP	28310888	2020-06-29	0.0779	273483178
6	GQG Partners LLC	25846485	2020-06-29	0.0711	249677045
7	Schroder Investment Management Group	22673899	2020-06-29	0.062400000000000004	219029864
8	Goldman Sachs Group, Inc.	22516604	2020-06-29	0.061900000000000004	217510394
9	Sustainable Growth Advisors, LP	19817031	2020-06-29	0.0545	191432519
