2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	13.49
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	91
governanceScore	11.37
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	26.35
highestControversy	2
esgPerformance	AVG_PERF
coal	False
pesticides	False
adult	False
percentile	43.11
peerGroup	Diversified Financials
smallArms	False
environmentScore	1.49
governancePercentile	
militaryContract	False
