	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	14952065	2020-06-29	0.1417	1799331502
1	Vanguard Group, Inc. (The)	10079265	2020-06-29	0.0955	1212938750
2	Blackrock Inc.	5981302	2020-06-29	0.0567	719789882
3	Wellington Management Company, LLP	4971666	2020-06-29	0.0471	598290286
4	State Street Corporation	3615178	2020-06-29	0.034300000000000004	435050520
5	Atlanta Capital Management Company LLC	3569029	2020-06-29	0.0338	429496949
6	Barrow, Hanley Mewhinney & Strauss, LLC	3125220	2020-06-29	0.0296	376088974
7	Victory Capital Management Inc.	2000465	2020-06-29	0.019	240735958
8	American Century Companies, Inc.	1978991	2020-06-29	0.018799999999999997	238151776
9	Geode Capital Management, LLC	1421311	2020-06-29	0.013500000000000002	171040565
