Date	Firm	To Grade	From Grade	Action
2012-03-02 07:55:00	KeyBanc	Hold		down
2012-04-13 06:16:00	Deutsche Bank	Buy		main
2012-04-13 06:19:00	Jefferies	Hold		main
2012-04-13 06:29:00	JP Morgan	Overweight		main
2012-04-13 06:39:00	Citigroup	Neutral		main
2012-04-13 08:09:00	Sterne Agee	Neutral		up
2012-04-16 06:48:00	BMO Capital	Market Perform		main
2012-05-17 06:14:00	Wunderlich	Hold		init
2012-07-17 06:24:00	JP Morgan	Overweight		main
2012-07-17 06:52:00	Jefferies	Hold		main
2012-07-17 06:54:00	Bank of America	Neutral	Buy	down
2012-07-17 08:39:00	Dahlman Rose	Buy		main
2012-07-18 07:01:00	BMO Capital	Market Perform		main
2012-09-12 06:09:00	Bank of America	Buy	Neutral	up
2012-10-12 06:58:00	Jefferies	Hold		main
2012-10-12 07:16:00	Sterne Agee	Neutral		main
2012-10-12 07:27:00	Bank of America	Buy		main
2012-10-12 12:59:00	UBS	Buy		main
2012-11-20 07:36:00	Jefferies	Hold		main
2012-12-18 07:23:06	Jefferies	Hold		main
2013-01-07 09:59:42	Barclays	Equal-Weight	Overweight	down
2013-01-07 13:22:16	Barclays	Equal-Weight	Overweight	down
2013-01-14 08:14:05	Deutsche Bank	Buy		main
2013-01-25 07:14:39	Bank of America	Neutral	Buy	down
2013-01-25 07:32:23	Wunderlich	Hold		main
2013-01-25 07:59:51	Deutsche Bank	Buy		main
2013-01-25 09:08:33	Jefferies	Hold		main
2013-01-25 15:01:44	Dahlman Rose	Buy		main
2013-02-27 11:58:19	Avondale Partners	Market Outperform	Market Perform	up
2013-03-15 08:01:49	Bernstein	Market Perform	Outperform	down
2013-04-10 07:27:21	Deutsche Bank	Buy		main
2013-04-12 09:17:18	Bank of America	Neutral		main
2013-04-12 10:20:04	UBS	Buy		main
2013-07-11 09:11:39	Buckingham Research	Neutral		init
2013-07-16 07:30:30	Wunderlich	Hold		main
2013-09-16 09:19:53	Barclays	Overweight	Equal-Weight	up
2013-10-01 06:52:32	BMO Capital	Outperform		init
2013-10-11 06:28:56	Bank of America	Buy	Neutral	up
2013-11-21 13:22:46	Barclays	Overweight		main
2013-12-16 11:49:48	Deutsche Bank	Buy		main
2014-01-24 06:37:39	Wunderlich	Hold		main
2014-01-24 08:00:00	Deutsche Bank	Buy		main
2014-02-19 06:29:52	Wunderlich	Buy	Hold	up
2014-03-20 06:56:11	Bank of America	Neutral	Buy	down
2014-06-30 20:33:27	Barclays	Overweight		main
2014-07-15 19:40:09	Deutsche Bank	Buy		main
2014-07-16 10:30:00	Bernstein	Outperform		up
2014-07-16 20:56:38	Deutsche Bank	Buy		main
2014-09-15 08:00:00	Bank of America	Underperform		main
2014-10-01 18:27:55	Wells Fargo	Outperform		init
2014-10-06 09:00:00	Barclays	Overweight		main
2014-10-15 16:00:00	Credit Suisse	Outperform		main
2014-11-11 09:00:00	Macquarie	Neutral		main
