	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	24213621	2020-06-29	0.0889	263928468
1	Blackrock Inc.	23043154	2020-06-29	0.08460000000000001	251170378
2	Primecap Management Company	18999625	2020-06-29	0.0697	207095912
3	FMR, LLC	16658436	2020-06-29	0.0611	181576952
4	Dimensional Fund Advisors LP	11705270	2020-06-29	0.043	127587443
5	Smith (Donald) & Company Inc.	10114462	2020-06-29	0.0371	110247635
6	Lsv Asset Management	8474503	2020-06-29	0.0311	92372082
7	Disciplined Growth Investors, Inc.	7869534	2020-06-29	0.028900000000000002	85777920
8	State Street Corporation	6001956	2020-06-29	0.022000000000000002	65421320
9	Wellington Management Company, LLP	5162895	2020-06-29	0.019	56275555
