Date	Firm	To Grade	From Grade	Action
2012-06-01 06:02:00	Keefe Bruyette & Woods	Market Perform		main
2012-08-21 09:26:00	Rochdale Securities	Buy	Neutral	up
2012-09-20 12:54:00	Goldman Sachs	Neutral		main
2012-11-13 09:41:00	Macquarie	Market Perform	Market Outperform	down
2015-12-01 06:19:43	Oppenheimer	Outperform		init
2016-08-05 11:53:10	Oppenheimer	Outperform		main
2016-10-06 14:53:24	Oppenheimer	Outperform		main
2016-11-30 20:22:05	Oppenheimer	Outperform		main
2020-06-30 12:55:18	Oppenheimer	Outperform		main
2020-09-16 11:40:09	Keefe, Bruyette & Woods	Outperform	Market Perform	up
