	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	48576696	2020-06-29	0.08689999999999999	1500048372
1	ValueAct Holdings, L.P.	45000000	2020-06-29	0.0805	1389600000
2	Blackrock Inc.	29902174	2020-06-29	0.0535	923379133
3	Vulcan Value Partners, LLC	27219320	2020-06-29	0.0487	840532601
4	Principal Financial Group, Inc.	23292540	2020-06-29	0.0417	719273635
5	Capital International Investors	22769159	2020-06-29	0.0407	703111629
6	Price (T.Rowe) Associates Inc	18159306	2020-06-29	0.0325	560759369
7	Akre Capital Management, LLC	14721857	2020-06-29	0.0263	454610944
8	Jackson Square Partners, LLC	12658722	2020-06-29	0.0226	390901335
9	Diamond Hill Capital Management Inc	11594436	2020-06-29	0.0207	358036183
