Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2011-02-11	21.07	21.36	20.44	20.64	50610600.0	0.0	0.0
2011-02-14	20.64	20.81	20.41	20.41	6275900.0	0.0	0.0
2011-02-15	20.54	20.71	20.43	20.57	4337800.0	0.0	0.0
2011-02-16	20.64	20.9	20.38	20.42	4627100.0	0.0	0.0
2011-02-17	20.39	20.67	20.28	20.31	3290700.0	0.0	0.0
2011-02-18	20.39	20.86	20.21	20.85	2583800.0	0.0	0.0
2011-02-22	20.7	20.89	20.41	20.42	2454300.0	0.0	0.0
2011-02-23	20.45	20.54	20.11	20.22	2671200.0	0.0	0.0
2011-02-24	20.31	20.37	20.14	20.25	1698000.0	0.0	0.0
2011-02-25	20.29	20.44	20.14	20.27	2225900.0	0.0	0.0
2011-02-28	20.32	20.47	20.22	20.27	2380400.0	0.0	0.0
2011-03-01	20.37	20.46	20.09	20.24	1908000.0	0.0	0.0
2011-03-02	20.32	20.4	20.11	20.32	2197000.0	0.0	0.0
2011-03-03	20.39	20.45	20.29	20.45	1901800.0	0.0	0.0
2011-03-04	20.47	20.57	20.38	20.51	892300.0	0.0	0.0
2011-03-07	20.57	20.63	20.41	20.54	1049600.0	0.0	0.0
2011-03-08	20.47	20.63	20.47	20.59	827400.0	0.0	0.0
2011-03-09	20.54	20.59	20.43	20.44	294100.0	0.0	0.0
2011-03-10	20.41	20.41	19.77	20.01	2715200.0	0.0	0.0
2011-03-11	20.01	20.26	19.92	20.01	1896900.0	0.0	0.0
2011-03-14	19.94	20.09	19.81	19.93	1967700.0	0.0	0.0
2011-03-15	19.81	20.07	19.68	19.86	1968400.0	0.0	0.0
2011-03-16	19.87	20.05	19.78	19.97	2062200.0	0.0	0.0
2011-03-17	20.07	20.21	19.98	20.04	1511400.0	0.0	0.0
2011-03-18	20.08	20.27	19.99	20.27	1906600.0	0.0	0.0
2011-03-21	20.29	20.61	20.21	20.49	1253000.0	0.0	0.0
2011-03-22	20.54	20.59	20.32	20.41	1014700.0	0.0	0.0
2011-03-23	20.29	20.39	19.91	19.95	2570500.0	0.0	0.0
2011-03-24	20.01	20.11	19.87	19.97	1411600.0	0.0	0.0
2011-03-25	19.95	20.0	19.61	19.62	2687100.0	0.0	0.0
2011-03-28	19.77	19.89	19.65	19.69	1552900.0	0.0	0.0
2011-03-29	19.77	19.87	19.64	19.8	1313800.0	0.0	0.0
2011-03-30	19.85	19.87	19.66	19.74	769700.0	0.0	0.0
2011-03-31	19.81	19.85	19.62	19.7	884400.0	0.0	0.0
2011-04-01	19.8	19.84	19.6	19.61	1869200.0	0.0	0.0
2011-04-04	19.57	19.74	19.44	19.57	1177900.0	0.0	0.0
2011-04-05	19.6	19.7	19.28	19.57	1021200.0	0.0	0.0
2011-04-06	19.58	19.6	19.42	19.58	725100.0	0.0	0.0
2011-04-07	19.62	19.65	19.36	19.42	1226100.0	0.0	0.0
2011-04-08	19.42	19.56	19.36	19.5	934800.0	0.0	0.0
2011-04-11	19.48	19.55	19.32	19.44	1160900.0	0.0	0.0
2011-04-12	19.34	19.44	18.79	19.1	1278100.0	0.0	0.0
2011-04-13	19.1	19.29	19.05	19.16	2766900.0	0.0	0.0
2011-04-14	19.14	19.38	18.99	19.36	785800.0	0.0	0.0
2011-04-15	19.35	19.38	19.07	19.2	863900.0	0.0	0.0
2011-04-18	19.14	19.17	18.76	18.96	882400.0	0.0	0.0
2011-04-19	19.0	19.18	18.96	19.13	1121200.0	0.0	0.0
2011-04-20	19.26	19.68	19.14	19.58	2054000.0	0.0	0.0
2011-04-21	19.49	19.89	19.32	19.7	1516900.0	0.0	0.0
2011-04-25	19.81	19.81	19.32	19.52	604100.0	0.0	0.0
2011-04-26	19.64	19.67	19.31	19.36	1100000.0	0.0	0.0
2011-04-27	19.48	19.6	19.11	19.18	1479600.0	0.0	0.0
2011-04-28	19.26	19.34	19.16	19.26	1041000.0	0.14	0.0
2011-04-29	19.4	19.56	18.94	19.09	1843400.0	0.0	0.0
2011-05-02	19.19	19.36	18.96	19.25	1036600.0	0.0	0.0
2011-05-03	19.26	19.3	18.74	18.83	1158700.0	0.0	0.0
2011-05-04	18.84	18.94	18.24	18.68	2537800.0	0.0	0.0
2011-05-05	18.72	18.88	18.31	18.69	1618300.0	0.0	0.0
2011-05-06	18.76	18.98	18.6	18.7	653600.0	0.0	0.0
2011-05-09	18.78	19.0	18.71	18.9	752100.0	0.0	0.0
2011-05-10	18.88	19.16	18.76	19.05	777800.0	0.0	0.0
2011-05-11	19.06	19.12	18.71	18.91	1400100.0	0.0	0.0
2011-05-12	18.84	19.0	18.58	19.0	1800000.0	0.0	0.0
2011-05-13	18.95	18.95	18.54	18.66	1344100.0	0.0	0.0
2011-05-16	18.74	19.02	18.3	18.4	1737600.0	0.0	0.0
2011-05-17	18.44	18.51	17.95	18.37	2404600.0	0.0	0.0
2011-05-18	18.55	18.62	18.32	18.41	895200.0	0.0	0.0
2011-05-19	18.49	18.93	18.39	18.9	1096500.0	0.0	0.0
2011-05-20	18.87	19.3	18.68	19.04	1535400.0	0.0	0.0
2011-05-23	18.98	19.08	18.83	18.92	2927600.0	0.0	0.0
2011-05-24	19.06	19.41	19.02	19.41	2587700.0	0.0	0.0
