Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2006-10-17	24.1	24.11	23.55	23.97	1741300	0.0	0.0
2006-10-18	24.33	24.33	23.46	23.57	1484400	0.0	0.0
2006-10-19	23.57	23.73	22.95	23.03	1481700	0.0	0.0
2006-10-20	23.21	23.87	23.01	23.81	1440300	0.0	0.0
2006-10-23	24.14	24.14	23.54	23.73	1152300	0.0	0.0
2006-10-24	23.74	24.11	23.63	23.87	880300	0.0	0.0
2006-10-25	23.98	24.13	23.49	24.1	1214900	0.0	0.0
2006-10-26	24.31	26.58	24.1	25.75	4729700	0.0	0.0
2006-10-27	26.14	26.81	25.85	26.77	3889400	0.0	0.0
2006-10-30	27.03	28.14	26.83	27.11	1939000	0.0	0.0
2006-10-31	27.79	27.98	26.38	26.67	1322000	0.0	0.0
2006-11-01	26.94	27.25	26.34	26.34	854100	0.0	0.0
2006-11-02	26.34	27.21	26.01	26.02	821700	0.0	0.0
2006-11-03	26.19	26.63	26.14	26.47	787000	0.0	0.0
2006-11-06	26.54	27.03	26.37	26.66	842300	0.0	0.0
2006-11-07	26.67	26.87	26.35	26.62	706900	0.0	0.0
2006-11-08	26.02	26.17	25.07	25.58	1550900	0.0	0.0
2006-11-09	25.71	26.94	25.47	26.94	992300	0.0	0.0
2006-11-10	26.67	26.82	26.02	26.66	765600	0.0	0.0
2006-11-13	26.62	26.62	26.3	26.51	332800	0.0	0.0
2006-11-14	26.57	26.75	26.27	26.59	520000	0.0	0.0
2006-11-15	26.59	26.83	26.47	26.7	591700	0.0	0.0
2006-11-16	26.62	26.78	26.47	26.78	374000	0.0	0.0
2006-11-17	26.67	26.67	26.19	26.37	485900	0.0	0.0
2006-11-20	26.47	26.53	25.78	26.01	427000	0.0	0.0
2006-11-21	25.87	25.94	25.34	25.69	1593300	0.0	0.0
2006-11-22	25.26	25.98	25.07	25.78	1469400	0.0	0.0
2006-11-24	25.37	25.61	25.31	25.57	141100	0.0	0.0
2006-11-27	25.34	25.47	24.61	25.21	826500	0.0	0.0
2006-11-28	24.81	25.26	24.11	25.21	782200	0.0	0.0
2006-11-29	25.54	25.59	25.21	25.39	458600	0.0	0.0
2006-11-30	25.34	25.43	25.02	25.3	246600	0.0	0.0
2006-12-01	25.25	25.27	24.95	25.1	371500	0.0	0.0
2006-12-04	24.83	25.07	24.77	25.02	306900	0.0	0.0
2006-12-05	25.06	25.43	24.91	25.31	370000	0.0	0.0
2006-12-06	25.31	25.49	24.98	25.47	580200	0.0	0.0
2006-12-07	25.61	25.67	25.21	25.62	364800	0.0	0.0
2006-12-08	25.42	25.94	25.41	25.81	545200	0.0	0.0
2006-12-11	25.81	26.01	25.22	25.29	499600	0.0	0.0
2006-12-12	25.34	26.43	25.01	26.3	946200	0.0	0.0
2006-12-13	25.47	25.47	24.17	24.33	2291600	0.0	0.0
2006-12-14	24.03	24.46	23.54	23.95	1634700	0.0	0.0
2006-12-15	24.31	25.14	24.01	24.94	3829300	0.0	0.0
2006-12-18	24.82	24.87	24.18	24.25	769000	0.0	0.0
2006-12-19	24.05	24.19	23.69	23.87	914900	0.0	0.0
2006-12-20	23.87	24.23	23.74	23.94	428200	0.0	0.0
2006-12-21	23.87	24.05	23.67	23.81	466400	0.0	0.0
2006-12-22	23.87	23.93	23.71	23.81	537800	0.0	0.0
2006-12-26	23.81	23.93	23.54	23.57	322300	0.0	0.0
2006-12-27	23.57	23.63	23.22	23.35	464400	0.0	0.0
2006-12-28	23.87	23.87	23.35	23.67	520500	0.0	0.0
2006-12-29	23.71	23.87	23.57	23.73	476800	0.0	0.0
2007-01-03	23.83	24.27	23.73	24.25	714500	0.0	0.0
2007-01-04	24.34	24.45	23.87	24.13	398100	0.0	0.0
2007-01-05	23.61	24.11	23.37	23.41	457000	0.0	0.0
2007-01-08	23.41	23.57	23.11	23.55	504900	0.0	0.0
2007-01-09	23.41	23.65	23.22	23.58	802100	0.0	0.0
2007-01-10	23.7	23.97	23.47	23.71	438300	0.0	0.0
2007-01-11	23.71	24.67	23.66	23.93	859400	0.0	0.0
2007-01-12	23.9	24.51	23.62	23.67	569200	0.0	0.0
2007-01-16	23.67	23.71	23.35	23.57	504300	0.0	0.0
2007-01-17	23.49	24.11	23.47	23.99	591900	0.0	0.0
2007-01-18	23.74	23.74	23.19	23.22	824500	0.0	0.0
2007-01-19	23.18	23.58	22.65	23.58	955000	0.0	0.0
2007-01-22	23.69	24.18	23.58	24.1	954300	0.0	0.0
2007-01-23	24.03	24.53	23.74	24.34	533100	0.0	0.0
2007-01-24	24.07	24.55	23.78	24.38	741300	0.0	0.0
2007-01-25	24.43	24.53	24.19	24.46	788400	0.0	0.0
2007-01-26	24.34	24.78	24.25	24.59	707300	0.0	0.0
2007-01-29	24.58	24.77	24.43	24.69	503500	0.0	0.0
2007-01-30	24.77	25.13	24.47	24.9	483100	0.0	0.0
2007-01-31	25.14	25.23	24.62	24.74	1063800	0.0	0.0
2007-02-01	24.67	24.79	23.83	24.21	1678500	0.0	0.0
2007-02-02	24.22	24.63	24.17	24.59	768200	0.0	0.0
2007-02-05	24.54	24.86	24.38	24.75	507900	0.0	0.0
2007-02-06	24.79	24.81	24.62	24.67	357800	0.0	0.0
2007-02-07	24.67	24.74	24.29	24.37	495400	0.0	0.0
2007-02-08	24.34	24.94	24.34	24.91	589100	0.0	0.0
2007-02-09	25.01	25.07	24.45	24.65	311400	0.0	0.0
2007-02-12	24.65	24.67	23.94	23.99	686500	0.0	0.0
2007-02-13	24.21	24.41	23.75	23.99	553400	0.0	0.0
2007-02-14	24.14	24.31	23.95	24.21	416000	0.0	0.0
2007-02-15	24.41	24.47	24.21	24.23	313000	0.0	0.0
2007-02-16	24.25	24.45	24.17	24.45	187300	0.0	0.0
2007-02-20	24.45	24.81	24.07	24.69	267100	0.0	0.0
2007-02-21	24.63	24.98	24.45	24.49	294700	0.0	0.0
2007-02-22	24.15	24.89	24.02	24.49	357100	0.0	0.0
2007-02-23	24.57	24.59	24.34	24.35	155100	0.0	0.0
2007-02-26	24.71	25.07	24.65	24.66	565100	0.0	0.0
2007-02-27	24.31	24.62	23.91	24.07	415100	0.0	0.0
2007-02-28	23.89	24.27	23.87	24.05	555300	0.0	0.0
2007-03-01	23.87	24.27	23.63	23.99	363600	0.0	0.0
2007-03-02	23.87	24.11	23.43	23.53	584600	0.0	0.0
2007-03-05	23.41	23.89	23.37	23.57	436500	0.0	0.0
2007-03-06	23.7	23.97	23.61	23.9	253400	0.0	0.0
2007-03-07	23.89	23.99	23.67	23.79	165000	0.0	0.0
2007-03-08	23.91	23.97	23.35	23.67	517100	0.0	0.0
2007-03-09	23.61	23.86	23.34	23.74	265600	0.0	0.0
2007-03-12	23.74	23.9	23.63	23.67	579300	0.0	0.0
2007-03-13	23.57	23.69	23.34	23.38	258800	0.0	0.0
2007-03-14	23.34	23.53	23.14	23.53	227700	0.0	0.0
2007-03-15	23.67	23.87	23.62	23.85	280800	0.0	0.0
2007-03-16	23.85	24.25	23.83	24.19	511700	0.0	0.0
2007-03-19	24.02	24.42	23.93	24.3	271700	0.0	0.0
2007-03-20	24.29	24.34	23.98	24.01	288100	0.0	0.0
2007-03-21	24.02	24.13	23.87	23.94	492000	0.0	0.0
2007-03-22	23.97	24.03	23.82	24.02	424000	0.0	0.0
2007-03-23	24.01	24.02	23.81	23.87	410100	0.0	0.0
2007-03-26	23.98	23.99	23.5	23.61	311500	0.0	0.0
2007-03-27	23.62	23.65	23.42	23.51	283200	0.0	0.0
2007-03-28	23.47	23.66	23.31	23.49	455900	0.0	0.0
2007-03-29	23.54	23.61	23.17	23.3	412400	0.0	0.0
2007-03-30	23.27	23.54	22.99	23.1	427600	0.0	0.0
2007-04-02	23.22	23.5	23.15	23.31	415100	0.0	0.0
2007-04-03	23.37	23.81	23.37	23.69	541500	0.0	0.0
2007-04-04	23.71	23.71	23.47	23.51	316200	0.0	0.0
2007-04-05	23.41	23.41	22.49	22.57	1136500	0.0	0.0
2007-04-09	22.41	22.74	22.27	22.71	1035800	0.0	0.0
2007-04-10	22.65	22.71	22.51	22.51	484700	0.0	0.0
2007-04-11	22.54	22.99	22.14	22.81	1062000	0.0	0.0
2007-04-12	23.41	24.14	23.41	24.01	2260200	0.0	0.0
2007-04-13	23.9	24.77	23.74	24.5	1242000	0.0	0.0
2007-04-16	24.67	25.47	24.5	24.9	2369000	0.0	0.0
2007-04-17	24.91	25.49	24.41	24.42	1229700	0.0	0.0
2007-04-18	24.42	25.03	24.22	24.89	655400	0.0	0.0
2007-04-19	24.89	25.09	24.46	24.47	554400	0.0	0.0
2007-04-20	24.87	24.87	24.13	24.67	930900	0.0	0.0
2007-04-23	24.62	24.94	24.62	24.83	361800	0.0	0.0
2007-04-24	24.83	25.11	24.67	25.1	733900	0.0	0.0
2007-04-25	25.02	25.05	24.57	24.57	730200	0.0	0.0
2007-04-26	24.43	24.55	23.97	24.49	1329800	0.0	0.0
2007-04-27	24.41	24.71	24.34	24.71	298000	0.0	0.0
2007-04-30	24.71	24.74	24.39	24.39	556100	0.0	0.0
2007-05-01	24.34	24.81	24.14	24.81	606800	0.0	0.0
2007-05-02	24.67	25.37	24.54	25.21	780000	0.0	0.0
2007-05-03	25.51	25.67	25.11	25.31	846200	0.0	0.0
2007-05-04	25.31	25.69	25.18	25.69	388400	0.0	0.0
2007-05-07	25.69	25.69	24.81	25.27	620900	0.0	0.0
2007-05-08	25.14	25.58	24.9	25.34	356900	0.0	0.0
2007-05-09	25.21	25.27	24.78	24.89	412100	0.0	0.0
2007-05-10	24.75	24.78	23.95	24.07	821000	0.0	0.0
