	Holder	Shares	Date Reported	% Out	Value
0	Lilly Endowment, Inc	111560304	2020-06-29	0.1166	18315970710
1	Vanguard Group, Inc. (The)	71605087	2020-06-29	0.07490000000000001	11756123183
2	Blackrock Inc.	62830501	2020-06-29	0.06570000000000001	10315511654
3	Primecap Management Company	39627957	2020-06-29	0.0414	6506117980
4	State Street Corporation	36698045	2020-06-29	0.0384	6025085028
5	FMR, LLC	29992097	2020-06-29	0.031400000000000004	4924102485
6	Wellington Management Company, LLP	26990778	2020-06-29	0.0282	4431345932
7	Capital International Investors	21181307	2020-06-29	0.022099999999999998	3477546983
8	State Farm Mutual Automobile Insurance Co	18619725	2020-06-29	0.0195	3056986450
9	JP Morgan Chase & Company	15942384	2020-06-29	0.0167	2617420605
