Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2004-07-22	12.66	12.75	11.91	12.35	10234000	0.0	0
2004-07-23	12.31	12.61	12.13	12.48	2560200	0.0	0
2004-07-26	12.75	12.89	12.31	12.39	1614700	0.0	0
2004-07-27	12.35	12.74	12.35	12.7	947000	0.0	0
2004-07-28	12.7	12.74	12.48	12.66	700200	0.0	0
2004-07-29	12.48	12.75	12.44	12.75	225600	0.0	0
2004-07-30	12.75	12.75	12.35	12.39	266200	0.0	0
2004-08-02	12.31	12.31	12.09	12.09	593400	0.0	0
2004-08-03	12.09	12.31	11.95	12.24	617500	0.0	0
2004-08-04	12.24	12.53	12.17	12.43	1127100	0.0	0
2004-08-05	12.7	12.88	12.67	12.8	991500	0.0	0
2004-08-06	12.75	12.75	12.62	12.7	483100	0.0	0
2004-08-09	12.66	13.14	12.66	13.1	803000	0.0	0
2004-08-10	13.14	13.27	13.12	13.24	756500	0.0	0
2004-08-11	13.21	13.25	13.01	13.05	864800	0.0	0
2004-08-12	13.23	13.23	12.93	13.01	1027100	0.0	0
2004-08-13	13.02	13.17	12.97	13.1	286700	0.0	0
2004-08-16	13.04	13.22	13.04	13.19	273200	0.0	0
2004-08-17	13.21	13.25	13.07	13.19	444500	0.0	0
2004-08-18	13.32	13.55	13.26	13.52	2107300	0.0	0
2004-08-19	14.02	14.08	13.89	13.9	1863100	0.0	0
2004-08-20	13.89	13.98	13.78	13.93	835600	0.0	0
2004-08-23	13.78	13.84	13.46	13.77	903700	0.0	0
2004-08-24	13.9	13.92	13.64	13.64	471300	0.0	0
2004-08-25	13.76	14.01	13.55	13.84	1013100	0.0	0
2004-08-26	13.91	13.98	13.76	13.93	536500	0.0	0
2004-08-27	13.93	13.98	13.82	13.91	203400	0.0	0
2004-08-30	13.4	13.44	12.88	13.15	518300	0.0	0
2004-08-31	13.06	13.08	12.77	13.08	280600	0.0	0
2004-09-01	13.1	13.32	13.1	13.3	267200	0.0	0
2004-09-02	13.21	13.27	13.06	13.2	82000	0.0	0
2004-09-03	13.1	13.1	12.69	12.7	330000	0.0	0
2004-09-07	12.7	12.85	12.35	12.56	163700	0.0	0
2004-09-08	12.59	12.63	12.44	12.61	129900	0.0	0
2004-09-09	12.61	12.75	12.59	12.75	476900	0.0	0
2004-09-10	13.32	13.4	13.21	13.29	880200	0.0	0
2004-09-13	13.45	13.62	13.38	13.62	748700	0.0	0
2004-09-14	13.54	13.58	13.36	13.44	208900	0.0	0
2004-09-15	13.38	13.38	13.14	13.2	363200	0.0	0
2004-09-16	13.25	13.53	13.21	13.4	247600	0.0	0
2004-09-17	13.19	13.4	13.09	13.31	429000	0.0	0
2004-09-20	13.19	13.23	13.07	13.19	208400	0.0	0
2004-09-21	13.1	13.31	13.05	13.29	163100	0.0	0
2004-09-22	13.1	13.11	12.79	12.97	132400	0.0	0
2004-09-23	13.17	13.18	12.99	13.07	228300	0.0	0
2004-09-24	13.16	13.52	13.16	13.52	233300	0.0	0
2004-09-27	13.43	13.49	13.33	13.45	475900	0.0	0
2004-09-28	13.45	13.45	13.33	13.44	303400	0.0	0
2004-09-29	13.36	13.53	13.36	13.53	493300	0.0	0
2004-09-30	13.32	13.36	13.26	13.32	496700	0.0	0
2004-10-01	13.47	13.98	13.47	13.97	432700	0.0	0
2004-10-04	14.02	14.15	14.02	14.13	689700	0.0	0
2004-10-05	14.18	14.28	14.07	14.28	766500	0.0	0
2004-10-06	14.35	14.49	14.15	14.29	489900	0.0	0
2004-10-07	14.15	14.18	13.98	14.04	738000	0.0	0
2004-10-08	13.98	14.05	13.72	13.78	131300	0.0	0
2004-10-11	13.36	13.36	12.53	12.83	1495400	0.0	0
2004-10-12	12.31	12.61	11.75	12.61	710900	0.0	0
