	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	44476116	2020-06-29	0.1467	1468156589
1	Vanguard Group, Inc. (The)	18658697	2020-06-29	0.061500000000000006	615923587
2	JP Morgan Chase & Company	17786826	2020-06-29	0.058600000000000006	587143126
3	Baillie Gifford and Company	10994329	2020-06-29	0.0363	362922800
4	Blackrock Inc.	8982591	2020-06-29	0.0296	296515328
5	AH Equity Partners III (Parallel), L.L.C.	7650778	2020-06-29	0.0252	252552181
6	Alibaba Group Holding Ltd	7225763	2020-06-29	0.023799999999999998	238522436
7	AH Equity Partners III, L.L.C.	5134009	2020-06-29	0.0169	169473637
8	Invesco Ltd.	5045578	2020-06-29	0.0166	166554529
9	American Century Companies, Inc.	4635391	2020-06-29	0.015300000000000001	153014256
