Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1992-02-05	5.63	5.63	5.09	5.32	11325800	0.0	0.0
1992-02-06	5.32	5.32	5.16	5.2	5696400	0.0	0.0
1992-02-07	5.2	5.2	4.82	4.82	1698000	0.0	0.0
1992-02-10	4.86	4.86	4.62	4.66	1104400	0.0	0.0
1992-02-11	4.66	4.74	4.66	4.74	656200	0.0	0.0
1992-02-12	4.74	4.93	4.7	4.89	629600	0.0	0.0
1992-02-13	4.93	5.05	4.89	4.93	808200	0.0	0.0
1992-02-14	4.93	4.93	4.82	4.82	418000	0.0	0.0
1992-02-18	4.86	4.86	4.78	4.82	687200	0.0	0.0
1992-02-19	4.82	4.93	4.82	4.93	638000	0.0	0.0
1992-02-20	4.93	4.93	4.82	4.82	139000	0.0	0.0
1992-02-21	4.89	4.89	4.86	4.89	410600	0.0	0.0
1992-02-24	4.89	4.93	4.86	4.89	353800	0.0	0.0
1992-02-25	4.89	4.89	4.7	4.74	590400	0.0	0.0
1992-02-26	4.78	4.82	4.66	4.7	155200	0.0	0.0
1992-02-27	4.7	4.86	4.7	4.74	438000	0.0	0.0
1992-02-28	4.86	4.86	4.78	4.78	266600	0.0	0.0
1992-03-02	4.7	4.89	4.7	4.82	83800	0.0	0.0
1992-03-03	4.78	4.86	4.78	4.86	177400	0.0	0.0
1992-03-04	4.86	4.86	4.78	4.78	247800	0.0	0.0
1992-03-05	4.82	4.86	4.74	4.74	131200	0.0	0.0
1992-03-06	4.74	4.82	4.74	4.82	453400	0.0	0.0
1992-03-09	4.78	4.82	4.78	4.82	114000	0.0	0.0
1992-03-10	4.78	4.82	4.78	4.78	57800	0.0	0.0
1992-03-11	4.78	4.82	4.74	4.74	104200	0.0	0.0
1992-03-12	4.78	4.78	4.74	4.74	70800	0.0	0.0
1992-03-13	4.74	4.78	4.74	4.74	124800	0.0	0.0
1992-03-16	4.78	4.78	4.7	4.78	34600	0.0	0.0
1992-03-17	4.74	4.78	4.74	4.74	206200	0.0	0.0
1992-03-18	4.74	4.74	4.66	4.74	53000	0.0	0.0
1992-03-19	4.74	4.74	4.62	4.66	155600	0.0	0.0
1992-03-20	4.62	4.62	4.39	4.47	218800	0.0	0.0
1992-03-23	4.39	4.43	4.24	4.32	131600	0.0	0.0
1992-03-24	4.32	4.36	4.16	4.32	231200	0.0	0.0
1992-03-25	4.32	4.89	4.32	4.86	662000	0.0	0.0
1992-03-26	4.82	4.89	4.7	4.7	162600	0.0	0.0
1992-03-27	4.7	4.7	4.51	4.51	120600	0.0	0.0
1992-03-30	4.55	4.55	4.43	4.43	96200	0.0	0.0
1992-03-31	4.39	4.43	4.36	4.39	96400	0.0	0.0
1992-04-01	4.36	4.47	4.36	4.36	503600	0.0	0.0
1992-04-02	4.39	4.66	4.39	4.62	1363800	0.0	0.0
1992-04-03	4.59	4.62	4.51	4.51	308600	0.0	0.0
1992-04-06	4.59	4.59	4.32	4.39	440600	0.0	0.0
1992-04-07	4.43	4.51	4.24	4.28	134200	0.0	0.0
1992-04-08	4.2	4.24	3.97	4.16	136600	0.0	0.0
1992-04-09	4.32	4.32	4.01	4.01	181200	0.0	0.0
1992-04-10	4.05	4.16	4.01	4.16	166600	0.0	0.0
1992-04-13	4.2	4.32	4.09	4.28	146800	0.0	0.0
1992-04-14	4.36	4.36	4.24	4.32	161400	0.0	0.0
1992-04-15	4.32	4.51	4.28	4.39	160600	0.0	0.0
1992-04-16	4.36	4.39	4.24	4.28	113200	0.0	0.0
1992-04-20	4.28	4.28	4.12	4.12	79200	0.0	0.0
1992-04-21	4.09	4.12	3.97	4.01	123400	0.0	0.0
1992-04-22	4.01	4.01	3.89	4.01	142600	0.0	0.0
1992-04-23	4.01	4.01	3.62	3.7	322800	0.0	0.0
1992-04-24	3.66	3.7	3.47	3.58	321000	0.0	0.0
1992-04-27	3.55	3.7	3.55	3.62	247200	0.0	0.0
1992-04-28	3.62	3.62	3.55	3.58	581600	0.0	0.0
1992-04-29	3.55	3.85	3.51	3.85	517600	0.0	0.0
1992-04-30	3.93	4.16	3.93	4.12	710800	0.0	0.0
1992-05-01	4.28	4.28	4.12	4.12	199200	0.0	0.0
1992-05-04	4.16	4.2	4.12	4.2	170400	0.0	0.0
1992-05-05	4.2	4.2	4.09	4.12	70000	0.0	0.0
1992-05-06	4.12	4.28	4.12	4.2	285400	0.0	0.0
1992-05-07	4.24	4.24	4.16	4.2	125000	0.0	0.0
1992-05-08	4.16	4.16	3.97	4.01	66000	0.0	0.0
1992-05-11	3.97	4.24	3.97	4.24	251800	0.0	0.0
1992-05-12	4.24	4.24	4.09	4.09	500200	0.0	0.0
1992-05-13	4.12	4.28	3.97	3.97	646200	0.0	0.0
