	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	72924831	2020-06-29	0.0735	21563872526
1	Blackrock Inc.	67189437	2020-06-29	0.0677	19867916520
2	State Street Corporation	36784400	2020-06-29	0.0371	10877147080
3	FMR, LLC	36158832	2020-06-29	0.0364	10692166622
4	Price (T.Rowe) Associates Inc	28691312	2020-06-29	0.028900000000000002	8484020958
5	Capital Research Global Investors	15953642	2020-06-29	0.0161	4717491939
6	JP Morgan Chase & Company	14785445	2020-06-29	0.0149	4372056086
7	Capital World Investors	14245147	2020-06-29	0.0144	4212289967
8	Morgan Stanley	14028357	2020-06-29	0.0141	4148185164
9	Geode Capital Management, LLC	13754212	2020-06-29	0.0139	4067120488
