Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1993-03-19	0.4	0.43	0.38	0.39	45022000	0.0	0.0
1993-03-22	0.38	0.39	0.37	0.38	6799900	0.0	0.0
1993-03-23	0.38	0.38	0.37	0.38	4150500	0.0	0.0
1993-03-24	0.38	0.39	0.37	0.38	1831500	0.0	0.0
1993-03-25	0.39	0.4	0.39	0.4	2125000	0.0	0.0
1993-03-26	0.4	0.43	0.4	0.41	4157200	0.0	0.0
1993-03-29	0.42	0.42	0.41	0.42	3681400	0.0	0.0
1993-03-30	0.42	0.43	0.41	0.42	1904400	0.0	0.0
1993-03-31	0.43	0.43	0.42	0.43	1660500	0.0	0.0
1993-04-01	0.42	0.43	0.42	0.42	710700	0.0	0.0
1993-04-02	0.43	0.43	0.42	0.43	951900	0.0	0.0
1993-04-05	0.43	0.43	0.42	0.43	220600	0.0	0.0
1993-04-06	0.42	0.43	0.42	0.42	437400	0.0	0.0
1993-04-07	0.43	0.43	0.42	0.43	683200	0.0	0.0
1993-04-08	0.43	0.43	0.42	0.43	473800	0.0	0.0
1993-04-12	0.43	0.43	0.42	0.42	93100	0.0	0.0
1993-04-13	0.43	0.45	0.42	0.44	1011300	0.0	0.0
1993-04-14	0.44	0.47	0.44	0.45	3093400	0.0	0.0
1993-04-15	0.46	0.46	0.43	0.44	1772100	0.0	0.0
1993-04-16	0.44	0.45	0.44	0.44	1031500	0.0	0.0
1993-04-19	0.44	0.44	0.43	0.43	835600	0.0	0.0
1993-04-20	0.43	0.43	0.42	0.43	1179900	0.0	0.0
1993-04-21	0.42	0.46	0.42	0.45	1582800	0.0	0.0
1993-04-22	0.45	0.48	0.44	0.47	1491700	0.0	0.0
1993-04-23	0.48	0.5	0.47	0.5	933700	0.0	0.0
1993-04-26	0.49	0.51	0.48	0.5	1760500	0.0	0.0
1993-04-27	0.5	0.52	0.49	0.52	1458000	0.0	0.0
1993-04-28	0.52	0.56	0.52	0.56	3950100	0.0	0.0
1993-04-29	0.56	0.56	0.5	0.53	4106800	0.0	0.0
1993-04-30	0.54	0.56	0.53	0.56	2608200	0.0	0.0
1993-05-03	0.56	0.57	0.56	0.57	897300	0.0	0.0
1993-05-04	0.56	0.57	0.54	0.54	806100	0.0	0.0
