	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	29170294	2020-06-29	0.1155	3071923661
1	Dodge & Cox Inc	25010629	2020-06-29	0.09910000000000001	2633869339
2	Blackrock Inc.	19094268	2020-06-29	0.0756	2010817363
3	Price (T.Rowe) Associates Inc	13117125	2020-06-29	0.052000000000000005	1381364433
4	Janus Henderson Group PLC	12907062	2020-06-29	0.051100000000000007	1359242699
5	State Street Corporation	9823321	2020-06-29	0.038900000000000004	1034493934
6	Aristotle Capital Management, LLC	8674377	2020-06-29	0.0344	913498641
7	Bank of America Corporation	8381765	2020-06-29	0.0332	882683672
8	JP Morgan Chase & Company	6209593	2020-06-29	0.0246	653932238
9	Principal Financial Group, Inc.	5910041	2020-06-29	0.023399999999999997	622386417
