Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2000-04-05	8.41	9.13	8.3	8.99	77084700	0.0	0.0
2000-04-06	8.92	9.2	8.84	9.02	17167700	0.0	0.0
2000-04-07	8.92	9.02	8.77	8.88	15131500	0.0	0.0
2000-04-10	8.95	8.99	8.84	8.95	6324900	0.0	0.0
2000-04-11	8.88	8.92	8.73	8.77	6087800	0.0	0.0
2000-04-12	8.84	9.71	8.77	9.39	12169800	0.0	0.0
2000-04-13	9.42	10.0	9.24	9.86	11922400	0.0	0.0
2000-04-14	9.82	9.86	9.17	9.2	10659300	0.0	0.0
2000-04-17	9.28	9.53	9.28	9.35	3951900	0.0	0.0
2000-04-18	9.39	9.46	8.99	9.35	6083900	0.0	0.0
2000-04-19	9.39	9.39	9.13	9.28	6001300	0.0	0.0
2000-04-20	9.13	9.24	8.92	8.95	7755200	0.0	0.0
2000-04-24	8.99	9.28	8.95	9.24	3494800	0.0	0.0
2000-04-25	9.24	9.39	9.2	9.28	8311100	0.0	0.0
2000-04-26	9.24	9.31	9.2	9.31	6666500	0.0	0.0
2000-04-27	9.24	9.28	8.99	9.24	2788000	0.0	0.0
2000-04-28	9.24	9.78	8.92	9.6	6977400	0.0	0.0
2000-05-01	9.93	10.44	9.78	10.44	6605300	0.0	0.0
2000-05-02	10.22	10.4	10.07	10.33	3514700	0.0	0.0
2000-05-03	10.29	10.33	10.0	10.15	2223500	0.0	0.0
2000-05-04	10.07	10.15	9.39	10.15	3848200	0.0	0.0
2000-05-05	10.0	10.33	9.89	10.18	2043700	0.0	0.0
2000-05-08	10.36	10.76	10.33	10.44	3250900	0.0	0.0
2000-05-09	10.55	10.65	9.71	9.93	4750800	0.0	0.0
2000-05-10	9.86	10.33	9.86	10.18	3684000	0.0	0.0
2000-05-11	10.22	10.62	10.07	10.44	3363000	0.0	0.0
2000-05-12	10.51	10.76	10.47	10.69	2162300	0.0	0.0
2000-05-15	11.02	11.16	10.8	10.98	3025800	0.0	0.0
2000-05-16	11.02	11.34	10.91	11.05	5590500	0.0	0.0
2000-05-17	11.05	11.42	10.65	11.05	1769600	0.0	0.0
2000-05-18	11.02	11.09	10.84	10.97	3207300	0.0	0.0
2000-05-19	10.73	10.73	10.36	10.55	4300100	0.0	0.0
2000-05-22	10.58	10.65	10.07	10.58	1921600	0.0	0.0
2000-05-23	10.58	11.02	10.58	10.94	2349300	0.0	0.0
2000-05-24	10.94	11.31	10.8	11.23	1765000	0.0	0.0
2000-05-25	11.2	11.23	10.87	11.13	1944000	0.0	0.0
2000-05-26	11.09	11.49	10.98	11.45	2967200	0.0	0.0
2000-05-30	11.56	11.67	11.31	11.52	3622900	0.0	0.0
2000-05-31	11.52	11.89	11.23	11.89	3982600	0.0	0.0
2000-06-01	11.85	11.89	11.56	11.6	3229500	0.0	0.0
2000-06-02	12.18	12.21	11.81	12.18	3866500	0.0	0.0
2000-06-05	11.89	12.1	11.81	11.92	2666200	0.0	0.0
2000-06-06	12.1	12.1	11.81	11.85	3314200	0.0	0.0
2000-06-07	11.89	12.0	11.78	12.0	1034900	0.0	0.0
2000-06-08	11.92	11.96	11.74	11.85	1083000	0.0	0.0
2000-06-09	11.89	12.18	11.89	12.18	1342800	0.0	0.0
2000-06-12	12.03	12.07	11.42	11.85	1203400	0.0	0.0
2000-06-13	12.0	12.07	11.71	12.07	1093800	0.0	0.0
2000-06-14	11.92	11.96	11.49	11.6	2592200	0.0	0.0
2000-06-15	11.6	11.74	11.52	11.6	2809900	0.0	0.0
2000-06-16	11.71	11.74	11.45	11.63	3592700	0.0	0.0
2000-06-19	11.6	11.67	11.45	11.6	1431100	0.0	0.0
2000-06-20	11.52	11.63	10.76	10.91	3278500	0.0	0.0
2000-06-21	10.91	11.09	10.51	10.73	2741600	0.0	0.0
2000-06-22	10.84	11.31	10.73	11.13	2202800	0.0	0.0
2000-06-23	11.02	11.31	10.87	11.2	2425300	0.0	0.0
2000-06-26	11.6	11.67	11.09	11.13	1898000	0.0	0.0
2000-06-27	11.27	11.89	11.13	11.52	2291400	0.0	0.0
2000-06-28	11.74	11.85	11.23	11.38	3952600	0.0	0.0
2000-06-29	11.52	12.5	11.38	12.36	5514200	0.0	0.0
2000-06-30	12.61	12.72	11.02	12.16	4954000	0.0	0.0
2000-07-03	12.03	12.47	12.0	12.39	922200	0.0	0.0
2000-07-05	12.32	12.32	11.89	12.25	2297800	0.0	0.0
2000-07-06	11.96	12.76	11.92	12.68	1764100	0.0	0.0
2000-07-07	12.61	12.79	12.58	12.68	1672300	0.0	0.0
2000-07-10	12.61	12.68	12.43	12.43	923000	0.0	0.0
2000-07-11	12.36	12.39	11.89	12.07	1630800	0.0	0.0
2000-07-12	12.03	12.1	11.63	11.85	2226300	0.0	0.0
2000-07-13	11.85	11.85	11.49	11.49	2124300	0.0	0.0
2000-07-14	11.49	12.25	11.49	12.1	1449000	0.0	0.0
2000-07-17	12.03	12.03	11.71	11.78	626400	0.0	0.0
2000-07-18	11.63	11.85	11.63	11.81	2688600	0.0	0.0
2000-07-19	11.85	12.07	11.67	11.85	1516800	0.0	0.0
2000-07-20	11.92	12.29	11.92	11.92	2468100	0.0	0.0
2000-07-21	12.03	12.18	11.92	12.03	890300	0.0	0.0
2000-07-24	11.78	11.89	11.6	11.89	860000	0.0	0.0
2000-07-25	11.81	12.29	11.74	12.18	1466700	0.0	0.0
2000-07-26	12.18	12.32	12.0	12.07	1390900	0.0	0.0
2000-07-27	12.07	12.32	11.74	11.85	1563100	0.0	0.0
2000-07-28	11.63	11.85	11.6	11.78	911900	0.0	0.0
2000-07-31	11.89	12.25	11.71	12.18	2730000	0.0	0.0
2000-08-01	12.14	12.32	12.03	12.25	2287500	0.0	0.0
2000-08-02	12.18	12.25	12.0	12.1	1530700	0.0	0.0
2000-08-03	12.1	12.14	11.49	11.67	3767700	0.0	0.0
2000-08-04	11.67	11.78	11.23	11.78	4718200	0.0	0.0
2000-08-07	12.0	12.97	11.96	12.97	4259500	0.0	0.0
2000-08-08	13.84	14.13	13.48	13.52	11405100	0.0	0.0
2000-08-09	13.48	13.77	13.12	13.19	3920700	0.0	0.0
2000-08-10	13.34	13.92	13.19	13.34	4870800	0.0	0.0
2000-08-11	13.92	14.06	13.59	13.92	2556300	0.0	0.0
2000-08-14	13.92	13.99	13.34	13.34	1473900	0.0	0.0
2000-08-15	13.88	13.95	13.66	13.81	1746600	0.0	0.0
2000-08-16	13.88	13.92	13.45	13.63	907100	0.0	0.0
