	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	43606490	2020-06-29	0.0861	4682028831
1	Blackrock Inc.	40581898	2020-06-29	0.0801	4357278388
2	Price (T.Rowe) Associates Inc	35396472	2020-06-29	0.0699	3800519198
3	State Street Corporation	22646364	2020-06-29	0.0447	2431540102
4	Capital International Investors	21742620	2020-06-29	0.0429	2334505109
5	Capital World Investors	16572254	2020-06-29	0.0327	1779362911
6	Wellington Management Company, LLP	16542404	2020-06-29	0.0327	1776157917
7	Massachusetts Financial Services Co.	16403365	2020-06-29	0.032400000000000005	1761229300
8	FMR, LLC	12190709	2020-06-29	0.0241	1308916425
9	JP Morgan Chase & Company	9071107	2020-06-29	0.0179	973964758
