Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1970-01-02	1.5	1.5	1.49	1.5	72000	0.0	0.0
1970-01-05	1.5	1.51	1.5	1.5	446400	0.0	0.0
1970-01-06	1.5	1.52	1.5	1.52	176000	0.0	0.0
1970-01-07	1.52	1.53	1.52	1.53	164800	0.0	0.0
1970-01-08	1.53	1.55	1.53	1.55	304000	0.0	0.0
1970-01-09	1.55	1.55	1.54	1.55	139200	0.0	0.0
1970-01-12	1.55	1.55	1.54	1.55	118400	0.0	0.0
1970-01-13	1.55	1.56	1.54	1.54	262400	0.0	0.0
1970-01-14	1.54	1.57	1.54	1.56	377600	0.0	0.0
1970-01-15	1.55	1.55	1.53	1.53	169600	0.0	0.0
1970-01-16	1.53	1.54	1.49	1.52	289600	0.0	0.0
1970-01-19	1.5	1.5	1.48	1.49	179200	0.0	0.0
1970-01-20	1.49	1.5	1.48	1.5	172800	0.0	0.0
1970-01-21	1.5	1.5	1.49	1.5	272000	0.0	0.0
1970-01-22	1.5	1.51	1.49	1.5	318400	0.0	0.0
1970-01-23	1.5	1.51	1.49	1.49	176000	0.0	0.0
1970-01-26	1.49	1.5	1.47	1.48	278400	0.0	0.0
1970-01-27	1.48	1.48	1.44	1.44	217600	0.0	0.0
1970-01-28	1.44	1.45	1.43	1.43	344000	0.0	0.0
1970-01-29	1.43	1.43	1.41	1.41	296000	0.0	0.0
1970-01-30	1.41	1.41	1.36	1.37	430400	0.0	0.0
1970-02-02	1.37	1.37	1.36	1.37	340800	0.0	0.0
1970-02-03	1.37	1.41	1.37	1.41	692800	0.0	0.0
1970-02-04	1.41	1.41	1.37	1.38	392000	0.0	0.0
1970-02-05	1.38	1.38	1.36	1.37	292800	0.0	0.0
1970-02-06	1.37	1.38	1.36	1.37	313600	0.0	0.0
1970-02-09	1.37	1.39	1.37	1.38	283200	0.0	0.0
1970-02-10	1.38	1.39	1.38	1.39	267200	0.0	0.0
1970-02-11	1.39	1.39	1.38	1.38	392000	0.0	0.0
1970-02-12	1.39	1.41	1.39	1.41	217600	0.0	0.0
1970-02-13	1.41	1.42	1.4	1.41	148800	0.0	0.0
1970-02-16	1.42	1.44	1.42	1.44	142400	0.0	0.0
1970-02-17	1.45	1.48	1.45	1.46	158400	0.0	0.0
1970-02-18	1.47	1.5	1.47	1.48	683200	0.0	0.0
1970-02-19	1.48	1.49	1.48	1.48	272000	0.0	0.0
1970-02-20	1.48	1.5	1.47	1.47	584000	0.0	0.0
1970-02-24	1.47	1.47	1.46	1.46	193600	0.0	0.0
1970-02-25	1.46	1.5	1.46	1.5	299200	0.0	0.0
1970-02-26	1.5	1.5	1.48	1.49	270400	0.0	0.0
1970-02-27	1.49	1.5	1.48	1.49	152000	0.0	0.0
1970-03-02	1.49	1.5	1.48	1.48	112000	0.0	0.0
1970-03-03	1.48	1.49	1.46	1.47	128000	0.0	0.0
1970-03-04	1.47	1.49	1.47	1.48	331200	0.0	0.0
1970-03-05	1.48	1.48	1.46	1.46	168000	0.0	0.0
1970-03-06	1.46	1.46	1.45	1.45	172800	0.0	0.0
1970-03-09	1.45	1.46	1.44	1.44	120000	0.0	0.0
1970-03-10	1.44	1.45	1.43	1.45	444800	0.0	0.0
1970-03-11	1.45	1.46	1.44	1.45	201600	0.0	0.0
1970-03-12	1.45	1.45	1.44	1.45	80000	0.0	0.0
1970-03-13	1.45	1.45	1.43	1.45	155200	0.0	0.0
1970-03-16	1.43	1.43	1.39	1.4	388800	0.0	0.0
1970-03-17	1.4	1.42	1.4	1.41	228800	0.0	0.0
1970-03-18	1.41	1.41	1.4	1.4	236800	0.0	0.0
1970-03-19	1.4	1.41	1.4	1.41	126400	0.0	0.0
1970-03-20	1.41	1.41	1.38	1.39	251200	0.0	0.0
1970-03-23	1.39	1.4	1.37	1.37	393600	0.0	0.0
1970-03-24	1.38	1.39	1.38	1.38	204800	0.0	0.0
1970-03-25	1.39	1.43	1.39	1.41	436800	0.0	0.0
1970-03-26	1.41	1.43	1.41	1.41	254400	0.0	0.0
1970-03-30	1.41	1.42	1.4	1.42	198400	0.0	0.0
1970-03-31	1.42	1.44	1.41	1.43	224000	0.0	0.0
1970-04-01	1.43	1.46	1.43	1.45	241600	0.0	0.0
1970-04-02	1.45	1.46	1.45	1.46	86400	0.0	0.0
1970-04-03	1.46	1.46	1.45	1.45	121600	0.0	0.0
1970-04-06	1.45	1.45	1.42	1.42	136000	0.0	0.0
1970-04-07	1.42	1.43	1.4	1.42	681600	0.0	0.0
1970-04-08	1.42	1.42	1.41	1.41	148800	0.0	0.0
1970-04-09	1.41	1.42	1.41	1.41	225600	0.0	0.0
1970-04-10	1.41	1.42	1.4	1.41	171200	0.0	0.0
1970-04-13	1.41	1.41	1.39	1.4	131200	0.0	0.0
1970-04-14	1.4	1.4	1.39	1.39	160000	0.0	0.0
1970-04-15	1.39	1.41	1.38	1.38	363200	0.0	0.0
1970-04-16	1.38	1.39	1.37	1.38	324800	0.0	0.0
1970-04-17	1.38	1.38	1.35	1.35	363200	0.0	0.0
1970-04-20	1.35	1.36	1.35	1.35	267200	0.0	0.0
1970-04-21	1.35	1.39	1.34	1.34	472000	0.0	0.0
1970-04-22	1.34	1.34	1.32	1.32	481600	0.0	0.0
1970-04-23	1.31	1.31	1.29	1.3	524800	0.0	0.0
1970-04-24	1.3	1.32	1.29	1.31	435200	0.0	0.0
1970-04-27	1.31	1.31	1.29	1.3	257600	0.0	0.0
1970-04-28	1.3	1.32	1.29	1.29	326400	0.0	0.0
1970-04-29	1.29	1.29	1.27	1.29	448000	0.0	0.0
1970-04-30	1.29	1.3	1.26	1.28	683200	0.0	0.0
1970-05-01	1.28	1.29	1.27	1.28	260800	0.0	0.0
1970-05-04	1.27	1.27	1.24	1.24	675200	0.0	0.0
1970-05-05	1.24	1.24	1.22	1.23	564800	0.0	0.0
1970-05-06	1.23	1.25	1.22	1.24	723200	0.0	0.0
1970-05-07	1.24	1.27	1.24	1.27	353600	0.0	0.0
1970-05-08	1.27	1.29	1.27	1.28	220800	0.0	0.0
1970-05-11	1.28	1.29	1.27	1.27	196800	0.0	0.0
1970-05-12	1.27	1.27	1.25	1.26	332800	0.0	0.0
1970-05-13	1.25	1.25	1.21	1.21	366400	0.0	0.0
1970-05-14	1.21	1.21	1.19	1.21	702400	0.0	0.0
1970-05-15	1.21	1.23	1.2	1.23	302400	0.0	0.0
1970-05-18	1.23	1.24	1.22	1.24	292800	0.02738	0.0
1970-05-19	1.24	1.24	1.21	1.21	174400	0.0	0.0
1970-05-20	1.21	1.22	1.16	1.16	425600	0.0	0.0
1970-05-21	1.15	1.15	1.12	1.15	784000	0.0	0.0
1970-05-22	1.15	1.16	1.13	1.15	196800	0.0	0.0
1970-05-25	1.15	1.15	1.07	1.07	508800	0.0	0.0
1970-05-26	1.07	1.09	1.06	1.07	675200	0.0	0.0
1970-05-27	1.07	1.13	1.07	1.13	480000	0.0	0.0
1970-05-28	1.13	1.15	1.12	1.14	668800	0.0	0.0
