	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	152900355	2020-06-29	0.0823	6001338933
1	Blackrock Inc.	144172140	2020-06-29	0.0776	5658756495
2	Capital World Investors	96803443	2020-06-29	0.0521	3799535137
3	State Street Corporation	79158705	2020-06-29	0.0426	3106979171
4	FMR, LLC	64230003	2020-06-29	0.0346	2521027617
5	Geode Capital Management, LLC	27306311	2020-06-29	0.0147	1071772706
6	Charles Schwab Investment Management, Inc.	25782544	2020-06-29	0.0139	1011964852
7	Capital Research Global Investors	25598531	2020-06-29	0.0138	1004742341
8	Capital International Investors	23509202	2020-06-29	0.0127	922736178
9	JP Morgan Chase & Company	22134353	2020-06-29	0.011899999999999999	868773355
