Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2011-06-24	14.78	14.94	14.05	14.21	1675400	0.0	0.0
2011-06-27	14.0	14.48	13.96	14.36	895200	0.0	0.0
2011-06-28	14.63	15.26	14.38	14.76	4151800	0.0	0.0
2011-06-29	14.88	15.63	14.76	15.29	3695200	0.0	0.0
2011-06-30	15.52	16.02	15.33	15.79	3025600	0.0	0.0
2011-07-01	15.72	18.09	15.64	16.1	8334200	0.0	0.0
2011-07-05	16.1	16.4	15.89	16.1	11823000	0.0	0.0
2011-07-06	15.87	16.12	15.65	15.98	10983000	0.0	0.0
2011-07-07	16.1	16.5	15.91	15.94	16707600	0.0	0.0
2011-07-08	15.57	16.25	15.46	15.8	16417000	0.0	0.0
2011-07-11	15.56	15.56	15.07	15.3	9495200	0.0	0.0
2011-07-12	15.21	15.64	15.05	15.44	8011200	0.0	0.0
2011-07-13	15.46	15.73	14.97	15.24	11642800	0.0	0.0
2011-07-14	15.25	15.27	14.58	14.74	11528400	0.0	0.0
2011-07-15	14.88	15.06	14.54	14.94	9938400	0.0	0.0
2011-07-18	14.78	15.1	14.4	14.92	8311600	0.0	0.0
2011-07-19	14.98	15.24	14.93	15.16	6423000	0.0	0.0
2011-07-20	15.18	15.24	15.03	15.08	5449000	0.0	0.0
2011-07-21	15.08	15.35	14.92	15.3	7249200	0.0	0.0
2011-07-22	15.37	15.57	15.23	15.48	6645600	0.0	0.0
2011-07-25	15.74	16.07	15.51	15.78	8898600	0.0	0.0
2011-07-26	15.79	16.68	15.74	16.42	11324200	0.0	0.0
2011-07-27	16.41	16.52	16.01	16.05	6998400	0.0	0.0
2011-07-28	16.19	16.38	16.1	16.32	6654600	0.0	0.0
2011-07-29	16.16	17.02	16.01	16.71	10709600	0.0	0.0
2011-08-01	17.18	17.31	16.78	17.16	11518400	0.0	0.0
2011-08-02	16.99	17.13	16.12	16.15	10995600	0.0	0.0
2011-08-03	16.51	17.32	14.89	15.81	13413800	0.0	0.0
