Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1993-01-19	0.3	0.33	0.3	0.3	3696700	0.0	0.0
1993-01-20	0.33	0.33	0.3	0.3	297300	0.0	0.0
1993-01-21	0.33	0.33	0.3	0.3	124000	0.0	0.0
1993-01-22	0.33	0.33	0.3	0.33	83300	0.0	0.0
1993-01-25	0.3	0.35	0.3	0.32	958800	0.0	0.0
1993-01-26	0.32	0.37	0.32	0.33	118400	0.0	0.0
1993-01-27	0.33	0.43	0.33	0.38	983400	0.0	0.0
1993-01-28	0.38	0.43	0.33	0.37	551600	0.0	0.0
1993-01-29	0.38	0.38	0.33	0.35	141100	0.0	0.0
1993-02-01	0.33	0.37	0.33	0.34	1317500	0.0	0.0
1993-02-02	0.34	0.37	0.34	0.36	1573100	0.0	0.0
1993-02-03	0.34	0.37	0.34	0.34	177200	0.0	0.0
1993-02-04	0.34	0.37	0.34	0.36	759600	0.0	0.0
1993-02-05	0.34	0.4	0.34	0.37	976400	0.0	0.0
1993-02-08	0.37	0.41	0.37	0.41	2922400	0.0	0.0
1993-02-09	0.41	0.42	0.36	0.36	1765400	0.0	0.0
1993-02-10	0.38	0.38	0.36	0.37	258400	0.0	0.0
1993-02-11	0.36	0.39	0.36	0.36	191600	0.0	0.0
1993-02-12	0.36	0.45	0.36	0.4	2945500	0.0	0.0
1993-02-16	0.43	0.43	0.4	0.4	1323100	0.0	0.0
1993-02-17	0.4	0.45	0.4	0.43	1863800	0.0	0.0
1993-02-18	0.4	0.43	0.4	0.43	720700	0.0	0.0
1993-02-19	0.4	0.43	0.4	0.43	2107500	0.0	0.0
1993-02-22	0.43	0.43	0.4	0.41	927300	0.0	0.0
1993-02-23	0.41	0.43	0.41	0.43	430000	0.0	0.0
1993-02-24	0.43	0.47	0.41	0.43	2252100	0.0	0.0
1993-02-25	0.43	0.47	0.43	0.47	350600	0.0	0.0
1993-02-26	0.47	0.47	0.43	0.45	2896500	0.0	0.0
1993-03-01	0.43	0.45	0.42	0.45	484000	0.0	0.0
1993-03-02	0.42	0.45	0.41	0.45	1671500	0.0	0.0
1993-03-03	0.41	0.45	0.41	0.41	162800	0.0	0.0
1993-03-04	0.45	0.45	0.38	0.41	1516700	0.0	0.0
1993-03-05	0.38	0.42	0.38	0.4	149900	0.0	0.0
1993-03-08	0.38	0.42	0.38	0.38	129900	0.0	0.0
1993-03-09	0.38	0.4	0.37	0.39	886700	0.0	0.0
1993-03-10	0.39	0.39	0.35	0.35	129900	0.0	0.0
1993-03-11	0.35	0.38	0.33	0.35	823300	0.0	0.0
1993-03-12	0.35	0.37	0.33	0.35	440600	0.0	0.0
1993-03-15	0.37	0.37	0.34	0.36	160000	0.0	0.0
1993-03-16	0.33	0.37	0.33	0.36	385600	0.0	0.0
1993-03-17	0.34	0.36	0.33	0.33	79100	0.0	0.0
1993-03-18	0.36	0.36	0.32	0.33	441600	0.0	0.0
1993-03-19	0.32	0.34	0.32	0.32	1392400	0.0	0.0
1993-03-22	0.32	0.34	0.32	0.32	109300	0.0	0.0
1993-03-23	0.33	0.33	0.32	0.32	394000	0.0	0.0
1993-03-24	0.32	0.33	0.28	0.3	1138200	0.0	0.0
1993-03-25	0.32	0.32	0.3	0.32	518300	0.0	0.0
1993-03-26	0.3	0.32	0.28	0.28	223800	0.0	0.0
1993-03-29	0.28	0.31	0.27	0.29	1604600	0.0	0.0
1993-03-30	0.29	0.3	0.27	0.27	397100	0.0	0.0
1993-03-31	0.29	0.29	0.27	0.27	64800	0.0	0.0
1993-04-01	0.29	0.29	0.27	0.28	148500	0.0	0.0
1993-04-02	0.28	0.29	0.27	0.28	1585700	0.0	0.0
1993-04-05	0.27	0.3	0.27	0.28	222000	0.0	0.0
1993-04-06	0.28	0.32	0.25	0.25	1061800	0.0	0.0
1993-04-07	0.25	0.27	0.22	0.24	194700	0.0	0.0
1993-04-08	0.22	0.23	0.22	0.22	274200	0.0	0.0
1993-04-12	0.22	0.22	0.17	0.2	476600	0.0	0.0
1993-04-13	0.18	0.2	0.17	0.17	1210300	0.0	0.0
1993-04-14	0.17	0.21	0.17	0.2	811800	0.0	0.0
1993-04-15	0.19	0.21	0.19	0.2	298700	0.0	0.0
1993-04-16	0.19	0.21	0.19	0.19	1006800	0.0	0.0
1993-04-19	0.19	0.27	0.19	0.27	899700	0.0	0.0
1993-04-20	0.25	0.3	0.25	0.28	5026100	0.0	0.0
1993-04-21	0.3	0.3	0.28	0.3	707800	0.0	0.0
1993-04-22	0.31	0.31	0.29	0.29	177200	0.0	0.0
1993-04-23	0.29	0.31	0.29	0.29	97700	0.0	0.0
1993-04-26	0.29	0.31	0.27	0.29	1353500	0.0	0.0
1993-04-27	0.29	0.29	0.25	0.25	495200	0.0	0.0
1993-04-28	0.25	0.28	0.25	0.27	162800	0.0	0.0
1993-04-29	0.27	0.27	0.25	0.27	86500	0.0	0.0
1993-04-30	0.25	0.25	0.25	0.25	459100	0.0	0.0
1993-05-03	0.25	0.25	0.25	0.25	25600	0.0	0.0
1993-05-04	0.25	0.27	0.25	0.25	38900	0.0	0.0
1993-05-05	0.25	0.27	0.25	0.27	246500	0.0	0.0
1993-05-06	0.25	0.27	0.25	0.25	209400	0.0	0.0
1993-05-07	0.25	0.27	0.23	0.23	1048500	0.0	0.0
1993-05-10	0.23	0.27	0.23	0.24	833500	0.0	0.0
1993-05-11	0.26	0.26	0.23	0.23	142500	0.0	0.0
1993-05-12	0.23	0.26	0.23	0.23	693400	0.0	0.0
1993-05-13	0.23	0.27	0.23	0.24	97700	0.0	0.0
1993-05-14	0.24	0.27	0.24	0.25	105100	0.0	0.0
1993-05-17	0.28	0.28	0.26	0.26	366700	0.0	0.0
1993-05-18	0.26	0.27	0.26	0.26	39900	0.0	0.0
1993-05-19	0.27	0.32	0.27	0.32	2857300	0.0	0.0
1993-05-20	0.3	0.38	0.3	0.37	2009400	0.0	0.0
1993-05-21	0.38	0.45	0.36	0.38	1463100	0.0	0.0
1993-05-24	0.38	0.41	0.38	0.38	660100	0.0	0.0
1993-05-25	0.38	0.41	0.36	0.36	489600	0.0	0.0
1993-05-26	0.38	0.38	0.36	0.36	217800	0.0	0.0
1993-05-27	0.36	0.38	0.35	0.37	298700	0.0	0.0
1993-05-28	0.35	0.37	0.35	0.37	125400	0.0	0.0
1993-06-01	0.37	0.37	0.35	0.36	1133900	0.0	0.0
1993-06-02	0.36	0.4	0.36	0.4	758200	0.0	0.0
1993-06-03	0.4	0.42	0.37	0.42	200700	0.0	0.0
1993-06-04	0.38	0.42	0.38	0.42	53200	0.0	0.0
1993-06-07	0.39	0.42	0.39	0.39	480500	0.0	0.0
1993-06-08	0.39	0.41	0.38	0.38	2134800	0.0	0.0
1993-06-09	0.41	0.41	0.38	0.4	3042200	0.0	0.0
1993-06-10	0.41	0.41	0.38	0.4	512700	0.0	0.0
