Date	Firm	To Grade	From Grade	Action
2015-11-23 07:47:53	BTIG Research	Sell		init
2015-11-23 07:58:39	Axiom Capital	Buy		init
2015-12-07 07:47:49	Wells Fargo	Outperform		init
2015-12-10 08:08:36	UBS	Buy		init
2015-12-14 06:05:12	Barclays	Overweight		init
2015-12-14 08:14:38	Cowen & Co.	Outperform		init
2015-12-14 08:15:31	JP Morgan	Neutral		init
2015-12-14 08:15:59	BMO Capital	Outperform		init
2015-12-14 08:16:02	Deutsche Bank	Buy		init
2015-12-14 11:09:55	Bank of America	Buy		init
2015-12-14 11:57:05	Goldman Sachs	Sell		init
2015-12-14 13:03:15	Oppenheimer	Outperform		init
2016-02-04 04:01:25	Barclays	Equal-Weight	Overweight	down
2016-02-16 07:41:12	BTIG Research	Neutral	Sell	up
2016-03-23 16:28:45	SunTrust Robinson Humphrey	Buy		init
2016-07-28 07:21:27	JP Morgan	Overweight	Neutral	up
2016-07-28 11:15:12	Deutsche Bank	Buy		main
2016-10-13 16:09:44	Barclays	Equal-Weight		main
2017-01-20 13:06:11	Guggenheim	Neutral	Buy	down
2017-10-04 12:03:33	Citigroup	Buy		main
2017-10-10 13:22:06	Bank of America	Buy		main
2017-10-13 12:29:32	BMO Capital	Outperform		main
2017-10-23 17:35:57	Barclays	Equal-Weight		main
2017-11-09 14:28:09	BMO Capital	Outperform		main
2017-11-09 14:53:26	UBS	Buy		main
2017-11-09 16:36:07	Barclays	Equal-Weight		main
2017-11-09 17:52:55	Oppenheimer	Market Perform	Outperform	down
2017-12-19 13:13:24	Guggenheim	Buy	Neutral	up
2018-02-02 17:45:45	Bank of America	Buy	Buy	main
2018-02-08 13:40:40	Barclays	Equal-Weight	Equal-Weight	main
2018-02-08 14:23:01	BMO Capital	Outperform	Outperform	main
2018-02-09 13:18:23	Citigroup	Buy	Buy	main
2018-02-21 10:28:06	JP Morgan	Neutral	Overweight	down
2018-03-09 13:07:02	Wells Fargo	Market Perform	Outperform	down
2018-03-15 12:55:41	UBS	Neutral	Buy	down
2018-03-21 17:38:48	Guggenheim	Neutral	Buy	down
2018-05-02 11:33:48	Jefferies	Hold	Buy	down
2018-05-02 11:45:02	Evercore ISI Group	In-Line	Outperform	down
2018-05-10 12:54:30	UBS	Buy	Neutral	up
2018-06-11 10:24:30	Jefferies	Buy	Hold	up
2018-08-09 12:13:40	BMO Capital	Outperform	Outperform	main
2018-08-09 16:54:30	Barclays	Equal-Weight	Equal-Weight	main
2018-08-17 12:19:04	Deutsche Bank	Buy	Buy	main
2018-10-04 12:04:16	Jefferies	Buy	Buy	main
2018-11-05 14:30:34	Deutsche Bank	Buy	Buy	main
2019-02-06 12:36:06	Deutsche Bank	Hold	Buy	down
2019-02-08 12:22:26	Nomura	Neutral	Buy	down
2019-05-09 11:07:47	Goldman Sachs	Neutral	Sell	up
2019-05-09 13:14:37	Barclays	Equal-Weight		main
2019-07-26 11:02:28	BMO Capital	Market Perform	Outperform	down
2019-08-08 11:20:24	UBS	Neutral	Buy	down
2019-08-08 12:40:26	Nomura	Neutral		main
2019-08-08 12:48:56	BMO Capital	Market Perform		main
2019-09-05 11:22:43	SunTrust Robinson Humphrey	Buy	Hold	up
2019-09-27 11:04:35	Evercore ISI Group	Outperform	In-Line	up
2019-10-07 10:26:52	Deutsche Bank	Buy	Hold	up
2019-10-07 10:28:14	Nomura	Buy	Neutral	up
2019-10-10 10:43:10	Oppenheimer	Outperform	Perform	up
2019-11-07 12:11:10	UBS	Buy	Neutral	up
2019-11-07 15:24:23	Nomura	Buy		main
2019-11-07 15:46:39	Barclays	Equal-Weight		main
2019-11-08 13:36:26	JP Morgan	Neutral		main
2020-01-13 14:52:16	Evercore ISI Group	Outperform		main
2020-01-17 11:42:55	UBS	Neutral	Buy	down
2020-01-28 12:37:48	Barclays	Equal-Weight		main
2020-02-06 12:37:57	Oppenheimer	Outperform		main
2020-02-06 13:14:12	Wedbush	Neutral		main
2020-02-06 15:04:11	Nomura	Buy		main
2020-04-02 19:54:12	SunTrust Robinson Humphrey	Buy		main
2020-04-20 15:54:59	Nomura Instinet	Buy		main
2020-04-21 16:17:56	UBS	Neutral		main
2020-05-07 12:22:34	Deutsche Bank	Buy		main
2020-05-07 12:39:15	Nomura Instinet	Buy		main
2020-05-07 14:26:17	Oppenheimer	Outperform		main
2020-05-07 16:03:32	UBS	Neutral		main
2020-05-07 16:11:40	SunTrust Robinson Humphrey	Buy		main
2020-05-07 17:11:35	BMO Capital	Market Perform		main
2020-05-08 12:03:25	Citigroup	Buy		main
2020-06-23 13:08:53	BMO Capital	Market Perform		main
2020-06-23 14:56:00	SunTrust Robinson Humphrey	Buy		main
2020-08-06 12:23:01	Wedbush	Neutral		main
2020-08-06 13:08:55	Morgan Stanley	Overweight		main
2020-08-06 15:28:37	BMO Capital	Market Perform		main
2020-08-13 11:52:00	Citigroup	Buy		main
2020-09-17 11:40:54	Morgan Stanley	Overweight		main
