	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	32467063	2020-06-29	0.1217	1967828688
1	Price (T.Rowe) Associates Inc	27086794	2020-06-29	0.1016	1641730584
2	Blackrock Inc.	22637096	2020-06-29	0.0849	1372034388
3	State Street Corporation	12151841	2020-06-29	0.045599999999999995	736523083
4	Bank Of New York Mellon Corporation	11071078	2020-06-29	0.0415	671018037
5	Invesco Ltd.	9329456	2020-06-29	0.035	565458328
6	American Century Companies, Inc.	8202203	2020-06-29	0.0308	497135523
7	Geode Capital Management, LLC	5092962	2020-06-29	0.0191	308684426
8	Wells Fargo & Company	4984807	2020-06-29	0.0187	302129152
9	FIL LTD	4089105	2020-06-29	0.015300000000000001	247840654
