	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	8479339	2020-06-29	0.0909	1034479358
1	FMR, LLC	8366734	2020-06-29	0.0897	1020741548
2	Blackrock Inc.	7506690	2020-06-29	0.0805	915816180
3	Price (T.Rowe) Associates Inc	6679593	2020-06-29	0.0716	814910346
4	Janus Henderson Group PLC	6494191	2020-06-29	0.0696	792291302
5	Capital International Investors	6096396	2020-06-29	0.0654	743760312
6	Bellevue Group AG	3210900	2020-06-29	0.0344	391729800
7	State Street Corporation	2288040	2020-06-29	0.0245	279140880
8	Perceptive Advisors Llc	2141410	2020-06-29	0.023	261252020
9	Invesco Ltd.	1953309	2020-06-29	0.0209	238303698
