Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2002-07-01	12.87	12.87	12.87	12.87	1300	0.0	0
2002-07-02	13.3	14.16	12.87	12.98	7000	0.0	0
2002-07-03	12.01	13.73	12.01	12.87	10200	0.0	0
2002-07-05	12.87	12.87	12.87	12.87	500	0.0	0
2002-07-08	12.01	12.01	12.01	12.01	300	0.0	0
2002-07-09	12.01	13.3	12.01	13.3	2300	0.0	0
2002-07-10	11.8	13.3	11.8	13.3	500	0.0	0
2002-07-11	13.3	13.3	13.3	13.3	0	0.0	0
2002-07-12	12.87	12.87	12.87	12.87	100	0.0	0
2002-07-15	12.66	12.66	10.73	10.94	42700	0.0	0
2002-07-16	10.94	10.94	10.73	10.73	5900	0.0	0
2002-07-17	10.73	10.73	10.51	10.73	2400	0.0	0
2002-07-18	10.55	10.55	10.08	10.08	1400	0.0	0
2002-07-19	9.95	9.95	8.62	9.01	10700	0.0	0
2002-07-22	9.01	9.01	8.58	8.75	4600	0.0	0
2002-07-23	8.75	8.75	8.75	8.75	100	0.0	0
2002-07-24	8.75	9.01	8.75	9.01	2200	0.0	0
2002-07-25	9.01	9.01	8.71	8.71	1300	0.0	0
2002-07-26	8.71	8.71	8.71	8.71	0	0.0	0
2002-07-29	9.01	9.53	8.97	9.53	4100	0.0	0
2002-07-30	9.65	10.17	9.65	9.87	8900	0.0	0
2002-07-31	10.21	10.3	10.08	10.3	5000	0.0	0
2002-08-01	10.13	10.21	10.13	10.13	4300	0.0	0
2002-08-02	10.13	10.13	10.13	10.13	0	0.0	0
2002-08-05	10.21	10.3	10.17	10.17	28600	0.0	0
2002-08-06	10.3	10.3	10.3	10.3	10000	0.0	0
2002-08-07	10.28	10.34	10.25	10.34	4400	0.0	0
2002-08-08	10.38	10.38	10.34	10.38	12300	0.0	0
2002-08-09	10.43	10.43	10.43	10.43	3400	0.0	0
2002-08-12	10.43	10.43	10.38	10.43	24400	0.0	0
2002-08-13	10.47	10.47	10.38	10.47	3900	0.0	0
2002-08-14	10.43	10.47	10.43	10.47	3700	0.0	0
2002-08-15	10.43	10.43	10.38	10.38	700	0.0	0
2002-08-16	10.3	10.43	10.3	10.43	8600	0.0	0
2002-08-19	10.43	10.43	10.0	10.0	8700	0.0	0
2002-08-20	9.95	9.95	9.95	9.95	100	0.0	0
2002-08-21	10.21	10.3	10.08	10.08	16400	0.0	0
2002-08-22	10.08	10.08	9.44	9.44	35500	0.0	0
2002-08-23	9.44	9.53	9.44	9.53	3700	0.0	0
2002-08-26	9.44	9.44	9.31	9.33	11900	0.0	0
2002-08-27	9.31	9.44	9.02	9.02	23900	0.0	0
2002-08-28	9.01	9.01	8.58	8.67	24700	0.0	0
2002-08-29	8.75	8.75	8.67	8.75	8500	0.0	0
2002-08-30	8.84	8.84	8.58	8.58	4200	0.0	0
2002-09-03	8.54	8.58	7.98	8.5	8000	0.0	0
2002-09-04	8.02	8.15	7.64	7.98	89100	0.0	0
2002-09-05	7.98	7.98	7.98	7.98	3100	0.0	0
2002-09-06	7.98	8.32	7.98	8.32	30400	0.0	0
2002-09-09	8.37	8.5	8.32	8.41	26000	0.0	0
2002-09-10	8.5	8.54	8.43	8.5	36200	0.0	0
2002-09-11	8.58	8.62	8.5	8.62	2400	0.0	0
2002-09-12	8.67	8.67	8.5	8.5	4000	0.0	0
2002-09-13	8.5	8.53	8.5	8.53	2800	0.0	0
2002-09-16	8.53	8.58	8.45	8.58	10300	0.0	0
2002-09-17	8.37	8.5	8.37	8.5	4800	0.0	0
2002-09-18	8.47	8.47	8.47	8.47	1500	0.0	0
2002-09-19	8.41	8.41	8.41	8.41	6200	0.0	0
2002-09-20	8.28	8.28	8.07	8.07	2700	0.0	0
2002-09-23	8.37	8.37	8.32	8.32	1200	0.0	0
2002-09-24	8.07	8.07	8.07	8.07	2000	0.0	0
2002-09-25	8.24	8.32	8.15	8.24	7000	0.0	0
2002-09-26	8.32	8.32	8.32	8.32	1000	0.0	0
2002-09-27	8.24	8.24	7.98	8.14	6200	0.0	0
2002-09-30	7.98	8.02	7.98	8.02	3100	0.0	0
2002-10-01	8.15	8.15	8.15	8.15	2000	0.0	0
2002-10-02	8.15	8.15	7.98	8.13	8700	0.0	0
2002-10-03	8.19	8.19	8.19	8.19	100	0.0	0
2002-10-04	8.19	8.19	8.19	8.19	500	0.0	0
2002-10-07	8.07	8.15	8.07	8.15	1000	0.0	0
2002-10-08	7.98	7.98	7.94	7.94	3200	0.0	0
2002-10-09	7.94	7.98	7.72	7.72	19100	0.0	0
2002-10-10	7.72	7.72	7.72	7.72	3000	0.0	0
2002-10-11	7.81	7.81	7.68	7.72	19900	0.0	0
2002-10-14	7.68	7.72	7.64	7.71	13500	0.0	0
2002-10-15	7.55	7.55	7.25	7.42	23600	0.0	0
2002-10-16	7.25	7.29	7.08	7.17	14700	0.0	0
2002-10-17	7.12	7.12	6.86	7.08	9900	0.0	0
2002-10-18	7.08	7.08	7.08	7.08	12400	0.0	0
2002-10-21	7.08	7.08	6.78	6.91	4200	0.0	0
2002-10-22	6.86	6.95	6.86	6.86	10900	0.0	0
2002-10-23	6.69	6.69	6.61	6.69	2100	0.0	0
2002-10-24	6.61	6.61	6.18	6.22	7500	0.0	0
2002-10-25	6.01	6.18	5.45	6.18	43700	0.0	0
2002-10-28	6.44	6.44	6.01	6.01	3200	0.0	0
2002-10-29	6.44	6.65	6.26	6.65	7700	0.0	0
2002-10-30	6.26	6.56	6.22	6.48	11400	0.0	0
2002-10-31	6.48	6.48	6.39	6.44	9000	0.0	0
2002-11-01	6.31	6.44	6.31	6.44	9200	0.0	0
2002-11-04	6.61	6.61	6.44	6.44	4400	0.0	0
2002-11-05	6.44	6.44	6.44	6.44	500	0.0	0
2002-11-06	6.52	6.52	6.52	6.52	300	0.0	0
2002-11-07	6.61	6.61	6.44	6.44	2700	0.0	0
2002-11-08	6.44	6.44	6.44	6.44	0	0.0	0
2002-11-11	6.61	6.78	6.58	6.78	11200	0.0	0
2002-11-12	6.78	6.78	6.78	6.78	5300	0.0	0
2002-11-13	6.78	7.19	6.78	7.19	38300	0.0	0
2002-11-14	7.19	7.25	7.19	7.25	5400	0.0	0
2002-11-15	7.29	7.29	7.21	7.21	3400	0.0	0
2002-11-18	7.25	7.29	7.23	7.29	12400	0.0	0
2002-11-19	7.21	7.21	7.08	7.1	4200	0.0	0
2002-11-20	7.21	7.21	7.21	7.21	500	0.0	0
2002-11-21	7.21	7.21	7.05	7.21	16600	0.0	0
2002-11-22	7.07	7.21	7.07	7.21	1200	0.0	0
2002-11-25	7.21	7.21	7.21	7.21	12800	0.0	0
2002-11-26	7.21	8.02	7.21	7.98	274000	0.0	0
2002-11-27	7.98	8.58	7.98	8.58	124800	0.0	0
2002-11-29	8.58	9.44	8.58	8.58	11700	0.0	0
2002-12-02	8.58	8.75	8.58	8.71	16700	0.0	0
2002-12-03	8.71	8.71	8.71	8.71	0	0.0	0
2002-12-04	8.62	8.8	8.62	8.62	2400	0.0	0
2002-12-05	8.62	9.01	8.62	9.01	3500	0.0	0
2002-12-06	8.92	9.22	8.92	9.18	126900	0.0	0
2002-12-09	9.01	9.22	8.97	8.97	25500	0.0	0
2002-12-10	9.14	9.22	9.02	9.1	2000	0.0	0
2002-12-11	9.02	9.14	9.02	9.1	4100	0.0	0
2002-12-12	9.14	9.61	9.14	9.53	7800	0.0	0
2002-12-13	9.4	9.48	9.27	9.44	5200	0.0	0
2002-12-16	9.61	9.61	9.48	9.48	8300	0.0	0
2002-12-17	9.48	9.61	9.45	9.45	4500	0.0	0
2002-12-18	9.45	9.61	9.44	9.48	6200	0.0	0
2002-12-19	9.48	9.48	9.01	9.48	28700	0.0	0
2002-12-20	9.01	9.01	9.01	9.01	1500	0.0	0
2002-12-23	9.14	9.53	9.14	9.27	4500	0.0	0
2002-12-24	9.27	9.27	9.27	9.27	0	0.0	0
2002-12-26	9.05	9.05	9.01	9.01	21000	0.0	0
2002-12-27	9.01	9.01	9.01	9.01	0	0.0	0
2002-12-30	9.27	9.27	9.03	9.03	4800	0.0	0
2002-12-31	9.27	9.27	8.58	8.58	32600	0.0	0
2003-01-02	8.59	8.97	8.59	8.8	3200	0.0	0
2003-01-03	8.8	8.8	8.8	8.8	600	0.0	0
2003-01-06	8.97	8.97	8.92	8.92	2700	0.0	0
2003-01-07	8.84	8.86	8.84	8.84	2000	0.0	0
2003-01-08	8.84	8.84	8.63	8.75	8400	0.0	0
2003-01-09	8.71	8.84	7.89	8.15	133100	0.0	0
2003-01-10	7.94	8.37	7.81	7.94	5100	0.0	0
2003-01-13	7.94	8.59	7.85	8.59	4300	0.0	0
2003-01-14	7.94	7.94	7.81	7.89	8900	0.0	0
2003-01-15	8.37	8.41	8.07	8.41	24100	0.0	0
2003-01-16	8.45	8.45	8.15	8.37	5500	0.0	0
2003-01-17	8.15	8.15	8.15	8.15	1400	0.0	0
2003-01-21	8.15	8.37	8.07	8.15	20400	0.0	0
2003-01-22	8.02	8.03	8.02	8.02	17000	0.0	0
2003-01-23	8.02	8.02	7.94	7.94	8700	0.0	0
2003-01-24	7.94	7.97	7.89	7.89	14500	0.0	0
2003-01-27	7.89	7.97	7.89	7.97	4900	0.0	0
2003-01-28	7.9	7.9	7.89	7.89	6300	0.0	0
2003-01-29	7.89	7.89	7.81	7.82	37100	0.0	0
2003-01-30	7.82	7.82	7.81	7.81	21500	0.0	0
2003-01-31	7.81	7.94	7.81	7.81	25000	0.0	0
2003-02-03	7.81	7.94	7.81	7.81	5800	0.0	0
2003-02-04	7.81	7.89	7.81	7.89	3200	0.0	0
2003-02-05	7.81	7.81	7.81	7.81	4400	0.0	0
2003-02-06	7.81	7.81	7.79	7.79	20100	0.0	0
2003-02-07	7.81	7.89	7.81	7.89	1800	0.0	0
2003-02-10	7.89	7.89	7.72	7.72	15300	0.0	0
2003-02-11	7.72	7.72	6.95	6.95	22600	0.0	0
2003-02-12	6.99	7.16	6.78	6.78	7300	0.0	0
2003-02-13	6.61	6.86	6.61	6.86	3800	0.0	0
2003-02-14	6.86	6.86	6.86	6.86	2200	0.0	0
2003-02-18	6.86	6.86	6.86	6.86	2400	0.0	0
2003-02-19	6.86	6.95	6.82	6.95	5100	0.0	0
2003-02-20	7.08	7.08	6.78	6.82	2500	0.0	0
2003-02-21	6.78	6.82	6.78	6.82	900	0.0	0
2003-02-24	6.86	6.86	6.78	6.86	1300	0.0	0
2003-02-25	6.65	6.65	6.65	6.65	200	0.0	0
2003-02-26	6.67	6.67	6.67	6.67	600	0.0	0
2003-02-27	6.67	6.82	6.67	6.78	7000	0.0	0
2003-02-28	6.67	6.76	6.65	6.65	2300	0.0	0
2003-03-03	6.65	6.69	6.65	6.65	6500	0.0	0
2003-03-04	6.78	6.78	6.69	6.69	5800	0.0	0
2003-03-05	6.69	6.69	6.69	6.69	0	0.0	0
2003-03-06	6.66	6.78	6.65	6.78	2100	0.0	0
2003-03-07	6.57	6.62	6.57	6.62	400	0.0	0
2003-03-10	6.57	6.62	6.57	6.62	1300	0.0	0
2003-03-11	5.79	6.02	5.79	5.92	21400	0.0	0
2003-03-12	6.01	6.01	5.88	5.92	15500	0.0	0
2003-03-13	6.01	6.01	6.01	6.01	4000	0.0	0
2003-03-14	6.01	6.01	6.01	6.01	300	0.0	0
2003-03-17	6.01	6.01	6.01	6.01	6000	0.0	0
2003-03-18	6.01	6.18	5.96	6.18	8100	0.0	0
2003-03-19	6.18	6.18	6.01	6.17	6400	0.0	0
2003-03-20	6.01	6.14	6.01	6.14	2200	0.0	0
2003-03-21	5.92	6.05	5.92	6.01	9900	0.0	0
2003-03-24	5.96	5.96	5.96	5.96	300	0.0	0
2003-03-25	6.09	6.14	6.01	6.01	1700	0.0	0
2003-03-26	6.01	6.01	5.96	6.01	3000	0.0	0
2003-03-27	6.01	6.01	6.01	6.01	1500	0.0	0
2003-03-28	5.96	5.96	5.96	5.96	100	0.0	0
2003-03-31	5.96	6.01	5.96	5.96	8200	0.0	0
2003-04-01	6.01	6.01	5.96	6.01	900	0.0	0
2003-04-02	6.01	6.01	6.01	6.01	0	0.0	0
2003-04-03	5.96	5.96	5.58	5.58	1700	0.0	0
2003-04-04	5.59	5.59	5.15	5.15	68700	0.0	0
2003-04-07	5.17	5.36	5.17	5.28	9800	0.0	0
2003-04-08	5.28	5.32	5.28	5.32	4700	0.0	0
2003-04-09	5.29	5.29	4.57	4.61	105300	0.0	0
2003-04-10	4.72	4.81	4.69	4.72	20600	0.0	0
2003-04-11	4.63	4.63	4.57	4.57	12000	0.0	0
2003-04-14	4.63	4.63	4.51	4.57	41800	0.0	0
2003-04-15	4.55	4.55	4.42	4.53	68600	0.0	0
2003-04-16	4.51	4.51	4.45	4.51	20800	0.0	0
2003-04-17	4.51	4.51	4.47	4.51	16500	0.0	0
2003-04-21	4.51	4.51	4.46	4.51	276900	0.0	0
2003-04-22	4.51	4.55	4.46	4.55	91000	0.0	0
2003-04-23	4.51	4.51	4.48	4.51	28200	0.0	0
2003-04-24	4.51	4.51	4.48	4.51	41100	0.0	0
2003-04-25	4.51	5.06	4.51	5.06	44400	0.0	0
2003-04-28	4.89	5.05	4.89	4.91	33300	0.0	0
2003-04-29	4.85	5.32	4.76	5.18	73900	0.0	0
2003-04-30	5.15	5.41	5.15	5.41	86200	0.0	0
2003-05-01	5.53	5.53	5.32	5.32	26900	0.0	0
2003-05-02	5.36	5.57	5.36	5.53	40000	0.0	0
2003-05-05	5.57	5.57	5.45	5.45	3000	0.0	0
2003-05-06	5.49	5.49	5.49	5.49	10200	0.0	0
2003-05-07	5.49	5.49	5.49	5.49	900	0.0	0
2003-05-08	5.41	5.49	5.41	5.48	15900	0.0	0
2003-05-09	5.37	5.41	5.36	5.36	5900	0.0	0
2003-05-12	5.48	5.48	5.41	5.43	36300	0.0	0
2003-05-13	5.47	5.47	5.41	5.41	10200	0.0	0
2003-05-14	5.41	5.47	5.41	5.45	50600	0.0	0
2003-05-15	5.41	5.5	5.41	5.45	15700	0.0	0
2003-05-16	5.41	5.49	5.41	5.41	10500	0.0	0
2003-05-19	5.45	5.45	5.45	5.45	100	0.0	0
2003-05-20	5.42	5.43	5.32	5.32	55000	0.0	0
2003-05-21	5.29	5.3	5.23	5.28	53800	0.0	0
2003-05-22	5.24	5.25	5.21	5.21	14100	0.0	0
2003-05-23	5.19	5.21	5.03	5.03	35000	0.0	0
2003-05-27	5.11	5.11	5.06	5.06	5700	0.0	0
2003-05-28	5.11	5.15	5.11	5.15	2300	0.0	0
2003-05-29	5.11	5.19	5.06	5.19	21900	0.0	0
2003-05-30	5.16	5.32	5.16	5.32	45200	0.0	0
2003-06-02	5.32	5.42	5.32	5.42	5800	0.0	0
2003-06-03	5.41	5.41	5.32	5.32	10800	0.0	0
2003-06-04	5.36	5.36	5.32	5.32	26400	0.0	0
2003-06-05	5.36	5.41	5.28	5.41	7700	0.0	0
2003-06-06	5.32	5.53	5.32	5.48	17200	0.0	0
2003-06-09	5.42	5.48	5.4	5.41	9400	0.0	0
2003-06-10	5.41	5.49	5.41	5.41	17600	0.0	0
2003-06-11	5.41	5.45	5.34	5.34	9100	0.0	0
2003-06-12	5.41	5.41	5.35	5.35	32600	0.0	0
2003-06-13	5.41	5.49	5.35	5.49	24700	0.0	0
2003-06-16	5.49	6.31	5.49	6.26	82500	0.0	0
2003-06-17	6.35	6.61	6.01	6.01	24500	0.0	0
2003-06-18	6.05	6.35	6.05	6.09	38500	0.0	0
2003-06-19	6.11	6.2	5.92	5.92	22200	0.0	0
2003-06-20	6.14	6.14	6.09	6.14	22000	0.0	0
2003-06-23	6.09	6.09	5.92	6.01	13100	0.0	0
2003-06-24	6.09	6.14	6.05	6.14	10800	0.0	0
2003-06-25	6.14	6.14	6.09	6.09	2900	0.0	0
2003-06-26	6.14	6.69	6.14	6.69	47500	0.0	0
2003-06-27	6.82	7.51	6.7	7.08	55800	0.0	0
2003-06-30	7.25	7.25	6.91	6.91	20300	0.0	0
2003-07-01	6.91	6.94	6.65	6.65	22500	0.0	0
2003-07-02	6.82	6.99	6.82	6.99	23800	0.0	0
2003-07-03	6.86	7.08	6.86	7.08	42900	0.0	0
2003-07-07	6.99	6.99	6.86	6.86	7100	0.0	0
2003-07-08	6.95	7.38	6.86	7.38	78800	0.0	0
2003-07-09	7.55	8.15	7.51	7.96	64700	0.0	0
2003-07-10	8.06	8.06	7.72	7.77	37400	0.0	0
2003-07-11	7.88	7.89	7.86	7.86	27500	0.0	0
2003-07-14	7.89	8.19	7.89	8.19	52700	0.0	0
2003-07-15	8.37	8.58	8.32	8.38	30600	0.0	0
