	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	96358686	2020-06-29	0.12	5949185273
1	Vanguard Group, Inc. (The)	76372555	2020-06-29	0.0951	4715241545
2	Van Eck Associates Corporation	39356915	2020-06-29	0.049	2429895932
3	State Street Corporation	37006069	2020-06-29	0.0461	2284754700
4	FMR, LLC	24885177	2020-06-29	0.031	1536410827
5	First Eagle Investment Management, LLC	19468334	2020-06-29	0.0242	1201974941
6	Deutsche Bank Aktiengesellschaft	18376036	2020-06-29	0.0229	1134536462
7	Flossbach von Storch AG	13045255	2020-06-29	0.016200000000000003	805414043
8	Renaissance Technologies, LLC	12856785	2020-06-29	0.016	793777905
9	Geode Capital Management, LLC	12257029	2020-06-29	0.015300000000000001	756748970
