	Holder	Shares	Date Reported	% Out	Value
0	Capital Research Global Investors	34111988	2020-06-29	0.07730000000000001	15522319019
1	Vanguard Group, Inc. (The)	34001284	2020-06-29	0.0771	15471944271
2	Blackrock Inc.	29171135	2020-06-29	0.0661	13274033270
3	FMR, LLC	22033243	2020-06-29	0.05	10026006894
4	Price (T.Rowe) Associates Inc	20626346	2020-06-29	0.046799999999999994	9385812483
5	State Street Corporation	16613245	2020-06-29	0.0377	7559691004
6	Capital International Investors	15137030	2020-06-29	0.034300000000000004	6887954131
7	Capital World Investors	13676170	2020-06-29	0.031	6223204396
8	Jennison Associates LLC	9099165	2020-06-29	0.0206	4140484041
9	Baillie Gifford and Company	7713485	2020-06-29	0.0175	3509944214
