	Holder	Shares	Date Reported	% Out	Value
0	Baillie Gifford and Company	97777594	2020-06-29	0.6111	754843025
1	Blackrock Inc.	42695634	2020-06-29	0.2668	329610294
2	Vanguard Group, Inc. (The)	28585399	2020-06-29	0.1787	220679280
3	Shaw D.E. & Co., Inc.	19034592	2020-06-29	0.11900000000000001	146947050
4	State Street Corporation	16305979	2020-06-29	0.10189999999999999	125882157
5	Goldman Sachs Group, Inc.	12403167	2020-06-29	0.0775	95752449
6	Jericho Capital Asset Management, LP	11723281	2020-06-29	0.0733	90503729
7	Credit Suisse Ag/	11476443	2020-06-29	0.0717	88598139
8	Renaissance Technologies, LLC	9300100	2020-06-29	0.0581	71796772
9	Electron Capital Partners, LLC	9042528	2020-06-29	0.0565	69808316
