	Holder	Shares	Date Reported	% Out	Value
0	Primecap Management Company	29726938	2020-06-29	0.13390000000000002	1318984239
1	Capital International Investors	26857101	2020-06-29	0.121	1191649571
2	Vanguard Group, Inc. (The)	25893981	2020-06-29	0.1166	1148915936
3	Blackrock Inc.	18335763	2020-06-29	0.08259999999999999	813557804
4	State Street Corporation	9936360	2020-06-29	0.044800000000000006	440876293
5	Bank Of New York Mellon Corporation	5575031	2020-06-29	0.025099999999999997	247364125
6	Ameriprise Financial, Inc.	5160318	2020-06-29	0.0232	228963309
7	First Trust Advisors LP	4579451	2020-06-29	0.0206	203190240
8	American International Group Inc	4025617	2020-06-29	0.0181	178616626
9	Geode Capital Management, LLC	3993398	2020-06-29	0.018000000000000002	177187069
