	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	10438534	2020-06-29	0.1033	619005066
1	Baillie Gifford and Company	7903720	2020-06-29	0.0782	468690596
2	Vanguard Group, Inc. (The)	7474620	2020-06-29	0.0739	443244966
3	Capital World Investors	5303248	2020-06-29	0.0525	314482606
4	Blackrock Inc.	4299747	2020-06-29	0.0425	254974997
5	Capital International Investors	3487688	2020-06-29	0.0345	206819898
6	Credit Suisse Ag/	2197860	2020-06-29	0.0217	130333098
7	Renaissance Technologies, LLC	2000570	2020-06-29	0.019799999999999998	118633801
8	Wellington Management Company, LLP	1769529	2020-06-29	0.0175	104933069
9	Darsana Capital Partners LP	1700000	2020-06-29	0.0168	100810000
