Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1973-05-03	0.63	0.65	0.62	0.65	30000	0.0	0.0
1973-05-04	0.65	0.65	0.63	0.63	2400	0.0	0.0
1973-05-07	0.63	0.63	0.63	0.63	1200	0.0	0.0
1973-05-08	0.63	0.63	0.62	0.62	32400	0.0	0.0
1973-05-09	0.62	0.63	0.62	0.63	2400	0.0	0.0
1973-05-10	0.62	0.62	0.62	0.62	1200	0.0	0.0
1973-05-11	0.62	0.63	0.62	0.63	4800	0.0	0.0
1973-05-14	0.63	0.65	0.62	0.62	58800	0.0	0.0
1973-05-15	0.62	0.62	0.6	0.6	21600	0.0	0.0
1973-05-16	0.6	0.62	0.6	0.6	4800	0.0	0.0
1973-05-17	0.6	0.6	0.6	0.6	6000	0.0	0.0
1973-05-18	0.6	0.6	0.6	0.6	20400	0.0	0.0
1973-05-21	0.6	0.62	0.58	0.59	20400	0.0	0.0
1973-05-22	0.59	0.6	0.57	0.57	13200	0.0	0.0
1973-05-23	0.57	0.58	0.57	0.57	31200	0.0	0.0
1973-05-24	0.57	0.58	0.57	0.57	20400	0.0	0.0
1973-05-25	0.57	0.58	0.57	0.58	16800	0.0	0.0
1973-05-29	0.58	0.59	0.58	0.58	25200	0.0	0.0
1973-05-30	0.58	0.6	0.58	0.6	24000	0.0	0.0
1973-05-31	0.6	0.6	0.6	0.6	1200	0.0	0.0
1973-06-01	0.6	0.6	0.58	0.58	13200	0.0	0.0
1973-06-04	0.58	0.58	0.57	0.57	9600	0.0	0.0
1973-06-05	0.57	0.6	0.56	0.6	16800	0.0	0.0
1973-06-06	0.62	0.62	0.62	0.62	12000	0.0	0.0
1973-06-07	0.6	0.6	0.6	0.6	7200	0.0	0.0
1973-06-08	0.6	0.6	0.6	0.6	1200	0.0	0.0
1973-06-11	0.62	0.63	0.62	0.63	28800	0.0	0.0
1973-06-12	0.62	0.62	0.62	0.62	24000	0.0	0.0
1973-06-13	0.62	0.62	0.62	0.62	12000	0.0	0.0
1973-06-14	0.6	0.6	0.6	0.6	3600	0.0	0.0
1973-06-15	0.6	0.6	0.6	0.6	3600	0.0	0.0
1973-06-18	0.59	0.59	0.57	0.57	31200	0.0	0.0
1973-06-19	0.57	0.57	0.53	0.53	126000	0.0	0.0
1973-06-20	0.54	0.56	0.54	0.56	6000	0.0	0.0
1973-06-21	0.56	0.57	0.54	0.54	9600	0.0	0.0
1973-06-22	0.54	0.57	0.54	0.56	15600	0.0	0.0
1973-06-25	0.54	0.54	0.53	0.54	22800	0.0	0.0
1973-06-26	0.54	0.54	0.54	0.54	3600	0.0	0.0
1973-06-27	0.54	0.54	0.54	0.54	14400	0.0	0.0
1973-06-28	0.54	0.54	0.53	0.53	51600	0.0	0.0
1973-06-29	0.53	0.54	0.53	0.54	12000	0.0	0.0
1973-07-02	0.54	0.54	0.5	0.5	33600	0.0	0.0
1973-07-03	0.51	0.52	0.51	0.52	6000	0.0	0.0
1973-07-05	0.52	0.52	0.52	0.52	14400	0.0	0.0
1973-07-06	0.53	0.53	0.53	0.53	12000	0.0	0.0
1973-07-09	0.53	0.54	0.53	0.54	9600	0.0	0.0
1973-07-10	0.54	0.56	0.54	0.54	10800	0.0	0.0
1973-07-11	0.53	0.53	0.52	0.53	15600	0.0	0.0
1973-07-12	0.53	0.54	0.53	0.54	27600	0.0	0.0
1973-07-13	0.54	0.54	0.54	0.54	0	0.0	0.0
1973-07-16	0.54	0.54	0.54	0.54	10800	0.0	0.0
1973-07-17	0.56	0.57	0.56	0.56	12000	0.0	0.0
1973-07-18	0.56	0.57	0.56	0.56	28800	0.0	0.0
1973-07-19	0.57	0.65	0.57	0.63	74400	0.0	0.0
1973-07-20	0.63	0.63	0.62	0.63	55200	0.0	0.0
1973-07-23	0.63	0.65	0.62	0.62	28800	0.0	0.0
1973-07-24	0.62	0.63	0.6	0.6	8400	0.0	0.0
1973-07-25	0.62	0.63	0.62	0.62	8400	0.0	0.0
1973-07-26	0.62	0.65	0.6	0.65	31200	0.0	0.0
1973-07-27	0.65	0.66	0.65	0.66	9600	0.0	0.0
1973-07-30	0.65	0.65	0.63	0.65	27600	0.0	0.0
1973-07-31	0.65	0.65	0.62	0.62	27600	0.0	0.0
1973-08-01	0.62	0.62	0.62	0.62	3600	0.0	0.0
1973-08-02	0.62	0.62	0.62	0.62	3600	0.0	0.0
1973-08-03	0.62	0.62	0.6	0.62	2400	0.0	0.0
1973-08-06	0.62	0.63	0.6	0.62	39600	0.0	0.0
1973-08-07	0.62	0.63	0.6	0.63	7200	0.0	0.0
1973-08-08	0.62	0.62	0.62	0.62	2400	0.0	0.0
1973-08-09	0.62	0.62	0.62	0.62	0	0.0	0.0
1973-08-10	0.62	0.63	0.62	0.62	18000	0.0	0.0
1973-08-13	0.62	0.62	0.62	0.62	12000	0.0	0.0
1973-08-14	0.6	0.6	0.6	0.6	4800	0.0	0.0
1973-08-15	0.6	0.62	0.6	0.62	10800	0.0	0.0
1973-08-16	0.62	0.62	0.6	0.62	18000	0.0	0.0
1973-08-17	0.6	0.6	0.6	0.6	14400	0.0	0.0
1973-08-20	0.62	0.62	0.62	0.62	1200	0.0	0.0
1973-08-21	0.6	0.6	0.6	0.6	3600	0.0	0.0
1973-08-22	0.6	0.6	0.57	0.57	24000	0.0	0.0
1973-08-23	0.57	0.57	0.57	0.57	3600	0.0	0.0
