	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	28175474	2020-06-29	0.0877	21131605
1	Vanguard Group, Inc. (The)	25520250	2020-06-29	0.0794	19140187
2	Encap Energy Capital Fund VIII, L.P.	20408362	2020-06-29	0.0635	15306271
3	Charles Schwab Investment Management, Inc.	9116510	2020-06-29	0.028399999999999998	6837382
4	Dimensional Fund Advisors LP	8508333	2020-06-29	0.0265	6381249
5	Arrowstreet Capital, Limited Partnership	7816497	2020-06-29	0.024300000000000002	5862372
6	State Street Corporation	7625188	2020-06-29	0.023700000000000002	5718891
7	Federated Hermes, Inc.	5151309	2020-06-29	0.016	3863481
8	Millennium Management LLC	3668585	2020-06-29	0.011399999999999999	2751438
9	Norges Bank Investment Management	3332893	2019-12-30	0.0104	10865231
