	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	37988459	2020-06-29	0.0925	752931257
1	FMR, LLC	30063259	2020-06-29	0.0732	595853793
2	Blackrock Inc.	26920043	2020-06-29	0.0655	533555252
3	Janus Henderson Group PLC	25877541	2020-06-29	0.063	512892862
4	Capital International Investors	18724687	2020-06-29	0.045599999999999995	371123296
5	Ameriprise Financial, Inc.	16099960	2020-06-29	0.0392	319101207
6	Pictet Asset Management Ltd	13769787	2020-06-29	0.0335	272917178
7	Morgan Stanley	9790056	2020-06-29	0.023799999999999998	194038909
8	State Street Corporation	9699833	2020-06-29	0.0236	192250690
9	ArrowMark Colorado Holdings LLC	9371851	2020-06-29	0.022799999999999997	185750086
