	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	34574913	2020-06-29	0.096	2619049659
1	Vanguard Group, Inc. (The)	27679243	2020-06-29	0.07690000000000001	2096702657
2	State Street Corporation	13967049	2020-06-29	0.0388	1058003961
3	Bank of America Corporation	10209813	2020-06-29	0.028399999999999998	773393334
4	Capital International Investors	9533899	2020-06-29	0.0265	722192849
5	Wells Fargo & Company	8820286	2020-06-29	0.0245	668136664
6	Bank Of New York Mellon Corporation	6346272	2020-06-29	0.0176	480730104
7	Geode Capital Management, LLC	6231789	2020-06-29	0.0173	472058016
8	Northern Trust Corporation	5221840	2020-06-29	0.014499999999999999	395554380
9	Select Equity Group, Inc.	5139510	2020-06-29	0.0143	389317882
