	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	28801897	2020-06-29	0.0832	2155821990
1	Blackrock Inc.	25337143	2020-06-29	0.0732	1896485153
2	Capital World Investors	17142532	2020-06-29	0.0495	1283118520
3	State Street Corporation	14806340	2020-06-29	0.042800000000000005	1108254549
4	Price (T.Rowe) Associates Inc	9853955	2020-06-29	0.0285	737568531
5	Bank of America Corporation	8133193	2020-06-29	0.0235	608769496
6	Geode Capital Management, LLC	5927701	2020-06-29	0.0171	443688419
7	Bank Of New York Mellon Corporation	5107090	2020-06-29	0.0148	382265686
8	Northern Trust Corporation	4067847	2020-06-29	0.0118	304478347
9	Norges Bank Investment Management	3579396	2019-12-30	0.0103	283130223
