Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1972-06-01	0.0	0.2	0.19	0.2	2332800	0.0	0.0
1972-06-02	0.2	0.2	0.19	0.19	1531200	0.0	0.0
1972-06-05	0.19	0.19	0.19	0.19	2452800	0.0	0.0
1972-06-06	0.19	0.2	0.19	0.2	2227200	0.0	0.0
1972-06-07	0.2	0.2	0.19	0.2	979200	0.0	0.0
1972-06-08	0.2	0.2	0.2	0.2	1012800	0.0	0.0
1972-06-09	0.2	0.2	0.2	0.2	1483200	0.0	0.0
1972-06-12	0.2	0.2	0.2	0.2	1843200	0.0	0.0
1972-06-13	0.2	0.2	0.2	0.2	2064000	0.0	0.0
1972-06-14	0.2	0.2	0.2	0.2	1963200	0.0	0.0
1972-06-15	0.2	0.2	0.2	0.2	2587200	0.0	0.0
1972-06-16	0.2	0.2	0.2	0.2	2275200	0.0	0.0
1972-06-19	0.2	0.2	0.2	0.2	1608000	0.0	0.0
1972-06-20	0.2	0.2	0.2	0.2	2212800	0.0	0.0
1972-06-21	0.2	0.21	0.2	0.2	1934400	0.0	0.0
1972-06-22	0.2	0.2	0.2	0.2	2313600	0.0	0.0
1972-06-23	0.2	0.2	0.2	0.2	1406400	0.0	0.0
1972-06-26	0.2	0.2	0.2	0.2	1536000	0.0	0.0
1972-06-27	0.2	0.2	0.2	0.2	1944000	0.0	0.0
1972-06-28	0.2	0.2	0.2	0.2	1248000	0.0	0.0
1972-06-29	0.2	0.2	0.2	0.2	1060800	0.0	0.0
1972-06-30	0.2	0.2	0.2	0.2	2774400	0.0	0.0
1972-07-03	0.2	0.2	0.2	0.2	782400	0.0	0.0
1972-07-05	0.2	0.21	0.2	0.21	2755200	0.0	0.0
1972-07-06	0.21	0.21	0.21	0.21	3696000	0.0	0.0
1972-07-07	0.21	0.21	0.21	0.21	2011200	0.0	0.0
1972-07-10	0.21	0.22	0.21	0.21	2932800	0.0	0.0
1972-07-11	0.21	0.22	0.21	0.21	2073600	0.0	0.0
1972-07-12	0.21	0.22	0.21	0.21	2558400	0.0	0.0
1972-07-13	0.21	0.21	0.21	0.21	1056000	0.0	0.0
1972-07-14	0.21	0.21	0.21	0.21	1502400	0.0	0.0
1972-07-17	0.21	0.21	0.21	0.21	777600	0.0	0.0
1972-07-18	0.21	0.21	0.2	0.21	1449600	0.0	0.0
1972-07-19	0.21	0.21	0.21	0.21	2035200	0.0	0.0
1972-07-20	0.21	0.21	0.21	0.21	1416000	0.0	0.0
1972-07-21	0.21	0.21	0.2	0.21	907200	0.0	0.0
1972-07-24	0.21	0.21	0.2	0.2	9235200	0.0	0.0
1972-07-25	0.2	0.21	0.2	0.21	2558400	0.0	0.0
1972-07-26	0.21	0.21	0.21	0.21	1286400	0.0	0.0
1972-07-27	0.21	0.21	0.2	0.2	1075200	0.0	0.0
1972-07-28	0.21	0.21	0.21	0.21	1070400	0.0	0.0
1972-07-31	0.21	0.21	0.2	0.2	1939200	0.0	0.0
1972-08-01	0.2	0.21	0.2	0.21	1713600	0.0	0.0
1972-08-02	0.21	0.21	0.21	0.21	2865600	0.0	0.0
1972-08-03	0.21	0.21	0.21	0.21	1238400	0.0	0.0
1972-08-04	0.21	0.21	0.21	0.21	2035200	0.0	0.0
1972-08-07	0.21	0.21	0.21	0.21	1862400	0.0	0.0
1972-08-08	0.21	0.21	0.21	0.21	2280000	0.0	0.0
1972-08-09	0.21	0.21	0.21	0.21	2352000	0.0	0.0
1972-08-10	0.21	0.21	0.21	0.21	1104000	0.0	0.0
1972-08-11	0.21	0.22	0.21	0.22	3000000	0.0	0.0
1972-08-14	0.22	0.22	0.22	0.22	3144000	0.0	0.0
1972-08-15	0.22	0.22	0.22	0.22	1190400	0.0	0.0
1972-08-16	0.22	0.22	0.21	0.22	1454400	0.0	0.0
1972-08-17	0.22	0.22	0.21	0.22	2587200	0.0	0.0
1972-08-18	0.22	0.22	0.21	0.21	2894400	0.0	0.0
1972-08-21	0.21	0.21	0.21	0.21	1228800	0.0	0.0
1972-08-22	0.21	0.21	0.21	0.21	1358400	0.0	0.0
1972-08-23	0.21	0.21	0.21	0.21	1569600	0.0	0.0
1972-08-24	0.21	0.21	0.2	0.21	2044800	0.0	0.0
1972-08-25	0.21	0.21	0.2	0.21	2678400	0.0	0.0
1972-08-28	0.21	0.21	0.2	0.21	1363200	0.0	0.0
1972-08-29	0.21	0.21	0.2	0.21	2030400	0.00333	0.0
1972-08-30	0.21	0.21	0.2	0.21	2116800	0.0	0.0
1972-08-31	0.21	0.21	0.2	0.2	2078400	0.0	0.0
1972-09-01	0.2	0.2	0.2	0.2	4627200	0.0	0.0
1972-09-05	0.2	0.21	0.2	0.21	940800	0.0	0.0
1972-09-06	0.2	0.2	0.2	0.2	1819200	0.0	0.0
1972-09-07	0.2	0.2	0.19	0.19	2918400	0.0	0.0
1972-09-08	0.19	0.2	0.19	0.2	1689600	0.0	0.0
1972-09-11	0.2	0.2	0.19	0.2	1320000	0.0	0.0
1972-09-12	0.2	0.2	0.19	0.19	1416000	0.0	0.0
1972-09-13	0.19	0.2	0.19	0.2	4056000	0.0	0.0
1972-09-14	0.2	0.2	0.19	0.19	1963200	0.0	0.0
1972-09-15	0.19	0.2	0.19	0.2	1099200	0.0	0.0
1972-09-18	0.2	0.2	0.19	0.2	691200	0.0	0.0
1972-09-19	0.2	0.2	0.2	0.2	806400	0.0	0.0
1972-09-20	0.2	0.2	0.2	0.2	1099200	0.0	0.0
1972-09-21	0.2	0.2	0.2	0.2	1272000	0.0	0.0
1972-09-22	0.2	0.2	0.2	0.2	1224000	0.0	0.0
1972-09-25	0.2	0.2	0.19	0.2	6451200	0.0	0.0
1972-09-26	0.2	0.2	0.19	0.2	1915200	0.0	0.0
1972-09-27	0.2	0.2	0.2	0.2	1934400	0.0	0.0
1972-09-28	0.2	0.21	0.2	0.21	5457600	0.0	0.0
1972-09-29	0.21	0.21	0.2	0.2	2160000	0.0	0.0
1972-10-02	0.2	0.2	0.2	0.2	2457600	0.0	0.0
1972-10-03	0.2	0.2	0.2	0.2	744000	0.0	0.0
1972-10-04	0.2	0.2	0.2	0.2	1824000	0.0	0.0
1972-10-05	0.19	0.19	0.19	0.19	7838400	0.0	0.0
1972-10-06	0.19	0.19	0.19	0.19	2280000	0.0	0.0
1972-10-09	0.19	0.19	0.19	0.19	936000	0.0	0.0
1972-10-10	0.19	0.2	0.19	0.19	1339200	0.0	0.0
1972-10-11	0.19	0.2	0.19	0.19	1944000	0.0	0.0
1972-10-12	0.19	0.19	0.19	0.19	3067200	0.0	0.0
1972-10-13	0.19	0.19	0.19	0.19	2865600	0.0	0.0
1972-10-16	0.19	0.19	0.19	0.19	1732800	0.0	0.0
1972-10-17	0.19	0.19	0.19	0.19	2692800	0.0	0.0
1972-10-18	0.19	0.19	0.19	0.19	3868800	0.0	0.0
1972-10-19	0.19	0.19	0.19	0.19	1507200	0.0	0.0
1972-10-20	0.19	0.2	0.19	0.19	1176000	0.0	0.0
1972-10-23	0.2	0.2	0.2	0.2	1204800	0.0	0.0
1972-10-24	0.2	0.2	0.2	0.2	3345600	0.0	0.0
1972-10-25	0.2	0.2	0.19	0.2	1094400	0.0	0.0
1972-10-26	0.2	0.2	0.19	0.2	1363200	0.0	0.0
1972-10-27	0.2	0.2	0.19	0.2	1257600	0.0	0.0
1972-10-30	0.2	0.2	0.19	0.19	835200	0.0	0.0
1972-10-31	0.19	0.2	0.19	0.2	3417600	0.0	0.0
1972-11-01	0.2	0.2	0.2	0.2	3024000	0.0	0.0
1972-11-02	0.2	0.21	0.2	0.21	3700800	0.0	0.0
1972-11-03	0.21	0.21	0.2	0.21	2457600	0.0	0.0
1972-11-06	0.21	0.21	0.21	0.21	2558400	0.0	0.0
1972-11-08	0.21	0.21	0.21	0.21	3350400	0.0	0.0
1972-11-09	0.21	0.21	0.21	0.21	849600	0.0	0.0
1972-11-10	0.21	0.21	0.2	0.21	4968000	0.0	0.0
1972-11-13	0.21	0.21	0.2	0.21	844800	0.0	0.0
1972-11-14	0.21	0.21	0.2	0.21	1291200	0.0	0.0
1972-11-15	0.21	0.21	0.21	0.21	4857600	0.0	0.0
1972-11-16	0.21	0.21	0.2	0.21	2856000	0.0	0.0
1972-11-17	0.21	0.21	0.2	0.21	4675200	0.0	0.0
1972-11-20	0.21	0.21	0.2	0.21	1320000	0.0	0.0
1972-11-21	0.21	0.21	0.2	0.2	1699200	0.0	0.0
1972-11-22	0.2	0.21	0.2	0.2	3192000	0.0	0.0
1972-11-24	0.2	0.21	0.2	0.21	1353600	0.0	0.0
1972-11-27	0.21	0.21	0.21	0.21	1118400	0.0	0.0
1972-11-28	0.21	0.21	0.21	0.21	1440000	0.00438	0.0
1972-11-29	0.21	0.21	0.21	0.21	1526400	0.0	0.0
1972-11-30	0.21	0.21	0.21	0.21	1646400	0.0	0.0
1972-12-01	0.21	0.21	0.21	0.21	1718400	0.0	0.0
1972-12-04	0.21	0.21	0.21	0.21	1852800	0.0	0.0
1972-12-05	0.21	0.22	0.21	0.21	2462400	0.0	0.0
1972-12-06	0.21	0.21	0.21	0.21	744000	0.0	0.0
1972-12-07	0.21	0.22	0.21	0.21	1593600	0.0	0.0
1972-12-08	0.21	0.22	0.21	0.22	3081600	0.0	0.0
1972-12-11	0.22	0.22	0.21	0.22	1958400	0.0	0.0
1972-12-12	0.22	0.22	0.21	0.21	2371200	0.0	0.0
1972-12-13	0.21	0.21	0.21	0.21	3264000	0.0	0.0
1972-12-14	0.21	0.21	0.21	0.21	1497600	0.0	0.0
1972-12-15	0.21	0.21	0.2	0.21	7804800	0.0	0.0
1972-12-18	0.21	0.21	0.2	0.2	1065600	0.0	0.0
1972-12-19	0.2	0.21	0.2	0.21	2064000	0.0	0.0
1972-12-20	0.21	0.21	0.21	0.21	1708800	0.0	0.0
1972-12-21	0.21	0.21	0.2	0.21	1008000	0.0	0.0
1972-12-22	0.21	0.21	0.2	0.21	705600	0.0	0.0
1972-12-26	0.21	0.21	0.21	0.21	499200	0.0	0.0
1972-12-27	0.21	0.21	0.21	0.21	1368000	0.0	0.0
1972-12-29	0.21	0.21	0.21	0.21	1315200	0.0	0.0
1973-01-02	0.21	0.21	0.21	0.21	1257600	0.0	0.0
1973-01-03	0.21	0.21	0.21	0.21	1521600	0.0	0.0
1973-01-04	0.21	0.21	0.21	0.21	2203200	0.0	0.0
1973-01-05	0.21	0.22	0.21	0.21	2438400	0.0	0.0
1973-01-08	0.21	0.21	0.21	0.21	1838400	0.0	0.0
1973-01-09	0.21	0.21	0.21	0.21	1281600	0.0	0.0
1973-01-10	0.21	0.21	0.21	0.21	2011200	0.0	0.0
1973-01-11	0.21	0.21	0.21	0.21	2524800	0.0	0.0
1973-01-12	0.21	0.21	0.21	0.21	2793600	0.0	0.0
1973-01-15	0.21	0.21	0.21	0.21	1929600	0.0	0.0
1973-01-16	0.21	0.21	0.21	0.21	1094400	0.0	0.0
1973-01-17	0.21	0.21	0.21	0.21	1814400	0.0	0.0
1973-01-18	0.21	0.21	0.21	0.21	1108800	0.0	0.0
1973-01-19	0.21	0.21	0.21	0.21	2116800	0.0	0.0
1973-01-22	0.21	0.21	0.21	0.21	1934400	0.0	0.0
1973-01-23	0.21	0.21	0.2	0.21	2606400	0.0	0.0
1973-01-24	0.21	0.21	0.2	0.2	2116800	0.0	0.0
1973-01-26	0.2	0.2	0.19	0.2	3326400	0.0	0.0
1973-01-29	0.2	0.2	0.2	0.2	1915200	0.0	0.0
1973-01-30	0.2	0.2	0.2	0.2	2347200	0.0	0.0
1973-01-31	0.2	0.2	0.2	0.2	1156800	0.0	0.0
1973-02-01	0.2	0.2	0.2	0.2	2875200	0.0	0.0
1973-02-02	0.2	0.2	0.2	0.2	988800	0.0	0.0
1973-02-05	0.2	0.2	0.2	0.2	1430400	0.0	0.0
1973-02-06	0.2	0.2	0.19	0.2	2486400	0.0	0.0
1973-02-07	0.2	0.2	0.19	0.19	2472000	0.0	0.0
1973-02-08	0.19	0.2	0.19	0.2	1396800	0.0	0.0
1973-02-09	0.2	0.2	0.2	0.2	1646400	0.0	0.0
1973-02-12	0.2	0.2	0.2	0.2	3076800	0.0	0.0
1973-02-13	0.2	0.21	0.2	0.21	3825600	0.0	0.0
1973-02-14	0.21	0.21	0.2	0.2	1896000	0.0	0.0
1973-02-15	0.2	0.21	0.2	0.2	2121600	0.0	0.0
1973-02-16	0.2	0.21	0.2	0.2	2203200	0.0	0.0
1973-02-20	0.21	0.21	0.21	0.21	974400	0.0	0.0
1973-02-21	0.21	0.21	0.21	0.21	1488000	0.0	0.0
1973-02-22	0.21	0.21	0.21	0.21	1617600	0.0	0.0
1973-02-23	0.21	0.21	0.21	0.21	1924800	0.0	0.0
1973-02-26	0.21	0.21	0.2	0.21	2078400	0.0	0.0
1973-02-27	0.21	0.21	0.2	0.21	1588800	0.0	0.0
1973-02-28	0.21	0.21	0.2	0.2	3974400	0.00333	0.0
1973-03-01	0.2	0.21	0.2	0.2	1483200	0.0	0.0
1973-03-02	0.2	0.21	0.2	0.2	1944000	0.0	0.0
1973-03-05	0.2	0.21	0.2	0.2	2731200	0.0	0.0
1973-03-06	0.2	0.2	0.2	0.2	2956800	0.0	0.0
1973-03-07	0.2	0.21	0.2	0.21	3518400	0.0	0.0
1973-03-08	0.21	0.21	0.21	0.21	4195200	0.0	0.0
1973-03-09	0.21	0.21	0.21	0.21	3662400	0.0	0.0
1973-03-12	0.21	0.21	0.21	0.21	1176000	0.0	0.0
1973-03-13	0.21	0.21	0.21	0.21	2875200	0.0	0.0
1973-03-14	0.21	0.21	0.21	0.21	2467200	0.0	0.0
1973-03-15	0.21	0.21	0.2	0.21	806400	0.0	0.0
1973-03-16	0.21	0.21	0.2	0.21	2097600	0.0	0.0
