	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	6461323	2020-06-29	0.1121	717982211
1	Vanguard Group, Inc. (The)	5342347	2020-06-29	0.09269999999999999	593641598
2	Blackrock Inc.	3223569	2020-06-29	0.0559	358202987
3	Wasatch Advisors Inc	1845529	2020-06-29	0.032	205075182
4	Bank Of New York Mellon Corporation	1799920	2020-06-29	0.031200000000000002	200007110
5	Nuveen Asset Management	1473114	2020-06-29	0.0256	163692427
6	Bank of America Corporation	1153552	2020-06-29	0.02	128182698
7	FMR, LLC	1149787	2020-06-29	0.0199	127764331
8	Alyeska Investment Group, L.P.	1103453	2020-06-29	0.0191	122615697
9	RGM Capital, LLC	978016	2020-06-29	0.017	108677137
