Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1962-01-02	0.0	0.28	0.28	0.28	192000	0.0	0.0
1962-01-03	0.0	0.28	0.28	0.28	428800	0.0	0.0
1962-01-04	0.0	0.28	0.27	0.27	326400	0.0	0.0
1962-01-05	0.0	0.28	0.27	0.27	544000	0.0	0.0
1962-01-08	0.0	0.27	0.26	0.27	1523200	0.0	0.0
1962-01-09	0.0	0.27	0.26	0.27	499200	0.0	0.0
1962-01-10	0.0	0.27	0.26	0.27	300800	0.0	0.0
1962-01-11	0.0	0.27	0.27	0.27	371200	0.0	0.0
1962-01-12	0.0	0.27	0.27	0.27	390400	0.0	0.0
1962-01-15	0.0	0.27	0.26	0.27	281600	0.0	0.0
1962-01-16	0.0	0.27	0.27	0.27	236800	0.00586	0.0
1962-01-17	0.0	0.27	0.26	0.26	377600	0.0	0.0
1962-01-18	0.0	0.26	0.26	0.26	544000	0.0	0.0
1962-01-19	0.0	0.26	0.26	0.26	697600	0.0	0.0
1962-01-22	0.0	0.26	0.26	0.26	646400	0.0	0.0
1962-01-23	0.0	0.26	0.26	0.26	332800	0.0	0.0
1962-01-24	0.0	0.26	0.26	0.26	422400	0.0	0.0
1962-01-25	0.0	0.26	0.26	0.26	294400	0.0	0.0
1962-01-26	0.0	0.26	0.26	0.26	230400	0.0	0.0
1962-01-29	0.0	0.26	0.25	0.25	313600	0.0	0.0
1962-01-30	0.0	0.26	0.25	0.25	294400	0.0	0.0
1962-01-31	0.0	0.26	0.26	0.26	422400	0.0	0.0
1962-02-01	0.0	0.26	0.26	0.26	435200	0.0	0.0
1962-02-02	0.0	0.26	0.26	0.26	595200	0.0	0.0
1962-02-05	0.0	0.26	0.26	0.26	396800	0.0	0.0
1962-02-06	0.0	0.26	0.25	0.26	249600	0.0	0.0
1962-02-07	0.0	0.26	0.26	0.26	268800	0.0	0.0
1962-02-08	0.0	0.26	0.25	0.25	403200	0.0	0.0
1962-02-09	0.0	0.26	0.25	0.25	396800	0.0	0.0
1962-02-12	0.0	0.25	0.25	0.25	134400	0.0	0.0
1962-02-13	0.0	0.25	0.25	0.25	345600	0.0	0.0
1962-02-14	0.0	0.25	0.25	0.25	422400	0.0	0.0
1962-02-15	0.0	0.25	0.25	0.25	281600	0.0	0.0
1962-02-16	0.0	0.25	0.25	0.25	486400	0.0	0.0
1962-02-19	0.0	0.25	0.25	0.25	281600	0.0	0.0
1962-02-20	0.0	0.25	0.25	0.25	460800	0.0	0.0
1962-02-21	0.0	0.25	0.25	0.25	531200	0.0	0.0
1962-02-23	0.0	0.25	0.25	0.25	332800	0.0	0.0
1962-02-26	0.0	0.25	0.25	0.25	326400	0.0	0.0
1962-02-27	0.0	0.25	0.25	0.25	480000	0.0	0.0
1962-02-28	0.0	0.25	0.25	0.25	326400	0.0	0.0
1962-03-01	0.0	0.25	0.25	0.25	268800	0.0	0.0
1962-03-02	0.0	0.25	0.25	0.25	313600	0.0	0.0
1962-03-05	0.0	0.25	0.25	0.25	198400	0.0	0.0
1962-03-06	0.0	0.25	0.25	0.25	294400	0.0	0.0
1962-03-07	0.0	0.25	0.25	0.25	275200	0.0	0.0
1962-03-08	0.0	0.25	0.25	0.25	390400	0.0	0.0
1962-03-09	0.0	0.25	0.25	0.25	358400	0.0	0.0
1962-03-12	0.0	0.25	0.25	0.25	332800	0.0	0.0
1962-03-13	0.0	0.26	0.25	0.26	473600	0.0	0.0
1962-03-14	0.0	0.26	0.26	0.26	480000	0.0	0.0
1962-03-15	0.0	0.26	0.26	0.26	512000	0.0	0.0
1962-03-16	0.0	0.26	0.26	0.26	211200	0.0	0.0
1962-03-19	0.0	0.26	0.26	0.26	262400	0.0	0.0
1962-03-20	0.0	0.26	0.26	0.26	256000	0.0	0.0
1962-03-21	0.0	0.26	0.26	0.26	640000	0.0	0.0
1962-03-22	0.0	0.27	0.26	0.26	390400	0.0	0.0
1962-03-23	0.0	0.27	0.26	0.26	345600	0.0	0.0
1962-03-26	0.0	0.27	0.26	0.26	249600	0.0	0.0
1962-03-27	0.0	0.26	0.26	0.26	185600	0.0	0.0
1962-03-28	0.0	0.26	0.26	0.26	256000	0.0	0.0
1962-03-29	0.0	0.27	0.26	0.27	288000	0.0	0.0
1962-03-30	0.0	0.27	0.26	0.27	876800	0.0	0.0
1962-04-02	0.0	0.27	0.26	0.26	691200	0.0	0.0
1962-04-03	0.0	0.26	0.26	0.26	364800	0.0	0.0
1962-04-04	0.0	0.26	0.26	0.26	281600	0.0	0.0
1962-04-05	0.0	0.26	0.26	0.26	364800	0.0	0.0
1962-04-06	0.0	0.27	0.26	0.26	364800	0.0	0.0
1962-04-09	0.0	0.26	0.26	0.26	320000	0.0	0.0
1962-04-10	0.0	0.26	0.26	0.26	544000	0.0	0.0
1962-04-11	0.0	0.26	0.26	0.26	172800	0.0	0.0
1962-04-12	0.0	0.26	0.26	0.26	307200	0.0	0.0
1962-04-13	0.0	0.26	0.26	0.26	332800	0.0	0.0
1962-04-16	0.0	0.26	0.26	0.26	288000	0.00586	0.0
1962-04-17	0.0	0.26	0.26	0.26	224000	0.0	0.0
1962-04-18	0.0	0.26	0.26	0.26	288000	0.0	0.0
1962-04-19	0.0	0.26	0.26	0.26	243200	0.0	0.0
1962-04-23	0.0	0.26	0.26	0.26	409600	0.0	0.0
1962-04-24	0.0	0.26	0.26	0.26	262400	0.0	0.0
1962-04-25	0.0	0.26	0.26	0.26	288000	0.0	0.0
1962-04-26	0.0	0.26	0.26	0.26	384000	0.0	0.0
1962-04-27	0.0	0.26	0.26	0.26	352000	0.0	0.0
1962-04-30	0.0	0.26	0.25	0.25	454400	0.0	0.0
1962-05-01	0.0	0.25	0.25	0.25	665600	0.0	0.0
1962-05-02	0.0	0.25	0.25	0.25	550400	0.0	0.0
1962-05-03	0.0	0.25	0.25	0.25	448000	0.0	0.0
1962-05-04	0.0	0.25	0.25	0.25	224000	0.0	0.0
1962-05-07	0.0	0.26	0.25	0.26	339200	0.0	0.0
1962-05-08	0.0	0.26	0.25	0.25	307200	0.0	0.0
1962-05-09	0.0	0.25	0.25	0.25	249600	0.0	0.0
1962-05-10	0.0	0.25	0.25	0.25	435200	0.0	0.0
1962-05-11	0.0	0.25	0.24	0.24	563200	0.0	0.0
1962-05-14	0.0	0.24	0.23	0.24	710400	0.0	0.0
1962-05-15	0.0	0.25	0.24	0.25	473600	0.0	0.0
1962-05-16	0.0	0.25	0.25	0.25	480000	0.0	0.0
1962-05-17	0.0	0.24	0.24	0.24	672000	0.0	0.0
1962-05-18	0.0	0.24	0.24	0.24	428800	0.0	0.0
1962-05-21	0.0	0.24	0.24	0.24	198400	0.0	0.0
1962-05-22	0.0	0.24	0.24	0.24	243200	0.0	0.0
1962-05-23	0.0	0.24	0.23	0.23	377600	0.0	0.0
1962-05-24	0.0	0.24	0.23	0.23	627200	0.0	0.0
1962-05-25	0.0	0.23	0.23	0.23	627200	0.0	0.0
1962-05-28	0.0	0.23	0.21	0.22	934400	0.0	0.0
1962-05-29	0.0	0.22	0.2	0.22	1555200	0.0	0.0
1962-05-31	0.0	0.23	0.23	0.23	825600	0.0	0.0
1962-06-01	0.0	0.23	0.22	0.22	595200	0.0	0.0
1962-06-04	0.0	0.22	0.21	0.22	595200	0.0	0.0
1962-06-05	0.0	0.22	0.21	0.21	697600	0.0	0.0
1962-06-06	0.0	0.22	0.21	0.22	518400	0.0	0.0
1962-06-07	0.0	0.22	0.21	0.22	300800	0.0	0.0
