	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	32134965	2020-06-29	0.0695	712432174
1	Flossbach von Storch AG	18877331	2020-06-29	0.0408	418510428
2	Blackrock Inc.	16738392	2020-06-29	0.0362	371090150
3	Harris Associates L.P.	16522332	2020-06-29	0.035699999999999996	366300100
4	FirstMark Capital I GP, LLC	15692868	2020-06-29	0.0339	347910883
5	Capital International Investors	13470519	2020-06-29	0.0291	298641406
6	Sumitomo Mitsui Trust Holdings, Inc.	10967222	2020-06-29	0.023700000000000002	243143311
7	Deutsche Bank Aktiengesellschaft	9796917	2020-06-29	0.0212	217197649
8	ArrowMark Colorado Holdings LLC	9736499	2020-06-29	0.021	215858182
9	Nikko Asset Management Americas, Inc.	9411133	2020-06-29	0.0203	208644818
