	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	126207146	2020-06-29	0.081	8842072648
1	Blackrock Inc.	93652507	2020-06-29	0.0601	6561294640
2	Capital World Investors	83499413	2020-06-29	0.0536	5849968874
3	State Street Corporation	60897581	2020-06-29	0.0391	4266484524
4	Capital International Investors	51185974	2020-06-29	0.0329	3586089338
5	Capital Research Global Investors	51144769	2020-06-29	0.032799999999999996	3583202516
6	Morgan Stanley	45594072	2020-06-29	0.029300000000000003	3194320684
7	Price (T.Rowe) Associates Inc	29630521	2020-06-29	0.019	2075914301
8	Geode Capital Management, LLC	25831414	2020-06-29	0.0166	1809748864
9	Wellington Management Company, LLP	23293021	2020-06-29	0.015	1631909051
