	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	19713691	2020-06-29	0.08349999999999999	2090834067
1	Blackrock Inc.	18779548	2020-06-29	0.0796	1991758860
2	Massachusetts Financial Services Co.	18248111	2020-06-29	0.07730000000000001	1935394652
3	State Street Corporation	11387430	2020-06-29	0.0483	1207750825
4	Wellington Management Company, LLP	7718079	2020-06-29	0.0327	818579458
5	Price (T.Rowe) Associates Inc	6992653	2020-06-29	0.0296	741640777
6	ClearBridge Investments, LLC	6733472	2020-06-29	0.0285	714152040
7	JP Morgan Chase & Company	6140452	2020-06-29	0.026000000000000002	651256339
8	Capital International Investors	4578927	2020-06-29	0.0194	485640997
9	Geode Capital Management, LLC	3730628	2020-06-29	0.0158	395670405
