	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	21926902	2020-06-29	0.0818	379993211
1	Champlain Investment Partners, LLC	18639277	2020-06-29	0.0695	323018670
2	FMR, LLC	17689536	2020-06-29	0.066	306559658
3	William Blair Investment Management, LLC	16223963	2020-06-29	0.0605	281161278
4	Price (T.Rowe) Associates Inc	16177788	2020-06-29	0.0603	280361066
5	ARK Investment Management, LLC	11113032	2020-06-29	0.0414	192588844
6	Blackrock Inc.	11023325	2020-06-29	0.041100000000000005	191034222
7	Eminence Capital, LP	8455623	2020-06-29	0.0315	146535946
8	Sumitomo Mitsui Trust Holdings, Inc.	6302258	2020-06-29	0.0235	109218131
9	Nikko Asset Management Americas, Inc.	6295165	2020-06-29	0.0235	109095209
