2020-8	Value
palmOil	False
controversialWeapons	False
gambling	False
socialScore	12.72
nuclear	False
furLeather	False
alcoholic	False
gmo	False
catholic	False
socialPercentile	
peerCount	71
governanceScore	9.17
environmentPercentile	
animalTesting	False
tobacco	False
totalEsg	45.26
highestControversy	1
esgPerformance	LEAD_PERF
coal	False
pesticides	False
adult	False
percentile	91.73
peerGroup	Oil & Gas Producers
smallArms	False
environmentScore	23.36
governancePercentile	
militaryContract	False
