Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2015-10-21	57.34	58.26	52.56	52.56	22498800	0.0	0
2015-10-22	54.54	55.62	53.23	54.23	4545100	0.0	0
2015-10-23	55.2	55.42	53.77	53.88	1967600	0.0	0
2015-10-26	54.47	54.47	52.12	52.58	1466300	0.0	0
2015-10-27	52.37	52.55	47.17	51.46	5949200	0.0	0
2015-10-28	51.62	51.75	47.87	49.57	2411300	0.0	0
2015-10-29	49.57	50.14	48.5	48.75	1362800	0.0	0
2015-10-30	49.27	49.5	47.45	48.19	1355100	0.0	0
2015-11-02	48.6	50.81	47.67	50.72	890200	0.0	0
2015-11-03	50.73	52.56	49.81	50.05	1022400	0.0	0
2015-11-04	50.61	51.64	50.41	51.07	753300	0.0	0
2015-11-05	51.08	51.46	49.32	49.44	820200	0.0	0
2015-11-06	49.88	50.1	49.5	50.1	513500	0.0	0
2015-11-09	50.47	51.27	49.69	50.84	442800	0.0	0
2015-11-10	51.31	51.6	50.73	51.6	376800	0.0	0
2015-11-11	51.6	52.08	50.67	51.93	471500	0.0	0
2015-11-12	51.92	51.98	50.89	51.72	379300	0.0	0
2015-11-13	51.55	51.55	48.28	49.12	1337000	0.0	0
2015-11-16	49.64	49.64	46.66	47.31	1297500	0.0	0
2015-11-17	48.05	48.52	46.64	46.8	897300	0.0	0
2015-11-18	47.2	47.28	45.11	45.18	1102000	0.0	0
2015-11-19	45.35	45.73	43.79	45.49	2163800	0.0	0
2015-11-20	45.74	46.34	45.5	45.94	542500	0.0	0
2015-11-23	45.96	46.15	43.94	43.96	1389000	0.0	0
2015-11-24	43.96	44.4	42.67	44.22	1036600	0.0	0
2015-11-25	44.43	44.75	43.48	43.63	868900	0.0	0
2015-11-27	43.57	44.36	43.38	44.01	285300	0.0	0
2015-11-30	44.24	44.79	43.84	44.29	566400	0.0	0
2015-12-01	44.43	46.12	44.38	45.52	667100	0.0	0
2015-12-02	45.75	45.99	44.77	45.11	614800	0.0	0
2015-12-03	45.33	45.73	44.2	44.97	528500	0.0	0
2015-12-04	45.24	46.68	45.0	46.39	583200	0.0	0
2015-12-07	46.49	48.15	45.4	45.86	861400	0.0	0
2015-12-08	46.34	46.82	44.91	45.5	842500	0.0	0
2015-12-09	45.33	47.24	45.05	45.63	507600	0.0	0
2015-12-10	45.93	47.17	45.75	46.8	526800	0.0	0
2015-12-11	45.88	47.03	45.48	46.62	480300	0.0	0
2015-12-14	45.92	46.54	43.96	44.85	699400	0.0	0
2015-12-15	44.85	46.91	44.82	45.44	760700	0.0	0
2015-12-16	46.17	46.79	45.19	46.35	534500	0.0	0
2015-12-17	46.49	46.81	44.93	45.37	547100	0.0	0
2015-12-18	44.87	45.37	43.96	44.3	461200	0.0	0
2015-12-21	44.2	45.68	44.04	45.3	623100	0.0	0
2015-12-22	45.37	46.57	44.49	44.55	448500	0.0	0
2015-12-23	44.95	45.86	44.73	44.96	232200	0.0	0
2015-12-24	44.55	45.4	44.54	44.67	150600	0.0	0
2015-12-28	45.19	45.39	44.22	44.37	269300	0.0	0
2015-12-29	44.76	46.0	44.63	45.8	505500	0.0	0
2015-12-30	45.8	46.39	45.39	46.26	297000	0.0	0
2015-12-31	46.12	46.71	45.32	45.87	390400	0.0	0
