Date	Firm	To Grade	From Grade	Action
2019-08-12 13:15:44	Bank of America	Neutral		reit
2019-09-30 11:59:15	Wells Fargo	Outperform		main
2019-11-05 13:12:35	Wells Fargo	Outperform		main
2020-02-21 10:15:48	Raymond James	Outperform	Market Perform	up
2020-02-26 12:37:21	Wells Fargo	Overweight		main
2020-02-26 17:43:23	B of A Securities	Neutral		main
2020-03-23 12:39:44	Needham	Hold	Buy	down
2020-03-26 12:42:44	B. Riley FBR	Buy		main
2020-04-03 09:41:33	B. Riley	Neutral	Buy	down
2020-04-03 11:52:59	B. Riley FBR	Neutral	Buy	down
2020-04-15 11:13:17	Nomura Instinet	Buy		main
2020-04-15 14:24:20	Stifel	Buy		main
2020-04-15 14:41:54	KeyBanc	Overweight		main
2020-04-15 14:44:39	B. Riley FBR	Neutral		main
2020-04-21 16:27:07	UBS	Buy		main
2020-05-07 12:44:36	Nomura Instinet	Buy		main
2020-05-07 13:22:13	Raymond James	Outperform		main
2020-05-07 13:44:38	Credit Suisse	Outperform		main
2020-06-09 12:36:40	Nomura Instinet	Buy		main
2020-06-10 08:57:29	KeyBanc	Overweight		main
2020-06-10 12:18:32	Nomura Instinet	Buy		main
2020-06-10 13:42:44	Stifel	Buy		main
2020-06-26 11:48:55	Wells Fargo	Overweight		main
2020-08-07 12:56:36	Raymond James	Outperform		main
