	Holder	Shares	Date Reported	% Out	Value
0	Capital World Investors	10765666	2020-06-29	0.1378	3068322466
1	Vanguard Group, Inc. (The)	7240211	2020-06-29	0.0926	2063532537
2	Blackrock Inc.	5928707	2020-06-29	0.0759	1689740782
3	Jennison Associates LLC	4942786	2020-06-29	0.0632	1408743437
4	Alkeon Capital Management LLC	3654897	2020-06-29	0.046799999999999994	1041682193
5	Tiger Global Management, LLC	3326370	2020-06-29	0.0426	948048713
6	Capital International Investors	2918976	2020-06-29	0.0374	831937349
7	FMR, LLC	2628971	2020-06-29	0.0336	749283024
8	State Street Corporation	1551444	2020-06-29	0.0199	442177054
9	JP Morgan Chase & Company	1510221	2020-06-29	0.019299999999999998	430428087
