Date	Firm	To Grade	From Grade	Action
2015-08-31	RBC Capital	Outperform		init
2015-09-08	Morgan Stanley	Overweight		init
2015-10-21	KeyBanc	Sector Weight		init
2015-12-17	KeyBanc	Overweight	Sector Weight	up
2016-01-05	Goldman Sachs	Neutral	Buy	down
2016-01-22	Barclays	Overweight		init
2016-02-11	Barclays	Equal-Weight	Overweight	down
2016-03-09	Deutsche Bank	Buy		init
2016-03-11	Credit Suisse	Outperform		main
2016-03-13	Goldman Sachs	Neutral		main
2016-03-14	Morgan Stanley	Overweight		main
2016-05-02	Credit Suisse	Outperform		main
2016-05-03	Guggenheim	Buy		init
2016-06-21	Oppenheimer	Outperform		init
2016-09-08	JMP Securities	Market Outperform		init
2016-10-06	Goldman Sachs	Buy	Neutral	up
2016-10-07	Goldman Sachs	Buy	Neutral	up
2016-11-09	Bank of America	Neutral	Buy	down
2016-11-10	JMP Securities	Market Perform	Market Outperform	down
2016-11-22	Barclays	Overweight	Equal-Weight	up
2017-03-22	UBS	Buy	Neutral	up
2017-08-08	Barclays	Overweight		main
2018-02-12	Credit Suisse	Outperform		init
2018-03-02	Roth Capital	Buy		init
2018-03-07	JMP Securities	Market Outperform	Market Perform	up
2018-03-16	UBS	Neutral		init
2018-04-06	Bank of America	Underperform	Buy	down
2018-06-13	Credit Suisse	Outperform	Outperform	main
2018-07-02	Credit Suisse	Outperform	Outperform	main
2018-07-19	Goldman Sachs	Neutral	Buy	down
2018-07-24	Bank of America	Underperform	Underperform	main
2018-08-03	Morgan Stanley	Equal-Weight	Overweight	down
2018-08-10	Credit Suisse	Outperform	Outperform	main
2018-08-13	Bank of America	Neutral	Underperform	up
2018-08-30	JMP Securities	Market Outperform	Market Outperform	main
2018-09-11	Bank of America	Buy	Neutral	up
2018-10-09	Bank of America	Buy	Buy	main
2019-05-16	Barclays	Overweight		init
2019-06-18	Goldman Sachs	Buy	Neutral	up
2019-08-20	KeyBanc	Overweight		init
2019-11-13	JMP Securities	Market Outperform		main
2019-11-13	UBS	Neutral		main
2019-11-13	Credit Suisse	Outperform		main
2020-01-16	JP Morgan	Overweight		init
2020-02-19	KeyBanc	Sector Weight	Overweight	down
2020-02-20	JMP Securities	Market Outperform		reit
2020-03-05	JP Morgan	Overweight		main
2020-03-27	JP Morgan	Overweight		main
2020-04-07	UBS	Neutral		main
2020-04-08	Credit Suisse	Outperform		main
2020-05-07	B of A Securities	Buy		reit
2020-07-13	KeyBanc	Overweight	Sector Weight	up
2020-07-22	Barclays	Overweight		main
2020-08-11	KeyBanc	Overweight		main
