Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1995-10-16	1.88	1.9	1.88	1.9	62000	0.0	0.0
1995-10-17	1.9	1.9	1.9	1.9	53200	0.0	0.0
1995-10-18	1.89	1.91	1.89	1.9	72000	0.0	0.0
1995-10-19	1.91	1.91	1.9	1.9	5200	0.0	0.0
1995-10-20	1.87	1.87	1.85	1.85	16400	0.0	0.0
1995-10-23	1.89	1.89	1.82	1.82	34000	0.31	0.0
1995-10-24	1.8	1.85	1.77	1.85	50400	0.0	0.0
1995-10-25	1.84	1.84	1.81	1.81	65600	0.0	0.0
1995-10-26	1.83	1.83	1.8	1.8	63200	0.0	0.0
1995-10-27	1.77	1.87	1.77	1.87	145200	0.0	0.0
1995-10-30	1.89	1.9	1.84	1.87	65200	0.0	0.0
1995-10-31	1.96	1.99	1.94	1.95	88400	0.0	0.0
1995-11-01	1.96	1.96	1.93	1.94	45200	0.0	0.0
1995-11-02	1.93	1.97	1.93	1.97	13200	0.0	0.0
1995-11-03	1.98	1.98	1.97	1.98	35200	0.0	0.0
1995-11-06	1.96	1.99	1.96	1.99	110000	0.0	0.0
1995-11-07	1.95	1.97	1.95	1.97	16800	0.0	0.0
1995-11-08	1.96	1.96	1.96	1.96	33600	0.0	0.0
1995-11-09	1.97	1.97	1.94	1.94	12000	0.0	0.0
1995-11-10	1.93	1.94	1.93	1.94	11200	0.0	0.0
1995-11-13	1.95	1.98	1.94	1.98	14000	0.0	0.0
1995-11-14	1.96	1.98	1.96	1.98	12800	0.0	0.0
1995-11-15	1.96	1.96	1.95	1.95	5600	0.0	0.0
1995-11-16	1.98	1.98	1.97	1.97	4800	0.0	0.0
1995-11-17	1.97	1.98	1.97	1.97	11200	0.0	0.0
1995-11-20	1.97	1.99	1.97	1.98	10000	0.0	0.0
1995-11-21	1.98	1.98	1.98	1.98	0	0.0	0.0
1995-11-22	1.99	1.99	1.99	1.99	1600	0.0	0.0
1995-11-24	2.0	2.0	2.0	2.0	400	0.0	0.0
1995-11-27	2.0	2.01	2.0	2.01	8000	0.0	0.0
1995-11-28	1.99	2.0	1.99	2.0	6800	0.0	0.0
1995-11-29	1.98	1.98	1.98	1.98	9200	0.0	0.0
1995-11-30	1.99	1.99	1.98	1.99	18800	0.0	0.0
1995-12-01	1.99	2.02	1.99	2.01	25200	0.0	0.0
1995-12-04	2.03	2.03	2.02	2.03	5600	0.0	0.0
1995-12-05	2.06	2.06	2.03	2.03	16400	0.0	0.0
1995-12-06	2.04	2.06	2.03	2.04	42400	0.0	0.0
1995-12-07	2.03	2.03	2.03	2.03	4800	0.0	0.0
1995-12-08	2.03	2.03	2.02	2.03	7600	0.0	0.0
1995-12-11	2.02	2.02	2.01	2.01	2800	0.0	0.0
1995-12-12	1.96	1.97	1.95	1.95	14400	0.0	0.0
1995-12-13	1.95	1.95	1.95	1.95	6800	0.0	0.0
1995-12-14	1.95	1.95	1.95	1.95	0	0.0	0.0
1995-12-15	1.98	1.98	1.96	1.96	7200	0.0	0.0
1995-12-18	1.93	1.93	1.9	1.9	27200	0.0	0.0
1995-12-19	1.89	1.91	1.89	1.91	3200	0.0	0.0
1995-12-20	1.96	1.96	1.95	1.95	3600	0.0	0.0
1995-12-21	1.95	1.95	1.95	1.95	0	0.0	0.0
1995-12-22	1.95	1.97	1.95	1.97	2800	0.0	0.0
1995-12-26	1.97	1.97	1.97	1.97	2400	0.0	0.0
1995-12-27	1.97	1.98	1.97	1.98	2800	0.0	0.0
1995-12-28	1.97	1.99	1.97	1.99	2000	0.0	0.0
1995-12-29	1.99	1.99	1.99	1.99	800	0.0	0.0
1996-01-02	1.99	2.0	1.98	2.0	7600	0.0	0.0
1996-01-03	1.99	2.03	1.99	2.02	86800	0.0	0.0
1996-01-04	2.02	2.04	2.02	2.04	5600	0.0	0.0
1996-01-05	2.04	2.04	2.04	2.04	2000	0.0	0.0
1996-01-08	2.04	2.06	2.04	2.06	38800	0.0	0.0
1996-01-09	2.03	2.04	2.03	2.04	4000	0.0	0.0
1996-01-10	2.02	2.02	1.99	1.99	15200	0.0	0.0
1996-01-11	1.99	1.99	1.97	1.98	4000	0.0	0.0
1996-01-12	1.98	1.98	1.98	1.98	0	0.0	0.0
1996-01-15	2.0	2.0	2.0	2.0	1600	0.0	0.0
1996-01-16	2.01	2.01	2.0	2.01	7200	0.0	0.0
1996-01-17	2.04	2.04	2.02	2.04	20800	0.0	0.0
1996-01-18	2.04	2.06	2.04	2.06	9600	0.0	0.0
1996-01-19	2.06	2.07	2.06	2.07	48000	0.0	0.0
1996-01-22	2.15	2.15	2.11	2.11	15200	0.2264	0.0
1996-01-23	2.11	2.11	2.1	2.1	3200	0.0	0.0
1996-01-24	2.11	2.13	2.11	2.13	7200	0.0	0.0
1996-01-25	2.13	2.13	2.1	2.1	8000	0.0	0.0
1996-01-26	2.08	2.1	2.08	2.1	12800	0.0	0.0
1996-01-29	2.11	2.11	2.11	2.11	2800	0.0	0.0
1996-01-30	2.13	2.17	2.13	2.17	39600	0.0	0.0
1996-01-31	2.17	2.17	2.17	2.17	24000	0.0	0.0
1996-02-01	2.17	2.18	2.17	2.17	15200	0.0	0.0
1996-02-02	2.17	2.18	2.17	2.17	9200	0.0	0.0
1996-02-05	2.13	2.13	2.1	2.13	12800	0.0	0.0
1996-02-06	2.14	2.14	2.14	2.14	30000	0.0	0.0
1996-02-07	2.15	2.15	2.13	2.14	10400	0.0	0.0
1996-02-08	2.15	2.16	2.14	2.16	5200	0.0	0.0
1996-02-09	2.14	2.14	2.13	2.13	9200	0.0	0.0
1996-02-12	2.13	2.15	2.13	2.15	18000	0.0	0.0
1996-02-13	2.14	2.16	2.14	2.16	14000	0.0	0.0
1996-02-14	2.16	2.16	2.13	2.13	14800	0.0	0.0
1996-02-15	2.11	2.11	2.11	2.11	6400	0.0	0.0
1996-02-16	2.09	2.09	2.08	2.09	13200	0.0	0.0
1996-02-20	2.06	2.06	2.01	2.01	10400	0.0	0.0
1996-02-21	2.01	2.01	2.01	2.01	0	0.0	0.0
1996-02-22	2.04	2.04	2.02	2.04	63600	0.0	0.0
