	Holder	Shares	Date Reported	% Out	Value
0	Royal Bank of Canada	77083400	2020-06-29	0.0541	5226254520
1	Bank of Montreal/Can/	63667109	2020-06-29	0.0447	4316629990
2	Vanguard Group, Inc. (The)	43394541	2020-06-29	0.0305	2942149879
3	TD Asset Management, Inc	37564461	2020-06-29	0.0264	2546870455
4	FIL LTD	26910893	2020-06-29	0.0189	1824558545
5	Bank Of Nova Scotia /	25133475	2020-06-29	0.0177	1704049605
6	CIBC World Markets, Inc.	20888016	2020-06-29	0.0147	1416207484
7	Toronto Dominion Bank	19673966	2020-06-29	0.0138	1333894894
8	Mackenzie Financial Corporation	17257600	2020-06-29	0.0121	1170065280
9	1832 Asset Management L.P.	15537754	2020-06-29	0.0109	1053459721
