Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1996-01-05	2.5	2.69	2.5	2.69	132600	0	0.0
1996-01-08	2.67	2.71	2.67	2.67	40800	0	0.0
1996-01-09	2.67	2.69	2.67	2.69	11400	0	0.0
1996-01-10	2.69	2.69	2.67	2.69	102600	0	0.0
1996-01-11	2.67	2.67	2.67	2.67	9000	0	0.0
1996-01-12	2.69	2.69	2.69	2.69	13200	0	0.0
1996-01-15	2.69	2.69	2.69	2.69	0	0	0.0
1996-01-16	2.65	2.67	2.52	2.54	186000	0	0.0
1996-01-17	2.54	2.54	2.54	2.54	16800	0	0.0
1996-01-18	2.58	2.58	2.5	2.52	54000	0	0.0
1996-01-19	2.54	2.54	2.5	2.5	186000	0	0.0
1996-01-22	2.5	2.5	2.5	2.5	290400	0	0.0
1996-01-23	2.5	2.56	2.48	2.56	423600	0	0.0
1996-01-24	2.58	2.58	2.58	2.58	39000	0	0.0
1996-01-25	2.62	2.71	2.62	2.71	144600	0	0.0
1996-01-26	2.71	2.71	2.69	2.71	556200	0	0.0
1996-01-29	2.73	2.85	2.73	2.85	206400	0	0.0
1996-01-30	2.88	2.88	2.83	2.85	64800	0	0.0
1996-01-31	2.9	2.96	2.85	2.96	195600	0	0.0
1996-02-01	3.0	3.1	3.0	3.06	321000	0	0.0
1996-02-02	3.08	3.08	3.02	3.04	185400	0	0.0
1996-02-05	3.08	3.27	3.02	3.23	452400	0	0.0
1996-02-06	3.27	3.33	3.19	3.21	242400	0	0.0
1996-02-07	3.25	3.27	3.17	3.23	259200	0	0.0
1996-02-08	3.23	3.23	3.19	3.23	156600	0	0.0
1996-02-09	3.27	3.42	3.27	3.29	304800	0	0.0
1996-02-12	3.31	3.52	3.31	3.5	411000	0	0.0
1996-02-13	3.35	3.46	3.35	3.4	427200	0	0.0
1996-02-14	3.42	3.42	3.21	3.21	535200	0	0.0
1996-02-15	3.21	3.23	3.21	3.21	241800	0	0.0
1996-02-16	3.23	3.23	3.19	3.19	13800	0	0.0
1996-02-20	3.04	3.12	3.04	3.08	307200	0	0.0
1996-02-21	3.1	3.12	3.1	3.12	9000	0	0.0
1996-02-22	3.15	3.15	3.12	3.12	15600	0	0.0
1996-02-23	3.1	3.1	3.02	3.06	417000	0	0.0
1996-02-26	3.06	3.06	3.02	3.02	109800	0	0.0
1996-02-27	3.02	3.02	2.88	2.88	241200	0	0.0
1996-02-28	2.88	2.88	2.75	2.79	285000	0	0.0
1996-02-29	2.77	2.81	2.77	2.77	394800	0	0.0
1996-03-01	2.77	2.79	2.77	2.77	177000	0	0.0
1996-03-04	2.79	2.81	2.79	2.79	52200	0	0.0
1996-03-05	2.79	2.79	2.79	2.79	137400	0	0.0
1996-03-06	2.75	2.77	2.75	2.77	76800	0	0.0
1996-03-07	2.77	2.77	2.77	2.77	61800	0	0.0
1996-03-08	2.73	2.75	2.67	2.73	45000	0	0.0
1996-03-11	2.73	2.77	2.71	2.77	307200	0	0.0
1996-03-12	2.77	2.77	2.75	2.77	510000	0	0.0
1996-03-13	2.77	2.79	2.77	2.79	85200	0	0.0
1996-03-14	2.79	2.79	2.77	2.79	51000	0	0.0
1996-03-15	2.79	2.79	2.77	2.77	76200	0	0.0
1996-03-18	2.79	2.79	2.77	2.79	585000	0	0.0
1996-03-19	2.79	2.79	2.77	2.77	112800	0	0.0
1996-03-20	2.79	2.79	2.79	2.79	13200	0	0.0
1996-03-21	2.77	2.77	2.71	2.71	66000	0	0.0
1996-03-22	2.67	2.67	2.67	2.67	19200	0	0.0
1996-03-25	2.71	2.71	2.65	2.65	55200	0	0.0
1996-03-26	2.67	2.67	2.56	2.65	72000	0	0.0
1996-03-27	2.65	2.65	2.6	2.6	13200	0	0.0
1996-03-28	2.6	2.6	2.6	2.6	31200	0	0.0
1996-03-29	2.6	2.6	2.58	2.6	478800	0	0.0
1996-04-01	2.6	2.6	2.58	2.6	46200	0	0.0
1996-04-02	2.6	2.6	2.58	2.6	75600	0	0.0
1996-04-03	2.58	2.58	2.58	2.58	45600	0	0.0
1996-04-04	2.58	2.58	2.56	2.58	18600	0	0.0
1996-04-08	2.58	2.58	2.58	2.58	5400	0	0.0
1996-04-09	2.54	2.58	2.54	2.56	279000	0	0.0
1996-04-10	2.58	2.58	2.54	2.54	305400	0	0.0
1996-04-11	2.56	2.56	2.54	2.54	253200	0	0.0
1996-04-12	2.54	2.58	2.54	2.56	1117200	0	0.0
1996-04-15	2.56	2.58	2.54	2.56	1360200	0	0.0
1996-04-16	2.56	2.69	2.56	2.67	1203600	0	0.0
1996-04-17	2.69	2.73	2.67	2.71	258600	0	0.0
1996-04-18	2.81	2.92	2.79	2.83	1040400	0	0.0
1996-04-19	2.85	2.92	2.85	2.9	1003800	0	0.0
1996-04-22	2.94	3.17	2.9	3.15	1789800	0	0.0
1996-04-23	3.15	3.15	2.98	2.98	414000	0	0.0
1996-04-24	3.02	3.02	2.92	2.94	167400	0	0.0
1996-04-25	2.92	2.96	2.92	2.94	300000	0	0.0
1996-04-26	2.98	3.06	2.92	2.96	173400	0	0.0
1996-04-29	3.0	3.06	3.0	3.04	363600	0	0.0
1996-04-30	3.08	3.12	3.04	3.12	657000	0	0.0
1996-05-01	3.12	3.12	3.1	3.12	101400	0	0.0
1996-05-02	3.12	3.25	3.12	3.17	1569000	0	0.0
1996-05-03	3.15	3.17	3.08	3.08	156600	0	0.0
1996-05-06	3.1	3.15	3.08	3.08	111000	0	0.0
1996-05-07	3.12	3.12	3.04	3.04	291000	0	0.0
1996-05-08	3.06	3.1	3.0	3.06	604800	0	0.0
1996-05-09	3.08	3.08	3.08	3.08	129600	0	0.0
1996-05-10	3.06	3.08	3.02	3.04	249600	0	0.0
1996-05-13	3.08	3.08	3.0	3.0	286200	0	0.0
1996-05-14	2.9	2.96	2.88	2.94	730800	0	0.0
1996-05-15	2.94	2.96	2.92	2.96	95400	0	0.0
1996-05-16	2.94	2.96	2.94	2.96	16800	0	0.0
1996-05-17	2.92	2.92	2.88	2.88	67200	0	0.0
1996-05-20	2.85	2.85	2.79	2.81	145200	0	0.0
1996-05-21	2.81	2.85	2.81	2.85	78600	0	0.0
1996-05-22	2.83	2.88	2.83	2.83	52800	0	0.0
1996-05-23	2.85	2.85	2.83	2.83	66000	0	0.0
1996-05-24	2.81	2.85	2.81	2.83	199800	0	0.0
1996-05-28	2.81	2.88	2.81	2.88	43800	0	0.0
1996-05-29	2.9	2.92	2.88	2.92	228600	0	0.0
1996-05-30	2.92	2.92	2.92	2.92	300000	0	0.0
1996-05-31	2.92	2.94	2.9	2.92	134400	0	0.0
1996-06-03	2.9	2.92	2.9	2.9	91200	0	0.0
1996-06-04	2.9	2.9	2.9	2.9	6000	0	0.0
1996-06-05	2.88	2.88	2.79	2.79	1175400	0	0.0
1996-06-06	2.79	2.79	2.71	2.75	2067000	0	0.0
1996-06-07	2.75	2.81	2.75	2.81	516600	0	0.0
1996-06-10	2.77	2.83	2.75	2.83	562200	0	0.0
1996-06-11	2.88	2.88	2.77	2.81	1038000	0	0.0
1996-06-12	2.79	2.81	2.79	2.81	286200	0	0.0
1996-06-13	2.79	2.79	2.67	2.71	1695000	0	0.0
1996-06-14	2.69	2.69	2.62	2.62	444000	0	0.0
1996-06-17	2.62	2.65	2.62	2.62	574200	0	0.0
1996-06-18	2.62	2.62	2.6	2.62	288000	0	0.0
1996-06-19	2.62	2.69	2.62	2.69	408600	0	0.0
1996-06-20	2.71	2.73	2.69	2.69	148800	0	0.0
1996-06-21	2.73	2.73	2.65	2.65	305400	0	0.0
1996-06-24	2.65	2.69	2.62	2.65	284400	0	0.0
1996-06-25	2.6	2.62	2.6	2.62	395400	0	0.0
