	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	20426064	2020-06-29	0.1499	640969888
1	Blackrock Inc.	13021416	2020-06-29	0.0955	408612034
2	Vanguard Group, Inc. (The)	12454258	2020-06-29	0.09140000000000001	390814616
3	ArrowMark Colorado Holdings LLC	8093629	2020-06-29	0.0594	253978078
4	State Street Corporation	4909569	2020-06-29	0.036000000000000004	154062275
5	Massachusetts Financial Services Co.	4718550	2020-06-29	0.0346	148068099
6	Tremblant Capital Group	4335594	2020-06-29	0.0318	136050939
7	Wellington Management Company, LLP	4012002	2020-06-29	0.0294	125896622
8	Southpoint Capital Advisors Lp	3300000	2020-06-29	0.0242	103554000
9	Bank Of New York Mellon Corporation	3167413	2020-06-29	0.0232	99393419
