	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	119576024	2020-06-29	0.0861	2199003081
1	Blackrock Inc.	101615860	2020-06-29	0.0732	1868715665
2	Dodge & Cox Inc	89066920	2020-06-29	0.0642	1637940658
3	State Street Corporation	77291021	2020-06-29	0.0557	1421381876
4	First Eagle Investment Management, LLC	34157086	2020-06-29	0.0246	628148811
5	Capital International Investors	28901373	2020-06-29	0.0208	531496249
6	Artisan Partners Limited Partnership	24509459	2020-06-29	0.0177	450728951
7	Geode Capital Management, LLC	20648660	2020-06-29	0.0149	379728857
8	Loomis Sayles & Company, LP	20298192	2020-06-29	0.0146	373283750
9	Northern Trust Corporation	17525010	2020-06-29	0.0126	322284933
