Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
1973-02-21	0.0	5.3	5.13	5.19	377800	0.0	0.0
1973-02-22	0.0	5.19	5.07	5.07	225400	0.0	0.0
1973-02-23	0.0	5.06	4.95	4.97	173000	0.0	0.0
1973-02-26	0.0	4.99	4.8	4.9	421800	0.0	0.0
1973-02-27	0.0	4.9	4.79	4.79	250800	0.0	0.0
1973-02-28	0.0	4.91	4.68	4.89	386600	0.0	0.0
1973-03-01	0.0	4.88	4.78	4.78	191600	0.0	0.0
1973-03-02	0.0	4.73	4.61	4.71	390400	0.0	0.0
1973-03-05	0.0	4.68	4.33	4.44	859200	0.0	0.0
1973-03-06	0.0	4.5	4.39	4.5	332600	0.0	0.0
1973-03-07	0.0	4.72	4.6	4.67	877000	0.0	0.0
1973-03-08	0.0	4.72	4.38	4.62	260200	0.0	0.0
1973-03-09	0.0	4.62	4.43	4.45	1184200	0.0	0.0
1973-03-12	0.0	4.41	4.23	4.26	452600	0.0	0.0
1973-03-13	0.0	4.47	4.18	4.3	426000	0.0	0.0
1973-03-14	0.0	4.47	4.32	4.47	268600	0.0	0.0
1973-03-15	0.0	4.46	4.41	4.43	78600	0.0	0.0
1973-03-16	0.0	4.45	4.35	4.41	287600	0.0	0.0
1973-03-19	0.0	4.38	4.32	4.36	444600	0.0	0.0
1973-03-20	0.0	4.38	4.3	4.35	225400	0.0	0.0
1973-03-21	0.0	4.4	4.15	4.16	243200	0.0	0.0
1973-03-22	0.0	4.13	4.0	4.06	326200	0.0	0.0
1973-03-23	0.0	4.18	4.02	4.18	255600	0.0	0.0
1973-03-26	0.0	4.36	4.1	4.3	291800	0.0	0.0
1973-03-27	0.0	4.54	4.28	4.51	401400	0.0	0.0
1973-03-28	0.0	4.67	4.47	4.56	426000	0.0	0.0
1973-03-29	0.0	4.78	4.55	4.67	325800	0.0	0.0
1973-03-30	0.0	4.69	4.54	4.6	218400	0.0	0.0
1973-04-02	0.0	4.62	4.51	4.57	113800	0.0	0.0
1973-04-03	0.0	4.68	4.55	4.56	207400	0.0	0.0
1973-04-04	0.0	4.61	4.5	4.5	134600	0.0	0.0
1973-04-05	0.0	4.51	4.35	4.5	116800	0.0	0.0
1973-04-06	0.0	4.64	4.47	4.64	177600	0.0	0.0
1973-04-09	0.0	4.78	4.56	4.75	158600	0.0	0.0
1973-04-10	0.0	4.85	4.78	4.84	181800	0.0	0.0
1973-04-11	0.0	4.84	4.71	4.77	108400	0.0	0.0
1973-04-12	0.0	4.84	4.74	4.81	100600	0.0	0.0
1973-04-13	0.0	4.84	4.75	4.77	140800	0.0	0.0
1973-04-16	0.0	4.8	4.57	4.58	213600	0.0	0.0
1973-04-17	0.0	4.56	4.39	4.52	374000	0.0	0.0
1973-04-18	0.0	4.54	4.45	4.52	152400	0.0	0.0
1973-04-19	0.0	4.58	4.38	4.44	388200	0.0	0.0
1973-04-23	0.0	4.44	4.28	4.33	173000	0.00684	0.0
1973-04-24	0.0	4.28	4.11	4.15	356600	0.0	0.0
1973-04-25	0.0	4.1	3.98	4.03	931200	0.0	0.0
1973-04-26	0.0	4.16	3.98	4.09	603400	0.0	0.0
1973-04-27	0.0	4.19	4.08	4.08	170800	0.0	0.0
1973-04-30	0.0	4.1	3.96	4.02	220000	0.0	0.0
1973-05-01	0.0	4.13	4.0	4.08	278800	0.0	0.0
1973-05-02	0.0	4.16	4.09	4.13	256200	0.0	0.0
1973-05-03	0.0	4.39	4.07	4.39	305000	0.0	0.0
1973-05-04	0.0	4.56	4.45	4.49	235600	0.0	0.0
1973-05-07	0.0	4.52	4.39	4.47	90600	0.0	0.0
1973-05-08	0.0	4.58	4.45	4.58	329000	0.0	0.0
1973-05-09	0.0	4.75	4.56	4.58	242400	0.0	0.0
1973-05-10	0.0	4.65	4.48	4.5	237800	0.0	0.0
1973-05-11	0.0	4.5	4.44	4.47	124800	0.0	0.0
1973-05-14	0.0	4.38	4.25	4.26	353200	0.0	0.0
1973-05-15	0.0	4.31	4.16	4.28	238200	0.0	0.0
1973-05-16	0.0	4.41	4.28	4.37	133600	0.0	0.0
1973-05-17	0.0	4.33	4.22	4.24	264000	0.0	0.0
1973-05-18	0.0	4.16	3.99	4.1	329000	0.0	0.0
1973-05-21	0.0	4.14	3.88	4.13	452200	0.0	0.0
1973-05-22	0.0	4.33	4.19	4.3	318000	0.0	0.0
1973-05-23	0.0	4.37	4.22	4.28	82400	0.0	0.0
1973-05-24	0.0	4.41	4.26	4.41	195800	0.0	0.0
1973-05-25	0.0	4.52	4.44	4.49	95200	0.0	0.0
1973-05-29	0.0	4.55	4.44	4.45	57600	0.0	0.0
1973-05-30	0.0	4.44	4.33	4.33	86400	0.0	0.0
1973-05-31	0.0	4.35	4.2	4.27	290600	0.0	0.0
1973-06-01	0.0	4.26	4.13	4.14	410200	0.0	0.0
1973-06-04	0.0	4.14	4.09	4.11	293200	0.0	0.0
1973-06-05	0.0	4.21	4.09	4.2	157800	0.0	0.0
1973-06-06	0.0	4.33	4.19	4.26	484400	0.0	0.0
1973-06-07	0.0	4.36	4.26	4.35	88400	0.0	0.0
1973-06-08	0.0	4.53	4.33	4.48	222600	0.0	0.0
1973-06-11	0.0	4.58	4.5	4.55	159800	0.0	0.0
1973-06-12	0.0	4.76	4.54	4.67	141400	0.0	0.0
1973-06-13	0.0	4.83	4.6	4.6	266600	0.0	0.0
1973-06-14	0.0	4.65	4.39	4.39	166600	0.0	0.0
1973-06-15	0.0	4.38	4.27	4.27	125600	0.0	0.0
1973-06-18	0.0	4.27	4.21	4.22	60400	0.0	0.0
1973-06-19	0.0	4.22	4.11	4.13	228000	0.0	0.0
1973-06-20	0.0	4.1	4.04	4.04	836400	0.0	0.0
1973-06-21	0.0	4.0	3.91	3.91	971200	0.0	0.0
1973-06-22	0.0	4.19	4.05	4.09	1028800	0.0	0.0
1973-06-25	0.0	3.97	3.77	3.77	739600	0.0	0.0
1973-06-26	0.0	3.97	3.77	3.91	993800	0.0	0.0
1973-06-27	0.0	3.94	3.85	3.93	498800	0.0	0.0
1973-06-28	0.0	4.02	3.93	3.94	433600	0.0	0.0
1973-06-29	0.0	3.96	3.91	3.92	210200	0.0	0.0
1973-07-02	0.0	3.92	3.87	3.89	190800	0.0	0.0
1973-07-03	0.0	3.93	3.87	3.92	258400	0.0	0.0
1973-07-05	0.0	3.96	3.89	3.89	205200	0.0	0.0
1973-07-06	0.0	3.94	3.88	3.89	169600	0.0	0.0
1973-07-09	0.0	3.93	3.81	3.86	1002200	0.0	0.0
1973-07-10	0.0	3.96	3.92	3.96	459800	0.0	0.0
1973-07-11	0.0	4.36	3.99	4.27	689200	0.0	0.0
1973-07-12	0.0	4.42	4.24	4.31	501800	0.0	0.0
1973-07-13	0.0	4.32	4.28	4.32	108400	0.0	0.0
1973-07-16	0.0	4.43	4.3	4.42	448000	0.0	0.0
1973-07-17	0.0	4.65	4.48	4.55	464600	0.0	0.0
1973-07-18	0.0	4.56	4.52	4.55	353200	0.0	0.0
1973-07-19	0.0	4.59	4.45	4.54	273400	0.0	0.0
1973-07-20	0.0	4.72	4.56	4.72	343600	0.0	0.0
1973-07-23	0.0	4.99	4.72	4.84	410800	0.0	0.0
1973-07-24	0.0	4.91	4.82	4.86	265200	0.0	0.0
1973-07-25	0.0	4.89	4.78	4.87	249200	0.0	0.0
1973-07-26	0.0	4.87	4.61	4.82	1005600	0.0	0.0
1973-07-27	0.0	4.81	4.7	4.75	459800	0.0	0.0
1973-07-30	0.0	4.56	4.43	4.48	847000	0.0	0.0
1973-07-31	0.0	4.58	4.45	4.45	445400	0.0	0.0
1973-08-01	0.0	4.48	4.41	4.45	241000	0.0	0.0
1973-08-02	0.0	4.58	4.48	4.58	234800	0.0	0.0
1973-08-03	0.0	4.61	4.53	4.56	96000	0.0	0.0
1973-08-06	0.0	4.61	4.53	4.61	165000	0.0	0.0
1973-08-07	0.0	4.8	4.59	4.76	295400	0.0	0.0
1973-08-08	0.0	4.76	4.67	4.67	218400	0.0	0.0
1973-08-09	0.0	4.76	4.69	4.69	210200	0.0	0.0
1973-08-10	0.0	4.72	4.65	4.67	206000	0.0	0.0
1973-08-13	0.0	4.69	4.59	4.63	254600	0.0	0.0
1973-08-14	0.0	4.6	4.5	4.5	135200	0.0	0.0
1973-08-15	0.0	4.52	4.43	4.48	262400	0.0	0.0
1973-08-16	0.0	4.47	4.36	4.36	277600	0.0	0.0
1973-08-17	0.0	4.37	4.3	4.31	186000	0.0	0.0
1973-08-20	0.0	4.33	4.3	4.32	84200	0.0	0.0
1973-08-21	0.0	4.36	4.3	4.3	83800	0.0	0.0
1973-08-22	0.0	4.28	4.2	4.25	198400	0.0	0.0
1973-08-23	0.0	4.32	4.26	4.28	177200	0.0	0.0
1973-08-24	0.0	4.35	4.3	4.33	149800	0.0	0.0
1973-08-27	0.0	4.41	4.32	4.41	214800	0.0	0.0
1973-08-28	0.0	4.42	4.37	4.42	241000	0.0	0.0
1973-08-29	0.0	4.45	4.38	4.45	168800	0.0	0.0
1973-08-30	0.0	4.5	4.45	4.49	98000	0.0	0.0
1973-08-31	0.0	4.47	4.41	4.43	85000	0.0	0.0
1973-09-04	0.0	4.61	4.38	4.54	259800	0.0	0.0
1973-09-05	0.0	4.63	4.53	4.63	161200	0.0	0.0
1973-09-06	0.0	4.66	4.59	4.6	143000	0.0	0.0
1973-09-07	0.0	4.6	4.49	4.53	80200	0.0	0.0
1973-09-10	0.0	4.5	4.28	4.28	389600	0.0	0.0
1973-09-11	0.0	4.32	4.24	4.32	136600	0.0	0.0
1973-09-12	0.0	4.38	4.31	4.33	155200	0.0	0.0
1973-09-13	0.0	4.36	4.28	4.32	153000	0.0	0.0
1973-09-14	0.0	4.48	4.33	4.45	255600	0.0	0.0
1973-09-17	0.0	4.54	4.45	4.5	154000	0.0	0.0
1973-09-18	0.0	4.49	4.39	4.45	135800	0.0	0.0
1973-09-19	0.0	4.65	4.48	4.6	247800	0.0	0.0
1973-09-20	0.0	4.7	4.53	4.64	374400	0.0	0.0
1973-09-21	0.0	4.61	4.55	4.61	473400	0.0	0.0
1973-09-24	0.0	4.6	4.48	4.49	157800	0.0	0.0
1973-09-25	0.0	4.55	4.38	4.55	506400	0.0	0.0
1973-09-26	0.0	4.63	4.48	4.48	355200	0.0	0.0
1973-09-27	0.0	4.58	4.48	4.48	236400	0.0	0.0
1973-09-28	0.0	4.5	4.39	4.47	72800	0.0	0.0
1973-10-01	0.0	4.43	4.38	4.39	100200	0.0	0.0
1973-10-02	0.0	4.38	4.32	4.33	176400	0.0	0.0
1973-10-03	0.0	4.54	4.33	4.5	191600	0.0	0.0
1973-10-04	0.0	4.52	4.39	4.41	187400	0.0	0.0
1973-10-05	0.0	4.45	4.36	4.43	202600	0.0	0.0
1973-10-08	0.0	4.42	4.31	4.39	201200	0.0	0.0
1973-10-09	0.0	4.47	4.37	4.37	183200	0.0	0.0
1973-10-10	0.0	4.39	4.24	4.26	233600	0.0	0.0
1973-10-11	0.0	4.39	4.19	4.33	395000	0.0	0.0
1973-10-12	0.0	4.36	4.26	4.33	404000	0.0	0.0
1973-10-15	0.0	4.33	4.28	4.31	626000	0.0	0.0
1973-10-16	0.0	4.32	4.25	4.32	399200	0.0	0.0
1973-10-17	0.0	4.36	4.28	4.31	382800	0.0	0.0
1973-10-18	0.0	4.32	4.19	4.2	334600	0.0	0.0
1973-10-19	0.0	4.19	3.87	3.87	1015200	0.0	0.0
1973-10-22	0.0	3.88	3.76	3.79	626000	0.0	0.0
1973-10-23	0.0	3.92	3.61	3.71	1177400	0.0	0.0
1973-10-24	0.0	3.74	3.61	3.73	303800	0.00655	0.0
1973-10-25	0.0	3.88	3.66	3.85	536000	0.0	0.0
1973-10-26	0.0	3.85	3.77	3.77	247400	0.0	0.0
1973-10-29	0.0	3.8	3.77	3.78	377800	0.0	0.0
1973-10-30	0.0	3.83	3.73	3.74	374400	0.0	0.0
1973-10-31	0.0	3.79	3.73	3.79	156600	0.0	0.0
1973-11-01	0.0	3.89	3.7	3.73	432200	0.0	0.0
1973-11-02	0.0	3.77	3.66	3.66	179800	0.0	0.0
1973-11-05	0.0	3.7	3.62	3.66	281800	0.0	0.0
1973-11-06	0.0	3.72	3.61	3.63	253000	0.0	0.0
1973-11-07	0.0	3.68	3.63	3.63	82800	0.0	0.0
1973-11-08	0.0	3.68	3.51	3.51	558000	0.0	0.0
1973-11-09	0.0	3.42	3.19	3.29	841400	0.0	0.0
1973-11-12	0.0	3.25	3.12	3.22	902400	0.0	0.0
1973-11-13	0.0	3.2	2.88	3.05	1394800	0.0	0.0
1973-11-14	0.0	3.05	2.81	2.83	697600	0.0	0.0
1973-11-15	0.0	2.99	2.79	2.88	1229800	0.0	0.0
1973-11-16	0.0	3.36	2.85	3.13	1025600	0.0	0.0
1973-11-19	0.0	3.1	2.9	2.9	232600	0.0	0.0
1973-11-20	0.0	2.92	2.84	2.92	261800	0.0	0.0
1973-11-21	0.0	3.24	2.96	3.17	779400	0.0	0.0
1973-11-23	0.0	3.16	2.97	2.97	144200	0.0	0.0
1973-11-26	0.0	2.92	2.79	2.83	759000	0.0	0.0
1973-11-27	0.0	2.9	2.83	2.84	407000	0.0	0.0
1973-11-28	0.0	3.12	2.95	3.11	438400	0.0	0.0
1973-11-29	0.0	3.12	2.92	3.12	401400	0.0	0.0
1973-11-30	0.0	3.12	2.95	2.95	422600	0.0	0.0
1973-12-03	0.0	2.97	2.84	2.95	297000	0.0	0.0
1973-12-04	0.0	3.0	2.86	2.9	341400	0.0	0.0
1973-12-05	0.0	2.92	2.85	2.86	373000	0.0	0.0
1973-12-06	0.0	3.05	2.88	2.96	276600	0.0	0.0
1973-12-07	0.0	3.01	2.94	2.96	309200	0.0	0.0
1973-12-10	0.0	2.94	2.9	2.9	261800	0.0	0.0
1973-12-11	0.0	2.91	2.72	2.77	503800	0.0	0.0
