	Holder	Shares	Date Reported	% Out	Value
0	Primecap Management Company	32979355	2020-06-29	0.2923	2279862811
1	Aristotle Capital Management, LLC	11345504	2020-06-29	0.1005	784314691
2	Fiduciary Management, Inc.	4819686	2020-06-29	0.042699999999999995	333184893
3	Bank of America Corporation	3319413	2020-06-29	0.0294	229471020
4	Soroban Capital Partners LP	2584383	2020-06-29	0.0229	178658396
5	Gamco Investors Inc	2426162	2020-06-29	0.0215	167720579
6	Morgan Stanley	2411486	2020-06-29	0.021400000000000002	166706027
7	Gabelli Funds, LLC	2152450	2020-06-29	0.0191	148798868
8	Blackrock Inc.	1410613	2020-06-29	0.0125	97515676
9	Parametric Portfolio Associates	1386608	2020-06-29	0.0123	95856211
