	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	24417596	2020-06-29	0.1522	4851776325
1	Vanguard Group, Inc. (The)	14770516	2020-06-29	0.09210000000000002	2934901529
2	Blackrock Inc.	10545605	2020-06-29	0.06570000000000001	2095411713
3	Jennison Associates LLC	5699095	2020-06-29	0.0355	1132410176
4	Wellington Management Company, LLP	5102095	2020-06-29	0.0318	1013786276
5	Primecap Management Company	4990520	2020-06-29	0.0311	991616324
6	ClearBridge Investments, LLC	4651480	2020-06-29	0.028999999999999998	924249076
7	Invesco Ltd.	3447532	2020-06-29	0.0215	685024608
8	State Street Corporation	3305502	2020-06-29	0.0206	656803247
9	Pictet Asset Management Ltd	2951129	2020-06-29	0.0184	586389332
