Date	Firm	To Grade	From Grade	Action
2018-04-03	Guggenheim	Buy		init
2018-04-04	Gabelli & Co.	Hold		init
2018-04-05	Canaccord Genuity	Buy		init
2018-04-05	Stifel Nicolaus	Buy		init
2018-04-25	B. Riley FBR	Neutral		init
2018-04-30	Morgan Stanley	Overweight		init
2018-04-30	Goldman Sachs	Buy		init
2018-04-30	JP Morgan	Overweight		init
2018-05-01	Buckingham	Neutral		init
2018-05-02	SunTrust Robinson Humphrey	Buy		init
2018-05-15	Loop Capital	Sell		init
2018-05-16	Wells Fargo	Market Perform		init
2018-05-18	Raymond James	Strong Buy		init
2018-05-29	Pivotal Research	Buy		init
2018-06-07	Buckingham	Buy	Neutral	up
2018-06-14	Deutsche Bank	Hold		init
2018-06-26	Barclays	Overweight		init
2018-07-10	Oppenheimer	Perform		init
2018-07-11	Nomura	Buy		init
2018-07-20	Buckingham	Buy	Buy	main
2018-07-23	BTIG Research	Buy		init
2018-07-25	Pivotal Research	Hold	Buy	down
2018-07-27	Stifel Nicolaus	Buy	Buy	main
2018-07-27	JP Morgan	Overweight	Overweight	main
2018-07-27	Morgan Stanley	Overweight	Overweight	main
2018-07-30	B. Riley FBR	Neutral	Neutral	main
2018-10-11	Buckingham	Buy	Buy	main
2018-10-15	Redburn	Buy		up
2018-11-02	Nomura	Buy	Buy	main
2018-11-02	Barclays	Overweight	Overweight	main
2018-11-02	JP Morgan	Overweight	Overweight	main
2018-11-05	Wells Fargo	Market Perform	Market Perform	main
2019-01-07	Guggenheim	Neutral	Buy	down
2019-01-07	Deutsche Bank	Hold	Hold	main
2019-01-11	Morgan Stanley	Overweight	Overweight	main
2019-03-29	Credit Suisse	Underperform		init
2019-04-16	UBS	Buy	Buy	main
2019-04-22	Buckingham	Buy	Buy	main
2019-04-26	Raymond James	Strong Buy	Strong Buy	main
2019-04-30	UBS	Buy	Buy	main
2019-04-30	Nomura	Buy	Buy	main
2019-06-24	Evercore ISI Group	Underperform	In-Line	down
2019-07-25	Raymond James	Strong Buy		main
2019-07-31	Pivotal Research	Hold	Buy	down
2019-08-01	Morgan Stanley	Overweight		reit
2019-08-01	Loop Capital	Hold	Sell	up
2019-08-01	Stifel Nicolaus	Buy		main
2019-08-20	Consumer Edge	Equal-Weight		init
2019-09-24	Wells Fargo	Underperform		init
2019-10-01	Evercore ISI Group	In-Line	Underperform	up
2019-10-02	Credit Suisse	Neutral	Underperform	up
2019-10-29	Wells Fargo	Underperform		main
2019-10-29	Deutsche Bank	Hold		main
2019-10-29	UBS	Buy		main
2019-10-29	Canaccord Genuity	Buy		main
2019-10-29	Credit Suisse	Neutral		main
2020-01-09	Bernstein	Underperform		init
2020-01-13	Evercore ISI Group	Underperform	In-Line	down
2020-01-17	UBS	Buy		main
2020-02-05	Evercore ISI Group	Underperform		main
2020-02-06	Wells Fargo	Underweight		main
2020-02-06	JP Morgan	Overweight		main
2020-02-06	Barclays	Overweight		main
2020-03-18	JP Morgan	Overweight		main
2020-04-06	Raymond James	Market Perform	Strong Buy	down
2020-04-24	SunTrust Robinson Humphrey	Buy		main
2020-04-30	Rosenblatt	Buy		main
2020-04-30	Morgan Stanley	Overweight		main
2020-04-30	Credit Suisse	Neutral		main
2020-04-30	UBS	Buy		main
2020-04-30	Guggenheim	Neutral		main
2020-04-30	Canaccord Genuity	Buy		main
2020-05-28	Redburn	Neutral	Buy	down
2020-06-19	Rosenblatt	Buy		main
2020-06-29	Guggenheim	Sell	Neutral	down
2020-06-29	Morgan Stanley	Overweight		main
2020-06-30	Citigroup	Neutral		init
2020-07-01	Wells Fargo	Underweight		main
2020-07-06	Bernstein	Underperform	Market Perform	down
2020-07-14	UBS	Sell	Buy	down
2020-07-30	Rosenblatt	Buy		main
2020-07-30	Deutsche Bank	Hold		main
2020-09-10	Credit Suisse	Outperform	Neutral	up
2020-09-15	KeyBanc	Sector Weight		init
